Class Name,Section,Class Number,Open Seats,Total Seats,Percent,Reserved Seats,Timestamp
Biomaterials | BME 221L,Lecture Section 001,6267,32,32,0.0,No,2021-06-28 13:02:21.870877
Biomaterials | BME 221L,Laboratory Section 01L,6268,16,16,0.0,No,2021-06-28 13:02:24.214451
Biomaterials | BME 221L,Laboratory Section 02L,6269,16,16,0.0,No,2021-06-28 13:02:26.687481
Quantitative Physiology with Biostatistical Applications | BME 244L,Lecture Section 001,6216,45,45,0.0,No,2021-06-28 13:02:29.084275
Quantitative Physiology with Biostatistical Applications | BME 244L,Lecture Section 002,6217,45,45,0.0,No,2021-06-28 13:02:31.568056
Quantitative Physiology with Biostatistical Applications | BME 244L9,Laboratory Section 01L,6218,20,20,0.0,No,2021-06-28 13:02:34.015533
Quantitative Physiology with Biostatistical Applications | BME 244L9,Laboratory Section 02L,6219,20,20,0.0,No,2021-06-28 13:02:36.459017
Quantitative Physiology with Biostatistical Applications | BME 244L9,Laboratory Section 03L,6220,20,20,0.0,No,2021-06-28 13:02:38.860926
Quantitative Physiology with Biostatistical Applications | BME 244L9,Laboratory Section 04L,6221,20,20,0.0,No,2021-06-28 13:02:41.348671
Modeling Cellular and Molecular Systems | BME 260L,Lecture Section 001,6201,36,36,0.0,No,2021-06-28 13:02:43.821984
Modeling Cellular and Molecular Systems | BME 260L,Laboratory Section 01L,6202,36,36,0.0,No,2021-06-28 13:02:46.242817
Signals and Systems | BME 271D,Lecture Section 001,6157,50,50,0.0,No,2021-06-28 13:02:48.668719
Signals and Systems | BME 271D,Discussion Section 01D,6158,25,25,0.0,No,2021-06-28 13:02:51.037558
Signals and Systems | BME 271D,Discussion Section 02D,6159,25,25,0.0,No,2021-06-28 13:02:53.442666
Intermediate Topics with Lab (GE) | BME 290L,Lecture Section 001,6245,10,10,0.0,No,2021-06-28 13:02:55.910490
Intermediate Topics with Lab (GE) | BME 290L,Laboratory Section 01L,6246,10,10,0.0,No,2021-06-28 13:02:58.404185
Bioelectricity (AC or GE) | BME 301L,Lecture Section 001,6170,20,20,0.0,No,2021-06-28 13:03:00.847827
Bioelectricity (AC or GE) | BME 301L,Laboratory Section 01L,6171,20,20,0.0,No,2021-06-28 13:03:03.223730
Modern Diagnostic Imaging Systems (AC or GE) | BME 303L,Lecture Section 001,6181,15,15,0.0,No,2021-06-28 13:03:05.571095
Modern Diagnostic Imaging Systems (AC or GE) | BME 303L,Laboratory Section 01L,6182,15,15,0.0,No,2021-06-28 13:03:07.895512
"Transport Phenomena in Biological Systems (AC or GE, BB) | BME 307",Lecture Section 01,6175,25,25,0.0,No,2021-06-28 13:03:10.270097
Introduction to Medical Instrumentation | BME 354L,Lecture Section 001,6203,24,24,0.0,No,2021-06-28 13:03:12.620629
Introduction to Medical Instrumentation | BME 354L,Laboratory Section 01L,6204,24,24,0.0,No,2021-06-28 13:03:14.977370
