Class Name,Section,Class Number,Open Seats,Total Seats,Percent,Reserved Seats,Timestamp
Elementary Hindi | HINDI 101,Lecture Section 001,6535,18,18,0.0,No,2021-06-28 13:04:57.722292
Elementary Hindi | HINDI 101,Discussion Section 01D,6536,18,18,0.0,No,2021-06-28 13:05:00.177861
Intermediate Hindi | HINDI 203D,Lecture Section 001,6537,18,18,0.0,No,2021-06-28 13:05:02.571447
Intermediate Hindi | HINDI 203D,Discussion Section 01D,6538,18,18,0.0,No,2021-06-28 13:05:05.021461
Advanced Hindi | HINDI 305,Lecture Section 01,6539,12,12,0.0,No,2021-06-28 13:05:07.470079
Independent Study | HINDI 391,IND Section 01,2100,4,4,0.0,No,2021-06-28 13:05:10.022792
Independent Study | HINDI 391,IND Section 02,2101,4,4,0.0,No,2021-06-28 13:05:12.397680
Issues in Hindi Language and Society II | HINDI 407S,SEM Section 01,6563,8,8,0.0,No,2021-06-28 13:05:14.794225
Elementary Hindi | HINDI 101,Lecture Section 001,6535,18,18,0.0,No,2021-06-29 19:24:50.674211
Elementary Hindi | HINDI 101,Discussion Section 01D,6536,18,18,0.0,No,2021-06-29 19:24:53.053485
Intermediate Hindi | HINDI 203D,Lecture Section 001,6537,18,18,0.0,No,2021-06-29 19:24:55.579672
Intermediate Hindi | HINDI 203D,Discussion Section 01D,6538,18,18,0.0,No,2021-06-29 19:24:58.003523
Advanced Hindi | HINDI 305,Lecture Section 01,6539,12,12,0.0,No,2021-06-29 19:25:00.422544
Independent Study | HINDI 391,IND Section 01,2100,4,4,0.0,No,2021-06-29 19:25:02.800558
Independent Study | HINDI 391,IND Section 02,2101,4,4,0.0,No,2021-06-29 19:25:05.153657
Issues in Hindi Language and Society II | HINDI 407S,SEM Section 01,6563,8,8,0.0,No,2021-06-29 19:25:07.620802
