Class Name,Section,Class Number,Open Seats,Total Seats,Percent,Reserved Seats,Timestamp
Special Topics in Innovation & Entrepreneurship | I&E 190,Lecture Section 01,5480,25,25,0.0,No,2021-06-28 13:03:42.890790
Learning to Fail | I&E 252,Lecture Section 01,5467,18,18,0.0,Yes,2021-06-28 13:03:45.247921
Social Marketing: From Literary Celebrities to Instagram Influencers | I&E 253,Lecture Section 01,5468,24,24,0.0,Yes,2021-06-28 13:03:47.614675
Social Innovation | I&E 261,Lecture Section 01,5457,12,12,0.0,Yes,2021-06-28 13:03:50.022404
Social Innovation | I&E 261,Lecture Section 02,5458,12,12,0.0,Yes,2021-06-28 13:03:52.375506
Entrepreneurial Problem Solving in Global Health | I&E 263S,SEM Section 01,5470,18,18,0.0,No,2021-06-28 13:03:54.726717
Introduction to Digital Feminism | I&E 265S,SEM Section 01,4967,18,18,0.0,No,2021-06-28 13:03:57.112109
Documentary and Policy: How Documentary Influences Policy | I&E 272S,SEM Section 01,6673,15,15,0.0,No,2021-06-28 13:03:59.484793
Special Topics | I&E 290,Lecture Section 01,5454,30,30,0.0,Yes,2021-06-28 13:04:01.841629
Special Topics | I&E 290,Lecture Section 02,5455,16,16,0.0,No,2021-06-28 13:04:04.161731
Fieldwork Methods: Cultural Analysis and Interpretation | I&E 302,Lecture Section 01,4174,30,30,0.0,No,2021-06-28 13:04:06.515553
Legal Issues for the Performing Arts | I&E 311S,SEM Section 01,8894,16,16,0.0,No,2021-06-28 13:04:08.866308
Customer Empathy & Brand Experience Design | I&E 350,Lecture Section 01,5477,24,24,0.0,Yes,2021-06-28 13:04:11.232310
Strategies for Innovation and Entrepreneurship | I&E 352,Lecture Section 01,5456,30,30,0.0,No,2021-06-28 13:04:13.560670
The Economics of Entrepreneurship | I&E 375,Lecture Section 01,6105,30,30,0.0,No,2021-06-28 13:04:15.904917
Independent Study in Innovation and Entrepreneurship | I&E 391,IND Section 01,5466,1,1,0.0,No,2021-06-28 13:04:18.350424
Research Independent Study in Innovation and Entrepreneurship | I&E 393,IND Section 01,5474,1,1,0.0,No,2021-06-28 13:04:20.670050
Research Independent Study in Innovation and Entrepreneurship | I&E 393,IND Section 02,5475,30,30,0.0,No,2021-06-28 13:04:23.048590
New Ventures Development | I&E 395,Lecture Section 01,5453,8,8,0.0,No,2021-06-28 13:04:25.399023
Innovation and Entrepreneurship Capstone: Ideas into Action | I&E 499,Lecture Section 01,5461,30,30,0.0,No,2021-06-28 13:04:27.759064
Special Topics in Innovation & Entrepreneurship | I&E 190,Lecture Section 01,5480,25,25,0.0,No,2021-06-29 19:23:57.011322
Learning to Fail | I&E 252,Lecture Section 01,5467,18,18,0.0,Yes,2021-06-29 19:23:59.559995
Social Marketing: From Literary Celebrities to Instagram Influencers | I&E 253,Lecture Section 01,5468,24,24,0.0,Yes,2021-06-29 19:24:02.038976
Social Innovation | I&E 261,Lecture Section 01,5457,12,12,0.0,Yes,2021-06-29 19:24:04.445405
Social Innovation | I&E 261,Lecture Section 02,5458,12,12,0.0,Yes,2021-06-29 19:24:06.835036
Entrepreneurial Problem Solving in Global Health | I&E 263S,SEM Section 01,5470,18,18,0.0,No,2021-06-29 19:24:09.234667
Introduction to Digital Feminism | I&E 265S,SEM Section 01,4967,18,18,0.0,No,2021-06-29 19:24:11.583054
Documentary and Policy: How Documentary Influences Policy | I&E 272S,SEM Section 01,6673,15,15,0.0,No,2021-06-29 19:24:13.978571
Special Topics | I&E 290,Lecture Section 01,5454,30,30,0.0,Yes,2021-06-29 19:24:16.350256
Special Topics | I&E 290,Lecture Section 02,5455,16,16,0.0,No,2021-06-29 19:24:18.700181
Fieldwork Methods: Cultural Analysis and Interpretation | I&E 302,Lecture Section 01,4174,30,30,0.0,No,2021-06-29 19:24:21.151445
Legal Issues for the Performing Arts | I&E 311S,SEM Section 01,8894,16,16,0.0,No,2021-06-29 19:24:23.505933
Customer Empathy & Brand Experience Design | I&E 350,Lecture Section 01,5477,24,24,0.0,Yes,2021-06-29 19:24:25.854312
Strategies for Innovation and Entrepreneurship | I&E 352,Lecture Section 01,5456,30,30,0.0,No,2021-06-29 19:24:28.200167
The Economics of Entrepreneurship | I&E 375,Lecture Section 01,6105,30,30,0.0,No,2021-06-29 19:24:30.533407
Independent Study in Innovation and Entrepreneurship | I&E 391,IND Section 01,5466,1,1,0.0,No,2021-06-29 19:24:32.871362
Research Independent Study in Innovation and Entrepreneurship | I&E 393,IND Section 01,5474,1,1,0.0,No,2021-06-29 19:24:35.209374
Research Independent Study in Innovation and Entrepreneurship | I&E 393,IND Section 02,5475,30,30,0.0,No,2021-06-29 19:24:37.535859
New Ventures Development | I&E 395,Lecture Section 01,5453,8,8,0.0,No,2021-06-29 19:24:39.853827
Innovation and Entrepreneurship Capstone: Ideas into Action | I&E 499,Lecture Section 01,5461,30,30,0.0,No,2021-06-29 19:24:42.180062
