Class Name,Section,Class Number,Open Seats,Total Seats,Percent,Reserved Seats,Timestamp
Elementary Korean | KOREAN 101,Lecture Section 001,6551,18,18,0.0,No,2021-06-28 13:04:19.959409
Elementary Korean | KOREAN 101,Lecture Section 002,6552,18,18,0.0,No,2021-06-28 13:04:22.345887
Elementary Korean | KOREAN 101,Discussion Section 01D,6553,18,18,0.0,No,2021-06-28 13:04:24.729931
Elementary Korean | KOREAN 101,Discussion Section 02D,6554,18,18,0.0,No,2021-06-28 13:04:27.183992
Intermediate Korean | KOREAN 203,Lecture Section 001,6555,18,18,0.0,No,2021-06-28 13:04:29.642785
Intermediate Korean | KOREAN 203,Lecture Section 002,6556,18,18,0.0,No,2021-06-28 13:04:32.063870
Intermediate Korean | KOREAN 203,Discussion Section 01D,6557,18,18,0.0,No,2021-06-28 13:04:34.590429
Intermediate Korean | KOREAN 203,Discussion Section 02D,6558,18,18,0.0,No,2021-06-28 13:04:37.095023
Advanced Korean | KOREAN 305,Lecture Section 01,6559,18,18,0.0,No,2021-06-28 13:04:39.519768
Independent Study | KOREAN 391,IND Section 01,2108,4,4,0.0,No,2021-06-28 13:04:41.949710
Independent Study | KOREAN 391,IND Section 02,2109,4,4,0.0,No,2021-06-28 13:04:44.407986
Korean Politics and Society: Academic Reading and Writing | KOREAN 455S,SEM Section 01,6597,12,12,0.0,No,2021-06-28 13:04:46.888442
Elementary Korean | KOREAN 101,Lecture Section 001,6551,18,18,0.0,No,2021-06-29 19:25:01.175620
Elementary Korean | KOREAN 101,Lecture Section 002,6552,18,18,0.0,No,2021-06-29 19:25:03.633503
Elementary Korean | KOREAN 101,Discussion Section 01D,6553,18,18,0.0,No,2021-06-29 19:25:06.138847
Elementary Korean | KOREAN 101,Discussion Section 02D,6554,18,18,0.0,No,2021-06-29 19:25:08.577225
Intermediate Korean | KOREAN 203,Lecture Section 001,6555,18,18,0.0,No,2021-06-29 19:25:11.085864
Intermediate Korean | KOREAN 203,Lecture Section 002,6556,18,18,0.0,No,2021-06-29 19:25:13.495262
Intermediate Korean | KOREAN 203,Discussion Section 01D,6557,18,18,0.0,No,2021-06-29 19:25:15.849963
Intermediate Korean | KOREAN 203,Discussion Section 02D,6558,18,18,0.0,No,2021-06-29 19:25:18.207341
Advanced Korean | KOREAN 305,Lecture Section 01,6559,18,18,0.0,No,2021-06-29 19:25:20.651709
Independent Study | KOREAN 391,IND Section 01,2108,4,4,0.0,No,2021-06-29 19:25:23.004972
Independent Study | KOREAN 391,IND Section 02,2109,4,4,0.0,No,2021-06-29 19:25:25.411868
Korean Politics and Society: Academic Reading and Writing | KOREAN 455S,SEM Section 01,6597,12,12,0.0,No,2021-06-29 19:25:27.889132
