Class Name,Section,Class Number,Open Seats,Total Seats,Percent,Reserved Seats,Timestamp
Introduction to Contemporary Latin America | LATAMER 121,Lecture Section 01,6959,35,35,0.0,No,2021-06-28 13:05:00.753405
Special Topics in Latin American Studies | LATAMER 190S,SEM Section 01,6913,18,18,0.0,No,2021-06-28 13:05:03.217833
Perspectives on the Amazon | LATAMER 341S,SEM Section 01,5753,18,18,0.0,No,2021-06-28 13:05:05.612743
Displacements: Migration and Human Trafficking | LATAMER 343,Lecture Section 01,7368,20,20,0.0,No,2021-06-28 13:05:08.145509
Special Topics in Latin American and Caribbean Studies | LATAMER 490S,SEM Section 01,5723,18,18,0.0,No,2021-06-28 13:05:10.563826
Special Topics in Latin American and Caribbean Studies | LATAMER 490S,SEM Section 02,5724,18,18,0.0,No,2021-06-28 13:05:12.960144
Introduction to Contemporary Latin America | LATAMER 121,Lecture Section 01,6959,35,35,0.0,No,2021-06-29 19:25:41.741543
Special Topics in Latin American Studies | LATAMER 190S,SEM Section 01,6913,18,18,0.0,No,2021-06-29 19:25:44.175144
Perspectives on the Amazon | LATAMER 341S,SEM Section 01,5753,18,18,0.0,No,2021-06-29 19:25:46.590501
Displacements: Migration and Human Trafficking | LATAMER 343,Lecture Section 01,7368,20,20,0.0,No,2021-06-29 19:25:48.961241
Special Topics in Latin American and Caribbean Studies | LATAMER 490S,SEM Section 01,5723,18,18,0.0,No,2021-06-29 19:25:51.408168
Special Topics in Latin American and Caribbean Studies | LATAMER 490S,SEM Section 02,5724,18,18,0.0,No,2021-06-29 19:25:53.789824
