Class Name,Section,Class Number,Open Seats,Total Seats,Percent,Reserved Seats,Timestamp
Marine Biology and Ecology: Fantastic Sea Creatures and Where to Find Them | MARSCI 202,Lecture Section 01,7818,50,50,0.0,No,2021-06-29 19:25:07.531021
Marine Ecology | MARSCI 273LA,Laboratory Section 01,9518,12,12,0.0,No,2021-06-29 19:25:09.940412
Marine Policy | MARSCI 286A,Lecture Section 01,9538,4,4,0.0,No,2021-06-29 19:25:12.383614
"Conservation Biology & Service Learning: coastal ecosystems, restoration and communities | MARSCI 287A",Lecture Section 01,9540,10,10,0.0,No,2021-06-29 19:25:14.832748
Oceans in Human and Environmental Health | MARSCI 309A,Lecture Section 01,9562,15,15,0.0,No,2021-06-29 19:25:17.484717
Aquaculture and the Environment | MARSCI 319A,Lecture Section 01,9556,15,15,0.0,No,2021-06-29 19:25:20.024077
Offshore Renewable Energy & Wildlife Conservation | MARSCI 323A,Lecture Section 01,9565,10,10,0.0,No,2021-06-29 19:25:22.455680
Sensory Physiology and Behavior of Marine Animals | MARSCI 373LA,Laboratory Section 01,9535,8,8,0.0,No,2021-06-29 19:25:24.921194
Marine Mammals | MARSCI 376A,Lecture Section 01,9513,15,15,0.0,No,2021-06-29 19:25:27.477911
Biodiversity of Marine Invertebrates | MARSCI 377LA,Laboratory Section 01,9523,10,10,0.0,No,2021-06-29 19:25:29.999372
Duke-Administered Study Abroad: Advanced Special Topics in Marine Science Conservation | MARSCI 390A,Lecture Section 01,9566,10,10,0.0,No,2021-06-29 19:25:32.565522
Climate Change in the Marine Environment | MARSCI 445A,Lecture Section 01,9551,10,10,0.0,No,2021-06-29 19:25:35.135792
Data and Time Series Analysis in Marine Sciences | MARSCI 476A,Lecture Section 01,9553,5,5,0.0,No,2021-06-29 19:25:37.611217
