Class Name,Section,Class Number,Open Seats,Total Seats,Percent,Reserved Seats,Timestamp
Leadership Laboratory - Fall Semester Only | MILITSCI 91L,Laboratory Section 01L,4995,25,25,0.0,No,2021-06-28 13:05:10.060533
Leadership Laboratory - Spring Semester Only | MILITSCI 92L,Laboratory Section 01L,4996,50,50,0.0,No,2021-06-28 13:05:12.476558
Senior Leadership Laboratory - Fall Semester | MILITSCI 93L,Laboratory Section 01L,5003,25,25,0.0,No,2021-06-28 13:05:14.938895
Basic Army Physical Development | MILITSCI 94,ACT Section 01,5004,30,30,0.0,No,2021-06-28 13:05:17.379554
Introduction to the Army | MILITSCI 101S,SEM Section 01,4997,15,15,0.0,No,2021-06-28 13:05:19.973789
Leadership and Ethics | MILITSCI 201,Lecture Section 01,4998,20,20,0.0,No,2021-06-28 13:05:22.487620
Independent Study | MILITSCI 291,IND Section 01,5001,10,10,0.0,No,2021-06-28 13:05:24.859431
Independent Study - Half Credit | MILITSCI 291-1,IND Section 01,5002,10,10,0.0,No,2021-06-28 13:05:27.404927
Training Management and the Warfighting Functions | MILITSCI 301,Lecture Section 01,4999,25,25,0.0,No,2021-06-28 13:05:29.818295
The Army Officer | MILITSCI 401S,SEM Section 01,5000,15,15,0.0,No,2021-06-28 13:05:32.156393
