Class Name,Section,Class Number,Open Seats,Total Seats,Percent,Reserved Seats,Timestamp
First-Year Seminar | PHYSEDU 89S,SEM Section 01,9661,15,15,0.0,No,2021-06-29 19:29:48.039684
Fusion Fitness | PHYSEDU 104,ACT Section 01,9665,20,20,0.0,No,2021-06-29 19:29:50.412326
Pilates Mat and Ball | PHYSEDU 105,ACT Section 01,9672,24,24,0.0,No,2021-06-29 19:29:52.779512
Advanced Pilates and Barre | PHYSEDU 106,ACT Section 01,9678,24,24,0.0,No,2021-06-29 19:29:55.139715
Running | PHYSEDU 112,ACT Section 01,9683,20,20,0.0,No,2021-06-29 19:29:57.552950
Weight Training | PHYSEDU 113,ACT Section 01,9650,20,20,0.0,No,2021-06-29 19:29:59.886517
Weight Training | PHYSEDU 113,ACT Section 02,9651,20,20,0.0,No,2021-06-29 19:30:02.241468
Weight Training for Women | PHYSEDU 116,ACT Section 01,9674,20,20,0.0,No,2021-06-29 19:30:04.577755
Weight Training for Women | PHYSEDU 116,ACT Section 02,9675,20,20,0.0,No,2021-06-29 19:30:07.040109
Fusion Fitness for Women | PHYSEDU 117,ACT Section 01,9670,24,24,0.0,No,2021-06-29 19:30:09.465310
Fusion Fitness for Women | PHYSEDU 117,ACT Section 02,9671,24,24,0.0,No,2021-06-29 19:30:11.808294
Basketball | PHYSEDU 122,ACT Section 01,9666,20,20,0.0,No,2021-06-29 19:30:14.241748
Fencing | PHYSEDU 124,ACT Section 01,9662,16,16,0.0,No,2021-06-29 19:30:16.601118
Beginning Golf | PHYSEDU 131,ACT Section 01,9652,16,16,0.0,No,2021-06-29 19:30:19.035407
Beginning Golf | PHYSEDU 131,ACT Section 02,9653,16,16,0.0,No,2021-06-29 19:30:21.491314
Intermediate Golf | PHYSEDU 132,ACT Section 01,9654,16,16,0.0,No,2021-06-29 19:30:23.825754
Intermediate Golf | PHYSEDU 132,ACT Section 02,9655,16,16,0.0,No,2021-06-29 19:30:26.167986
Intermediate Golf | PHYSEDU 132,ACT Section 03,9656,16,16,0.0,No,2021-06-29 19:30:28.519782
Advanced Golf | PHYSEDU 133,ACT Section 01,9657,16,16,0.0,No,2021-06-29 19:30:30.872300
Beginning Tennis | PHYSEDU 143,ACT Section 01,9658,18,18,0.0,No,2021-06-29 19:30:33.196179
Intermediate Tennis | PHYSEDU 144,ACT Section 01,9659,18,18,0.0,No,2021-06-29 19:30:35.552539
Intermediate Tennis | PHYSEDU 144,ACT Section 02,9660,18,18,0.0,No,2021-06-29 19:30:37.888025
Tai Chi | PHYSEDU 165,ACT Section 01,9673,20,20,0.0,No,2021-06-29 19:30:40.231441
Aikido: Japanese Sword and Staff | PHYSEDU 167,ACT Section 01,9676,20,20,0.0,No,2021-06-29 19:30:42.617419
Yoga | PHYSEDU 170,ACT Section 01,9663,24,24,0.0,No,2021-06-29 19:30:45.019497
Intermediate Yoga | PHYSEDU 171,ACT Section 01,9664,24,24,0.0,No,2021-06-29 19:30:47.522396
Yoga for First Years | PHYSEDU 173,ACT Section 01,9684,20,20,0.0,No,2021-06-29 19:30:49.908653
Athletic Yoga | PHYSEDU 174,ACT Section 01,9682,24,24,0.0,No,2021-06-29 19:30:52.324525
Diet and Nutrition | PHYSEDU 203,Lecture Section 01,9667,20,20,0.0,No,2021-06-29 19:30:54.824228
Exercise and Mental Health | PHYSEDU 207,Lecture Section 01,9681,20,20,0.0,No,2021-06-29 19:30:57.295470
Sports Media | PHYSEDU 212,Lecture Section 01,9677,20,20,0.0,No,2021-06-29 19:30:59.804027
Sports Leadership Development | PHYSEDU 225,Lecture Section 01,9679,20,20,0.0,No,2021-06-29 19:31:02.582482
Theory and Practice of Coaching | PHYSEDU 240,Lecture Section 01,9668,20,20,0.0,No,2021-06-29 19:31:05.047579
Psychology of Sport and Performance | PHYSEDU 241,Lecture Section 01,9669,20,20,0.0,No,2021-06-29 19:31:07.444947
