Class Name,Section,Class Number,Open Seats,Total Seats,Percent,Reserved Seats,Timestamp
"The Googlization of Knowledge: Information, Ethics, and Technology | PJMS 112",Lecture Section 01,7448,18,18,0.0,No,2021-06-29 19:25:48.632882
Introduction to Audio Documentary | PJMS 135S,SEM Section 01,6657,13,13,0.0,No,2021-06-29 19:25:51.020166
Video Journalism | PJMS 365S,SEM Section 01,5772,12,12,0.0,No,2021-06-29 19:25:53.399245
Magazine Journalism | PJMS 366S,SEM Section 01,5776,12,12,0.0,No,2021-06-29 19:25:55.773720
News Writing and Reporting | PJMS 367S,SEM Section 01,5778,12,12,0.0,No,2021-06-29 19:25:58.123188
News as a Moral Battleground | PJMS 371,Lecture Section 01,5780,25,25,0.0,No,2021-06-29 19:26:00.561576
Journalism in the Age of Data | PJMS 375,Lecture Section 01,5790,20,20,0.0,No,2021-06-29 19:26:02.990914
Special Topics in Policy Journalism and Media Studies | PJMS 390S,SEM Section 70,5788,12,12,0.0,No,2021-06-29 19:26:05.435336
Special Topics in Policy Journalism and Media Studies | PJMS 390S,SEM Section 80,5789,15,15,0.0,No,2021-06-29 19:26:07.869157
Independent Study | PJMS 391,IND Section 01,1447,1,1,0.0,No,2021-06-29 19:26:10.287208
Independent Study | PJMS 391,IND Section 02,1448,1,1,0.0,No,2021-06-29 19:26:12.677197
Independent Study | PJMS 391,IND Section 03,1449,1,1,0.0,No,2021-06-29 19:26:15.138008
Independent Study | PJMS 391,IND Section 04,1450,1,1,0.0,No,2021-06-29 19:26:17.596358
Independent Study | PJMS 391,IND Section 05,1451,1,1,0.0,No,2021-06-29 19:26:19.982590
Independent Study | PJMS 391,IND Section 06,1452,1,1,0.0,No,2021-06-29 19:26:22.482430
Independent Study | PJMS 391,IND Section 07,1453,1,1,0.0,No,2021-06-29 19:26:24.851294
Independent Study | PJMS 391,IND Section 08,1454,1,1,0.0,No,2021-06-29 19:26:27.174963
Advanced Reporting | PJMS 397S,SEM Section 01,5792,8,8,0.0,No,2021-06-29 19:26:29.514142
Policy Journalism and Media Studies Capstone Course | PJMS 410,Lecture Section 01,5786,15,15,0.0,No,2021-06-29 19:26:31.861786
