Class Name,Section,Class Number,Open Seats,Total Seats,Percent,Reserved Seats,Timestamp
Elementary Russian I | RUSSIAN 101,Lecture Section 01,6351,20,20,0.0,No,2021-06-29 19:26:09.010137
Elementary Russian I | RUSSIAN 101,Lecture Section 02,6352,20,20,0.0,No,2021-06-29 19:26:11.487933
Intermediate Russian I | RUSSIAN 203,Lecture Section 01,6353,20,20,0.0,No,2021-06-29 19:26:13.979626
Directing | RUSSIAN 255S,SEM Section 01,8881,12,12,0.0,No,2021-06-29 19:26:16.453425
Literatures and Films of Pandemic | RUSSIAN 278S,SEM Section 01,6388,18,18,0.0,No,2021-06-29 19:26:19.021252
Topics in Russian Studies | RUSSIAN 290S,SEM Section 01,7597,18,18,0.0,No,2021-06-29 19:26:21.413666
Contemporary Russian Composition and Readings | RUSSIAN 301S,SEM Section 01,6354,15,15,0.0,No,2021-06-29 19:26:23.793549
The Devil in Russian Literature | RUSSIAN 314,Lecture Section 01,6369,30,30,0.0,No,2021-06-29 19:26:26.162058
Islam in Asia | RUSSIAN 370S,SEM Section 01,6373,18,18,0.0,No,2021-06-29 19:26:28.496849
Russian Fiction and Film | RUSSIAN 371S,SEM Section 01,6367,18,18,0.0,No,2021-06-29 19:26:30.877437
Advanced Russian | RUSSIAN 401,Lecture Section 01,6358,12,12,0.0,No,2021-06-29 19:26:33.268839
Soviet and Post-Soviet Economic History | RUSSIAN 407D,Lecture Section 001,6147,15,15,0.0,No,2021-06-29 19:26:35.642062
Soviet and Post-Soviet Economic History | RUSSIAN 407D,Discussion Section 01D,6148,15,15,0.0,No,2021-06-29 19:26:37.996025
Research Independent Study | RUSSIAN 493,IND Section 01,6355,1,1,0.0,No,2021-06-29 19:26:40.329888
Research Independent Study | RUSSIAN 493,IND Section 02,6356,1,1,0.0,No,2021-06-29 19:26:42.697648
Research Independent Study | RUSSIAN 493,IND Section 03,6357,1,1,0.0,No,2021-06-29 19:26:45.118313
