Class Name,Section,Class Number,Open Seats,Total Seats,Percent,Reserved Seats,Timestamp
Elementary Spanish 1 | SPANISH 101,Lecture Section 01,5652,15,15,0.0,No,2021-06-28 13:06:37.199806
Elementary Spanish 1 | SPANISH 101,Lecture Section 02,5653,15,15,0.0,No,2021-06-28 13:06:39.721057
Elementary Spanish 1 | SPANISH 101,Lecture Section 03,5654,15,15,0.0,No,2021-06-28 13:06:42.267066
Elementary Spanish 1 | SPANISH 101,Lecture Section 04,5655,15,15,0.0,No,2021-06-28 13:06:44.682566
Elementary Spanish 2 | SPANISH 102,Lecture Section 01,5656,15,15,0.0,No,2021-06-28 13:06:47.101011
Elementary Spanish 2 | SPANISH 102,Lecture Section 02,5657,15,15,0.0,No,2021-06-28 13:06:49.504879
Elementary Spanish 2 | SPANISH 102,Lecture Section 03,5658,15,15,0.0,No,2021-06-28 13:06:51.918746
Elementary Spanish 2 | SPANISH 102,Lecture Section 04,5659,15,15,0.0,No,2021-06-28 13:06:54.291946
Elementary Spanish 2 | SPANISH 102,Lecture Section 05,5660,15,15,0.0,No,2021-06-28 13:06:56.628106
Elementary Spanish 2 | SPANISH 102,Lecture Section 06,5661,15,15,0.0,No,2021-06-28 13:06:58.959332
Accelerated Elementary Spanish | SPANISH 112,Lecture Section 01,5764,15,15,0.0,No,2021-06-28 13:07:01.381449
Intermediate Spanish | SPANISH 203,Lecture Section 01,5662,15,15,0.0,No,2021-06-28 13:07:03.768572
Intermediate Spanish | SPANISH 203,Lecture Section 02,5663,15,15,0.0,No,2021-06-28 13:07:06.150161
Intermediate Spanish | SPANISH 203,Lecture Section 03,5664,15,15,0.0,No,2021-06-28 13:07:08.492933
Intermediate Spanish | SPANISH 203,Lecture Section 04,5665,15,15,0.0,No,2021-06-28 13:07:10.866540
Intermediate Spanish | SPANISH 203,Lecture Section 05,5666,15,15,0.0,No,2021-06-28 13:07:13.218193
Intermediate Spanish | SPANISH 203,Lecture Section 06,5667,15,15,0.0,No,2021-06-28 13:07:15.571492
Intermediate Spanish | SPANISH 203,Lecture Section 07,5668,15,15,0.0,No,2021-06-28 13:07:17.901963
Intermediate Spanish | SPANISH 203,Lecture Section 08,5669,15,15,0.0,No,2021-06-28 13:07:20.242170
Intermediate Spanish | SPANISH 203,Lecture Section 09,5670,15,15,0.0,No,2021-06-28 13:07:22.573566
Intermediate Spanish | SPANISH 203,Lecture Section 10,5671,15,15,0.0,No,2021-06-28 13:07:25.006667
Intermediate Spanish | SPANISH 203,Lecture Section 11,5672,15,15,0.0,No,2021-06-28 13:07:27.360488
Advanced Intermediate Spanish | SPANISH 204,Lecture Section 01,5673,15,15,0.0,No,2021-06-28 13:07:29.688040
Advanced Intermediate Spanish | SPANISH 204,Lecture Section 02,5674,15,15,0.0,No,2021-06-28 13:07:32.054263
Advanced Intermediate Spanish | SPANISH 204,Lecture Section 03,5675,15,15,0.0,No,2021-06-28 13:07:34.384444
Advanced Intermediate Spanish | SPANISH 204,Lecture Section 04,5676,15,15,0.0,No,2021-06-28 13:07:36.730078
Advanced Intermediate Spanish | SPANISH 204,Lecture Section 05,5677,15,15,0.0,No,2021-06-28 13:07:39.150234
Advanced Intermediate Spanish | SPANISH 204,Lecture Section 06,5678,15,15,0.0,No,2021-06-28 13:07:41.717113
Advanced Intermediate Spanish | SPANISH 204,Lecture Section 07,5679,15,15,0.0,No,2021-06-28 13:07:44.061770
