Class Name,Section,Class Number,Open Seats,Total Seats,Percent,Reserved Seats,Timestamp
Introduction to Dance | DANCE 101,Lecture Section 01,5297,12,12,0.0,No,2021-06-30 21:40:39.632791
Elementary Modern Dance | DANCE 110,STU Section 01,5289,10,10,0.0,No,2021-06-30 21:40:42.078350
"Alexander Technique for Musicians, Dancers, and Actors | DANCE 116",MUS Section 01,6901,12,12,0.0,No,2021-06-30 21:40:44.512050
Beginning Ballet | DANCE 120,STU Section 01,5306,10,10,0.0,No,2021-06-30 21:40:46.914246
Intermediate Ballet | DANCE 122,STU Section 01,5293,10,10,0.0,No,2021-06-30 21:40:49.313050
African Dance Technique I | DANCE 130,STU Section 01,5296,10,10,0.0,No,2021-06-30 21:40:51.693456
Capoeira: Brazilian Dance/Martial Art | DANCE 131,STU Section 01,5300,6,6,0.0,No,2021-06-30 21:40:54.215482
Jazz Dance I | DANCE 140,STU Section 01,5292,20,20,0.0,No,2021-06-30 21:40:56.625211
Hip Hop I | DANCE 142,STU Section 01,5305,6,6,0.0,No,2021-06-30 21:40:59.000415
Dance Improvisation | DANCE 152,STU Section 01,5307,6,6,0.0,No,2021-06-30 21:41:01.378095
Intermediate Modern Dance | DANCE 210,STU Section 01,5290,10,10,0.0,No,2021-06-30 21:41:03.721322
Musical Theater Workshop: Performance | DANCE 211,WRK Section 01,8886,16,16,0.0,No,2021-06-30 21:41:06.151636
Jazz Dance II | DANCE 240,STU Section 01,5294,20,20,0.0,No,2021-06-30 21:41:08.598198
Individual Dance Program: Special Topics | DANCE 280,TUT Section 01,10069,5,5,0.0,No,2021-06-30 21:41:11.030306
Individual Dance Program: Special Topics | DANCE 280,TUT Section 02,10070,5,5,0.0,No,2021-06-30 21:41:13.418077
Individual Dance Program: Special Topics | DANCE 280,TUT Section 03,10071,5,5,0.0,No,2021-06-30 21:41:15.858420
Individual Dance Program: Special Topics | DANCE 280,TUT Section 04,10072,5,5,0.0,No,2021-06-30 21:41:18.278375
Individual Dance Program: Special Topics | DANCE 280,TUT Section 05,10073,5,5,0.0,No,2021-06-30 21:41:20.714370
Individual Dance Program: Special Topics | DANCE 280,TUT Section 06,10074,5,5,0.0,No,2021-06-30 21:41:23.131522
Individual Dance Program: Special Topics | DANCE 280,TUT Section 07,10075,5,5,0.0,No,2021-06-30 21:41:25.510208
Individual Dance Program: Special Topics | DANCE 280,TUT Section 08,10076,5,5,0.0,No,2021-06-30 21:41:28.135728
Individual Dance Program: Special Topics | DANCE 280,TUT Section 09,10077,5,5,0.0,No,2021-06-30 21:41:30.745995
Individual Dance Program: Special Topics | DANCE 280,TUT Section 10,10078,5,5,0.0,No,2021-06-30 21:41:33.268777
Advanced Modern Dance | DANCE 310,STU Section 01,5291,15,15,0.0,No,2021-06-30 21:41:35.848590
Advanced Ballet | DANCE 320,STU Section 01,5295,15,15,0.0,No,2021-06-30 21:41:38.369811
The Black Parades: African Diaspora Parade Culture and Radical Resistance | DANCE 325S,SEM Section 01,5315,15,15,0.0,No,2021-06-30 21:41:40.978865
Gender in Dance and Theatre | DANCE 368,Lecture Section 01,5301,12,12,0.0,No,2021-06-30 21:41:43.589806
Legal Issues for the Performing Arts | DANCE 379S,SEM Section 01,8893,16,16,0.0,No,2021-06-30 21:41:45.983091
Performance: Ballet | DANCE 422,STU Section 01,5299,10,10,0.0,No,2021-06-30 21:41:48.344765
