Class Name,Section,Class Number,Open Seats,Total Seats,Percent,Reserved Seats,Timestamp
Economic Principles | ECON 101D,Lecture Section 001,6113,350,350,0.0,No,2021-06-30 21:42:59.146790
Economic Principles | ECON 101D,Discussion Section 01D,6114,70,70,0.0,No,2021-06-30 21:43:01.600978
Economic Principles | ECON 101D,Discussion Section 02D,6115,70,70,0.0,No,2021-06-30 21:43:04.079226
Economic Principles | ECON 101D,Discussion Section 03D,6116,70,70,0.0,No,2021-06-30 21:43:06.577762
Economic Principles | ECON 101D,Discussion Section 04D,6117,70,70,0.0,No,2021-06-30 21:43:08.931014
Economic Principles | ECON 101D,Discussion Section 05D,6118,70,70,0.0,No,2021-06-30 21:43:11.314803
Statistical Foundations of Econometrics and Data Science | ECON 104D,Lecture Section 001,6130,150,150,0.0,No,2021-06-30 21:43:13.654090
Statistical Foundations of Econometrics and Data Science | ECON 104D,Discussion Section 01D,6131,30,30,0.0,No,2021-06-30 21:43:16.007475
Statistical Foundations of Econometrics and Data Science | ECON 104D,Discussion Section 02D,6132,30,30,0.0,No,2021-06-30 21:43:18.376574
Statistical Foundations of Econometrics and Data Science | ECON 104D,Discussion Section 03D,6133,30,30,0.0,No,2021-06-30 21:43:20.711885
Statistical Foundations of Econometrics and Data Science | ECON 104D,Discussion Section 04D,6134,30,30,0.0,No,2021-06-30 21:43:23.062172
Statistical Foundations of Econometrics and Data Science | ECON 104D,Discussion Section 05D,6135,30,30,0.0,No,2021-06-30 21:43:25.479092
Globalization and Corporate Citizenship | ECON 112FS,SEM Section 01,7296,0,18,100.0,No,2021-06-30 21:43:27.808809
Introduction to Political Economy | ECON 119,Lecture Section 01,6448,150,150,0.0,No,2021-06-30 21:43:30.146452
Financial Accounting | ECON 174,Lecture Section 01,6009,150,150,0.0,No,2021-06-30 21:43:32.474055
Focus Program Topics in Economics | ECON 190FS,SEM Section 01,6010,0,18,100.0,No,2021-06-30 21:43:34.804102
Focus Program Topics in Economics | ECON 190FS,SEM Section 02,6011,0,18,100.0,No,2021-06-30 21:43:37.192041
Intermediate Microeconomics I | ECON 201D,Lecture Section 001,6036,250,250,0.0,No,2021-06-30 21:43:39.547129
Intermediate Microeconomics I | ECON 201D,Discussion Section 01D,6037,50,50,0.0,No,2021-06-30 21:43:41.943889
Intermediate Microeconomics I | ECON 201D,Discussion Section 02D,6038,50,50,0.0,No,2021-06-30 21:43:44.304577
Intermediate Microeconomics I | ECON 201D,Discussion Section 03D,6039,50,50,0.0,No,2021-06-30 21:43:46.692584
Intermediate Microeconomics I | ECON 201D,Discussion Section 04D,6040,50,50,0.0,No,2021-06-30 21:43:49.002152
Intermediate Microeconomics I | ECON 201D,Discussion Section 05D,6041,50,50,0.0,No,2021-06-30 21:43:51.338063
Econometrics and Data Science | ECON 204D,Lecture Section 001,6138,75,75,0.0,No,2021-06-30 21:43:53.666264
Econometrics and Data Science | ECON 204D,Discussion Section 01D,6139,37,37,0.0,No,2021-06-30 21:43:56.005827
Econometrics and Data Science | ECON 204D,Discussion Section 02D,6140,38,38,0.0,No,2021-06-30 21:43:58.388209
Intermediate Microeconomics II | ECON 205D,Lecture Section 001,6042,150,150,0.0,No,2021-06-30 21:44:00.774291
Intermediate Microeconomics II | ECON 205D,Discussion Section 01D,6043,30,30,0.0,No,2021-06-30 21:44:03.161480
Intermediate Microeconomics II | ECON 205D,Discussion Section 02D,6044,30,30,0.0,No,2021-06-30 21:44:05.682688
Intermediate Microeconomics II | ECON 205D,Discussion Section 03D,6045,30,30,0.0,No,2021-06-30 21:44:08.173518
Intermediate Microeconomics II | ECON 205D,Discussion Section 04D,6046,30,30,0.0,No,2021-06-30 21:44:10.807102
Intermediate Microeconomics II | ECON 205D,Discussion Section 05D,6047,30,30,0.0,No,2021-06-30 21:44:13.393257
Intermediate Macroeconomics | ECON 210D,Lecture Section 001,6048,150,150,0.0,No,2021-06-30 21:44:15.876245
Intermediate Macroeconomics | ECON 210D,Discussion Section 01D,6049,30,30,0.0,No,2021-06-30 21:44:18.446411
Intermediate Macroeconomics | ECON 210D,Discussion Section 02D,6050,30,30,0.0,No,2021-06-30 21:44:20.954244
Intermediate Macroeconomics | ECON 210D,Discussion Section 03D,6051,30,30,0.0,No,2021-06-30 21:44:23.311062
Intermediate Macroeconomics | ECON 210D,Discussion Section 04D,6052,30,30,0.0,No,2021-06-30 21:44:25.780712
Intermediate Macroeconomics | ECON 210D,Discussion Section 05D,6053,30,30,0.0,No,2021-06-30 21:44:28.158385
Engineering Systems Optimization and Economics | ECON 212,Lecture Section 01,8068,25,25,0.0,No,2021-06-30 21:44:30.540225
Legal Issues for the Performing Arts | ECON 223S,SEM Section 01,8892,16,16,0.0,No,2021-06-30 21:44:32.871007
Personal Finance | ECON 254,Lecture Section 01,10079,100,100,0.0,No,2021-06-30 21:44:35.256302
Shakespeare & Financial Markets: Why This Time is Never Different | ECON 255S,SEM Section 01,6123,18,18,0.0,No,2021-06-30 21:44:37.571055
Practical Financial Markets | ECON 256,Lecture Section 01,6126,240,240,0.0,No,2021-06-30 21:44:39.900484
Amazon.com and the Cybereconomy | ECON 273,Lecture Section 01,4204,30,30,0.0,No,2021-06-30 21:44:42.374116
"Denial, Faith, Reason: Sustainability and Survival | ECON 285",Lecture Section 01,7973,20,20,0.0,No,2021-06-30 21:44:44.776683
Selected Topics In Economics | ECON 290,Lecture Section 01,8193,40,40,0.0,No,2021-06-30 21:44:47.123863
History of International Financial and Monetary Crises | ECON 305,Lecture Section 01,6101,30,30,0.0,No,2021-06-30 21:44:49.456261
History of Economic Thought | ECON 311,Lecture Section 01,6012,30,30,0.0,No,2021-06-30 21:44:51.824265
Social Inequalities and Low-Wage Work | ECON 337S,SEM Section 01,6128,18,18,0.0,No,2021-06-30 21:44:54.173765
Economics of the Public Sector | ECON 338,Lecture Section 01,7966,50,50,0.0,No,2021-06-30 21:44:56.655681
Economics of the Public Sector | ECON 338,Lecture Section 02,7967,42,42,0.0,No,2021-06-30 21:44:59.072979
Environmental Economics and Policy | ECON 339,Lecture Section 01,8676,25,25,0.0,No,2021-06-30 21:45:01.587328
History of Art Markets | ECON 344,Lecture Section 01,8942,35,35,0.0,No,2021-06-30 21:45:04.006037
History of Art Markets | ECON 344,Lecture Section 02,8943,35,35,0.0,No,2021-06-30 21:45:06.504076
Women in the Economy | ECON 348,Lecture Section 01,6033,40,40,0.0,No,2021-06-30 21:45:08.867673
The Economic and Political Performance of Civilizations | ECON 351S,SEM Section 01,6109,14,14,0.0,No,2021-06-30 21:45:11.198376
International Trade | ECON 355,Lecture Section 01,6015,20,20,0.0,No,2021-06-30 21:45:13.584390
Discovering Game Theory: Social Complexity and Strategic Interdependence | ECON 362,Lecture Section 01,6478,50,50,0.0,No,2021-06-30 21:45:16.061970
Global Capital Markets | ECON 370,Lecture Section 01,6108,18,18,0.0,No,2021-06-30 21:45:18.686391
Asset Pricing and Risk Management | ECON 372,Lecture Section 01,6092,125,125,0.0,No,2021-06-30 21:45:21.058527
