Class Name,Section,Class Number,Open Seats,Total Seats,Percent,Reserved Seats,Timestamp
Thrive | EGR 79D,Lecture Section 001,10120,144,144,0.0,No,2021-06-30 21:42:37.606908
Thrive | EGR 79D,Discussion Section 01D,10121,12,12,0.0,No,2021-06-30 21:42:40.059553
Thrive | EGR 79D,Discussion Section 02D,10122,12,12,0.0,No,2021-06-30 21:42:42.591655
Thrive | EGR 79D,Discussion Section 03D,10123,12,12,0.0,No,2021-06-30 21:42:45.074637
Thrive | EGR 79D,Discussion Section 04D,10124,12,12,0.0,No,2021-06-30 21:42:47.503202
Thrive | EGR 79D,Discussion Section 05D,10125,12,12,0.0,No,2021-06-30 21:42:49.961146
Thrive | EGR 79D,Discussion Section 06D,10126,12,12,0.0,No,2021-06-30 21:42:52.353562
Thrive | EGR 79D,Discussion Section 07D,10127,12,12,0.0,No,2021-06-30 21:42:54.790092
Thrive | EGR 79D,Discussion Section 08D,10128,12,12,0.0,No,2021-06-30 21:42:57.248704
Thrive | EGR 79D,Discussion Section 09D,10129,12,12,0.0,No,2021-06-30 21:42:59.646511
Thrive | EGR 79D,Discussion Section 10D,10130,12,12,0.0,No,2021-06-30 21:43:02.085442
Thrive | EGR 79D,Discussion Section 11D,10131,12,12,0.0,No,2021-06-30 21:43:04.520576
Thrive | EGR 79D,Discussion Section 12D,10132,12,12,0.0,No,2021-06-30 21:43:06.932840
First Year seminar in Focus | EGR 95FS,SEM Section 01,8070,0,18,100.0,No,2021-06-30 21:43:09.352261
First Year seminar in Focus | EGR 95FS,SEM Section 02,8071,0,18,100.0,No,2021-06-30 21:43:11.727085
Engineering Design and Communication | EGR 101L,Lecture Section 001,8074,44,44,0.0,No,2021-06-30 21:43:14.075562
Engineering Design and Communication | EGR 101L,Lecture Section 002,8075,44,44,0.0,No,2021-06-30 21:43:16.435930
Engineering Design and Communication | EGR 101L,Lecture Section 003,8076,40,40,0.0,No,2021-06-30 21:43:18.775411
Engineering Design and Communication | EGR 101L,Lecture Section 004,8077,44,44,0.0,No,2021-06-30 21:43:21.146742
Engineering Design and Communication | EGR 101L,Lecture Section 005,8078,40,40,0.0,No,2021-06-30 21:43:23.506340
Engineering Design and Communication | EGR 101L,Lecture Section 006,8079,44,44,0.0,No,2021-06-30 21:43:25.857543
Engineering Design and Communication | EGR 101L,Lecture Section 007,8080,17,17,0.0,No,2021-06-30 21:43:28.181135
Engineering Design and Communication | EGR 101L,Lecture Section 008,8081,44,44,0.0,No,2021-06-30 21:43:30.514354
Engineering Design and Communication | EGR 101L,Lecture Section 009,8082,20,20,0.0,No,2021-06-30 21:43:32.856155
Engineering Design and Communication | EGR 101L,Laboratory Section 01L,8083,40,40,0.0,No,2021-06-30 21:43:35.201960
Engineering Design and Communication | EGR 101L,Laboratory Section 02L,8084,40,40,0.0,No,2021-06-30 21:43:37.531506
Engineering Design and Communication | EGR 101L,Laboratory Section 03L,8085,36,36,0.0,No,2021-06-30 21:43:39.893099
Engineering Design and Communication | EGR 101L,Laboratory Section 04L,8086,40,40,0.0,No,2021-06-30 21:43:42.253796
Engineering Design and Communication | EGR 101L,Laboratory Section 05L,8087,36,36,0.0,No,2021-06-30 21:43:44.626273
Engineering Design and Communication | EGR 101L,Laboratory Section 06L,8088,40,40,0.0,No,2021-06-30 21:43:46.980302
Engineering Design and Communication | EGR 101L,Laboratory Section 07L,8089,17,17,0.0,No,2021-06-30 21:43:49.354094
Engineering Design and Communication | EGR 101L,Laboratory Section 08L,8090,40,40,0.0,No,2021-06-30 21:43:51.751896
Engineering Design and Communication | EGR 101L,Laboratory Section 09L,8091,18,18,0.0,No,2021-06-30 21:43:54.123590
Computational Methods in Engineering | EGR 103L,Lecture Section 001,8853,150,150,0.0,No,2021-06-30 21:43:56.437737
Computational Methods in Engineering (Lab) | EGR 103L9,Laboratory Section 02L,8814,30,30,0.0,No,2021-06-30 21:43:58.867148
Computational Methods in Engineering (Lab) | EGR 103L9,Laboratory Section 03L,8815,30,30,0.0,No,2021-06-30 21:44:01.630045
Computational Methods in Engineering (Lab) | EGR 103L9,Laboratory Section 05L,8816,30,30,0.0,No,2021-06-30 21:44:04.029410
Computational Methods in Engineering (Lab) | EGR 103L9,Laboratory Section 06L,8817,30,30,0.0,No,2021-06-30 21:44:06.494727
Computational Methods in Engineering (Lab) | EGR 103L9,Laboratory Section 08L,8818,30,30,0.0,No,2021-06-30 21:44:08.909036
Special Topics in Engineering | EGR 190,Lecture Section 01,8069,30,30,0.0,No,2021-06-30 21:44:11.512184
Mechanics of Solids | EGR 201L,Lecture Section 001,8058,50,50,0.0,No,2021-06-30 21:44:14.062049
Mechanics of Solids | EGR 201L,Lecture Section 002,8059,50,50,0.0,No,2021-06-30 21:44:16.524975
Mechanics of Solids | EGR 201L,Lecture Section 003,8060,50,50,0.0,No,2021-06-30 21:44:19.055417
Mechanics of Solids | EGR 201L,Laboratory Section 11L,8061,25,25,0.0,No,2021-06-30 21:44:21.529051
Mechanics of Solids | EGR 201L,Laboratory Section 12L,8062,25,25,0.0,No,2021-06-30 21:44:24.074599
Mechanics of Solids | EGR 201L,Laboratory Section 21L,8063,25,25,0.0,No,2021-06-30 21:44:26.503759
Mechanics of Solids | EGR 201L,Laboratory Section 22L,8064,25,25,0.0,No,2021-06-30 21:44:28.910081
Mechanics of Solids | EGR 201L,Laboratory Section 31L,8065,25,25,0.0,No,2021-06-30 21:44:31.244401
Mechanics of Solids | EGR 201L,Laboratory Section 32L,8066,25,25,0.0,No,2021-06-30 21:44:33.654094
Fundamentals of Data Analysis and Decision Science | EGR 238L,Lecture Section 001,8108,30,30,0.0,No,2021-06-30 21:44:36.021773
Fundamentals of Data Analysis and Decision Science | EGR 238L,Laboratory Section 01L,8109,30,30,0.0,No,2021-06-30 21:44:38.369939
Engineering Systems Optimization and Economics | EGR 305,Lecture Section 01,8067,25,25,0.0,No,2021-06-30 21:44:40.699759
