Class Name,Section,Class Number,Open Seats,Total Seats,Percent,Reserved Seats,Timestamp
Bass Connections: Interdisciplinary Team Projects | EHD 395,IND Section 01,5981,18,18,0.0,No,2021-06-30 21:39:10.784750
Bass Connections Education & Human Development Research Team | EHD 395T,TUT Section 01,2367,18,18,0.0,No,2021-06-30 21:39:13.224143
Bass Connections Education & Human Development Research Team | EHD 395T,TUT Section 02,2368,18,18,0.0,No,2021-06-30 21:39:15.678535
Bass Connections Education & Human Development Research Team | EHD 395T,TUT Section 03,5991,18,18,0.0,No,2021-06-30 21:39:18.094383
Bass Connections Education & Human Development Research Team | EHD 395T,TUT Section 04,5992,18,18,0.0,No,2021-06-30 21:39:20.515657
Bass Connections Education & Human Development Research Team | EHD 395T,TUT Section 05,5993,18,18,0.0,No,2021-06-30 21:39:22.908877
Bass Connections Education & Human Development Research Team | EHD 395T,TUT Section 06,5994,18,18,0.0,No,2021-06-30 21:39:25.312077
Bass Connections Education & Human Development Research Team | EHD 395T,TUT Section 07,5995,15,15,0.0,No,2021-06-30 21:39:27.666119
Bass Connections Education & Human Development Research Team | EHD 395T,TUT Section 08,5996,18,18,0.0,No,2021-06-30 21:39:30.048710
Bass Connections Education & Human Development Research Team | EHD 395T,TUT Section 09,5997,18,18,0.0,No,2021-06-30 21:39:32.477210
Bass Connections Education & Human Development Research Team | EHD 395T,TUT Section 10,5998,18,18,0.0,No,2021-06-30 21:39:34.805184
