Class Name,Section,Class Number,Open Seats,Total Seats,Percent,Reserved Seats,Timestamp
First-Year Seminar on Literature | ENGLISH 89S,SEM Section 01,7233,14,14,0.0,No,2021-06-30 21:40:45.980305
Special Topics in Literature | ENGLISH 90S,SEM Section 01,7228,15,15,0.0,No,2021-06-30 21:40:48.435811
Special Topics in Literature | ENGLISH 90S,SEM Section 02,7229,15,15,0.0,No,2021-06-30 21:40:50.833002
The Art of Reading | ENGLISH 101S,SEM Section 01,7275,18,18,0.0,No,2021-06-30 21:40:53.242666
The Art of Reading | ENGLISH 101S,SEM Section 02,7276,15,15,0.0,No,2021-06-30 21:40:55.621470
The Art of Reading | ENGLISH 101S,SEM Section 03,7277,15,15,0.0,No,2021-06-30 21:40:58.013456
Introduction to Creative Writing | ENGLISH 110S,SEM Section 01,7234,15,15,0.0,No,2021-06-30 21:41:00.482148
Introduction to Creative Writing | ENGLISH 110S,SEM Section 02,7235,15,15,0.0,No,2021-06-30 21:41:02.896373
Introduction to Creative Writing | ENGLISH 110S,SEM Section 03,7236,15,15,0.0,No,2021-06-30 21:41:05.323601
Introduction to Film Studies | ENGLISH 181,Lecture Section 01,9450,25,25,0.0,No,2021-06-30 21:41:07.673520
Focus Program Seminar: Topics on Literature | ENGLISH 190FS-2,SEM Section 01,7230,0,18,100.0,No,2021-06-30 21:41:10.140959
Focus Program Seminar: Topics on Literature | ENGLISH 190FS-2,SEM Section 02,7231,4,18,77.77777777777779,No,2021-06-30 21:41:12.614709
Focus Program Seminar: Topics on Literature | ENGLISH 190FS-2,SEM Section 03,7232,0,18,100.0,No,2021-06-30 21:41:15.069606
"Performing Science: Experimentation, Collaboration, and Artistry | ENGLISH 198FS",SEM Section 01,8911,1,18,94.44444444444444,No,2021-06-30 21:41:17.434601
Introduction to Performance Studies | ENGLISH 202S,SEM Section 01,8906,16,16,0.0,No,2021-06-30 21:41:19.887266
Variety in Language: English in the United States | ENGLISH 206,Lecture Section 01,4373,30,30,0.0,No,2021-06-30 21:41:22.332789
Criticism and the Arts | ENGLISH 208S,SEM Section 01,7274,15,15,0.0,No,2021-06-30 21:41:24.763023
Introduction to the Writing of Poetry | ENGLISH 220S,SEM Section 01,7238,15,15,0.0,No,2021-06-30 21:41:27.362124
Introduction to the Writing of Fiction | ENGLISH 221S,SEM Section 01,7269,15,15,0.0,No,2021-06-30 21:41:29.934089
Introduction to the Writing of Creative Non-Fiction | ENGLISH 222S,SEM Section 01,7237,15,15,0.0,No,2021-06-30 21:41:32.492845
Ready for Prime Time: Writing the Dramatic TV Episode | ENGLISH 224S,SEM Section 01,8899,16,16,0.0,No,2021-06-30 21:41:35.016254
Writing the Movie. Introduction to the Theory and Practice of Writing for the Screen | ENGLISH 225S,SEM Section 01,9078,18,18,0.0,No,2021-06-30 21:41:37.730987
Dramatic Writing | ENGLISH 226S,SEM Section 01,8872,16,16,0.0,No,2021-06-30 21:41:40.158723
Literatures and Films of Pandemic | ENGLISH 243S,SEM Section 01,6392,18,18,0.0,No,2021-06-30 21:41:42.926738
Social Marketing: From Literary Celebrities to Instagram Influencers | ENGLISH 253,Lecture Section 01,5469,24,24,0.0,Yes,2021-06-30 21:41:45.277502
Docu-Poetry: Real Life Truths Outside and Inside the Poetic Narrative | ENGLISH 279S,SEM Section 01,6680,13,13,0.0,No,2021-06-30 21:41:47.616407
The Legend of King Arthur in Literature and Film | ENGLISH 286,Lecture Section 01,5449,25,25,0.0,No,2021-06-30 21:41:49.980016
Special Topics in Language and Literature | ENGLISH 290S,SEM Section 01,9617,15,15,0.0,No,2021-06-30 21:41:52.333037
Special Topics in Creative Writing | ENGLISH 290S-4,SEM Section 01,7240,14,14,0.0,No,2021-06-30 21:41:54.667741
Special Topics in Creative Writing | ENGLISH 290S-4,SEM Section 02,7241,14,14,0.0,No,2021-06-30 21:41:56.998096
Intermediate Workshop in the Writing of Poetry | ENGLISH 320S,SEM Section 01,7239,15,15,0.0,No,2021-06-30 21:41:59.462095
Intermediate Workshop in the Writing of Fiction | ENGLISH 321S,SEM Section 01,7268,14,14,0.0,No,2021-06-30 21:42:01.912172
Shakespeare through 1600 | ENGLISH 336,Lecture Section 01,7247,25,25,0.0,No,2021-06-30 21:42:04.397925
Milton | ENGLISH 338S,SEM Section 01,7270,14,14,0.0,No,2021-06-30 21:42:06.847167
Fictions That Mark the Moment | ENGLISH 379S,SEM Section 01,7377,18,18,0.0,No,2021-06-30 21:42:09.244601
Science Fiction Film | ENGLISH 386,Lecture Section 01,7254,20,20,0.0,No,2021-06-30 21:42:11.647572
Special Topics: Single American Author | ENGLISH 390-1,Lecture Section 01,7249,30,30,0.0,No,2021-06-30 21:42:14.022984
Special Topics in Language and Literature | ENGLISH 390S-7,SEM Section 01,7265,15,15,0.0,No,2021-06-30 21:42:16.528209
Special Topics in Language and Literature | ENGLISH 390S-7,SEM Section 02,7266,15,15,0.0,No,2021-06-30 21:42:18.975524
Special Topics in Language and Literature | ENGLISH 390S-7,SEM Section 03,7267,15,15,0.0,No,2021-06-30 21:42:21.327218
Special Topics in Language and Literature | ENGLISH 390S-7,SEM Section 04,7589,18,18,0.0,No,2021-06-30 21:42:23.693134
