Class Name,Section,Class Number,Open Seats,Total Seats,Percent,Reserved Seats,Timestamp
First-Year Seminar | GERMAN 89S,SEM Section 01,5423,18,18,0.0,No,2021-06-30 21:43:09.665346
First-Year German I | GERMAN 101,Lecture Section 01,5417,18,18,0.0,No,2021-06-30 21:43:12.071247
First-Year German I | GERMAN 101,Lecture Section 02,5418,18,18,0.0,No,2021-06-30 21:43:14.467646
First-Year German I | GERMAN 101,Lecture Section 03,5419,18,18,0.0,No,2021-06-30 21:43:16.859438
First-Year German II | GERMAN 102,Lecture Section 01,5420,18,18,0.0,No,2021-06-30 21:43:19.209113
First-Year German II | GERMAN 102,Lecture Section 02,5421,18,18,0.0,No,2021-06-30 21:43:21.571646
First-Year German II | GERMAN 102,Lecture Section 03,5422,18,18,0.0,No,2021-06-30 21:43:23.924403
Intermediate German I | GERMAN 203,Lecture Section 01,5424,15,15,0.0,No,2021-06-30 21:43:26.327048
Intermediate German I | GERMAN 203,Lecture Section 02,5425,15,15,0.0,No,2021-06-30 21:43:28.671276
Intermediate German I | GERMAN 203,Lecture Section 03,5426,15,15,0.0,No,2021-06-30 21:43:31.005778
Intermediate German II | GERMAN 204,Lecture Section 01,5427,15,15,0.0,No,2021-06-30 21:43:33.342205
Intermediate German II | GERMAN 204,Lecture Section 02,5428,15,15,0.0,No,2021-06-30 21:43:35.723817
Intermediate Conversation Practice | GERMAN 210,Lecture Section 01,5438,10,10,0.0,No,2021-06-30 21:43:38.121303
The Viking Age | GERMAN 261,Lecture Section 01,5440,25,25,0.0,No,2021-06-30 21:43:40.454861
The Legend of King Arthur in Literature and Film | GERMAN 275,Lecture Section 01,5447,25,25,0.0,No,2021-06-30 21:43:42.777544
Advanced German I: Culture and Society | GERMAN 305S,SEM Section 01,5429,18,18,0.0,No,2021-06-30 21:43:45.147687
Advanced Conversation Practice | GERMAN 310,Lecture Section 01,5437,10,10,0.0,No,2021-06-30 21:43:47.519030
Contemporary Culture through the German Media Landscape | GERMAN 340S,SEM Section 01,5439,18,18,0.0,No,2021-06-30 21:43:49.863462
Germany Confronts Nazism and the Holocaust | GERMAN 387,Lecture Section 01,5432,25,25,0.0,No,2021-06-30 21:43:52.190672
Special Topics in German Literature and Culture | GERMAN 390S,SEM Section 01,10325,5,5,0.0,No,2021-06-30 21:43:54.656011
German Literature and Culture | GERMAN 430S,SEM Section 01,5430,10,10,0.0,No,2021-06-30 21:43:56.987348
