Class Name,Section,Class Number,Open Seats,Total Seats,Percent,Reserved Seats,Timestamp
House Course | HOUSECS 59,SEM Section 01,10199,18,18,0.0,No,2021-06-30 21:46:33.669718
House Course | HOUSECS 59,SEM Section 03,10201,18,18,0.0,No,2021-06-30 21:46:36.052208
House Course | HOUSECS 59,SEM Section 04,10202,18,18,0.0,No,2021-06-30 21:46:38.466806
House Course | HOUSECS 59,SEM Section 05,10203,18,18,0.0,No,2021-06-30 21:46:40.848582
House Course | HOUSECS 59,SEM Section 06,10204,18,18,0.0,No,2021-06-30 21:46:43.212325
House Course | HOUSECS 59,SEM Section 09,10207,17,17,0.0,No,2021-06-30 21:46:45.595363
House Course | HOUSECS 59,SEM Section 10,10208,18,18,0.0,No,2021-06-30 21:46:48.111557
House Course | HOUSECS 59,SEM Section 11,10209,18,18,0.0,No,2021-06-30 21:46:50.500445
House Course | HOUSECS 59,SEM Section 12,10210,18,18,0.0,No,2021-06-30 21:46:52.851397
House Course | HOUSECS 59,SEM Section 13,10211,18,18,0.0,No,2021-06-30 21:46:55.286830
House Course | HOUSECS 59,SEM Section 14,10212,10,10,0.0,No,2021-06-30 21:46:57.745633
House Course | HOUSECS 59,SEM Section 15,10213,18,18,0.0,No,2021-06-30 21:47:00.445539
House Course | HOUSECS 59,SEM Section 17,10215,18,18,0.0,No,2021-06-30 21:47:02.894204
House Course | HOUSECS 59,SEM Section 19,10217,18,18,0.0,No,2021-06-30 21:47:05.248661
House Course | HOUSECS 59,SEM Section 20,10218,18,18,0.0,No,2021-06-30 21:47:07.621165
House Course | HOUSECS 59,SEM Section 21,10219,18,18,0.0,No,2021-06-30 21:47:09.983590
House Course | HOUSECS 59,SEM Section 24,10222,18,18,0.0,No,2021-06-30 21:47:12.547816
House Course | HOUSECS 59,SEM Section 25,10223,18,18,0.0,No,2021-06-30 21:47:14.894459
House Course | HOUSECS 59,SEM Section 29,10379,18,18,0.0,No,2021-06-30 21:47:17.282550
House Course | HOUSECS 59,SEM Section 30,10378,18,18,0.0,No,2021-06-30 21:47:19.678417
