Class Name,Section,Class Number,Open Seats,Total Seats,Percent,Reserved Seats,Timestamp
"Information, Society & Culture: Bass Connections Gateway | ISS 110",Lecture Section 01,7418,40,40,0.0,No,2021-06-30 21:49:55.481811
"The Googlization of Knowledge: Information, Ethics, and Technology | ISS 112",Lecture Section 01,7447,18,18,0.0,No,2021-06-30 21:49:57.860856
Digital Storytelling and Interactive Narrative | ISS 187FS,SEM Section 01,7475,1,18,94.44444444444444,No,2021-06-30 21:50:00.214198
Games and Culture: Gateway to the Study of Games | ISS 188FS,SEM Section 01,6628,0,18,100.0,No,2021-06-30 21:50:02.610773
Experimental Interface Design | ISS 198,Lecture Section 01,9101,18,18,0.0,No,2021-06-30 21:50:04.984326
Human Rights on Camera | ISS 228FS,SEM Section 01,4194,2,18,88.88888888888889,No,2021-06-30 21:50:07.322358
Fundamentals of Web-Based Multimedia Communications | ISS 240S,SEM Section 01,7449,18,18,0.0,No,2021-06-30 21:50:09.659553
Web Project Design and Development | ISS 241L,Laboratory Section 01L,7396,10,10,0.0,No,2021-06-30 21:50:12.011806
Introduction to Digital Feminism | ISS 265S,SEM Section 01,4964,18,18,0.0,No,2021-06-30 21:50:14.412261
Advanced Data Visualization | ISS 313L,Lecture Section 001,6349,30,30,0.0,No,2021-06-30 21:50:16.836391
Advanced Data Visualization | ISS 313L,Laboratory Section 01L,6350,30,30,0.0,No,2021-06-30 21:50:19.289095
Mapping History with Geographic Information Systems | ISS 315,Lecture Section 01,7422,10,10,0.0,No,2021-06-30 21:50:21.763329
USER EXPERIENCE AND USER INTERFACE DESIGN AND DEVELOPMENT | ISS 317,Lecture Section 01,9225,10,10,0.0,No,2021-06-30 21:50:24.162178
Special Topics in Information Science + Studies | ISS 390S,SEM Section 01,7595,18,18,0.0,No,2021-06-30 21:50:26.640935
Independent Study | ISS 392,IND Section 01,7438,3,3,0.0,No,2021-06-30 21:50:29.193847
Independent Study | ISS 392,IND Section 02,7439,3,3,0.0,No,2021-06-30 21:50:31.611975
Independent Study | ISS 392,IND Section 03,7440,3,3,0.0,No,2021-06-30 21:50:34.039247
Independent Study | ISS 392,IND Section 04,7441,3,3,0.0,No,2021-06-30 21:50:36.445056
Independent Study | ISS 392,IND Section 05,7442,3,3,0.0,No,2021-06-30 21:50:38.859810
"Bass Connections Information, Society & Culture Research Team | ISS 395T",TUT Section 01,7398,20,20,0.0,No,2021-06-30 21:50:41.339889
"Bass Connections Information, Society & Culture Research Team | ISS 395T",TUT Section 02,7399,22,22,0.0,No,2021-06-30 21:50:43.876216
"Bass Connections Information, Society & Culture Research Team | ISS 395T",TUT Section 03,7400,10,10,0.0,No,2021-06-30 21:50:46.394843
"Bass Connections Information, Society & Culture Research Team | ISS 395T",TUT Section 04,7401,10,10,0.0,No,2021-06-30 21:50:48.879757
"Bass Connections Information, Society & Culture Research Team | ISS 395T",TUT Section 05,7402,10,10,0.0,No,2021-06-30 21:50:51.284842
"Bass Connections Information, Society & Culture Research Team | ISS 395T",TUT Section 06,7403,10,10,0.0,No,2021-06-30 21:50:53.642948
"Bass Connections Information, Society & Culture Research Team | ISS 395T",TUT Section 07,7404,10,10,0.0,No,2021-06-30 21:50:56.057092
"Bass Connections Information, Society & Culture Research Team | ISS 397",IND Section 01,7465,18,18,0.0,No,2021-06-30 21:50:58.508082
"Bass Connections Information, Society & Culture Research Team | ISS 397",IND Section 02,7466,10,10,0.0,No,2021-06-30 21:51:00.860965
"Bass Connections Information, Society & Culture Research Team | ISS 397",IND Section 03,7467,18,18,0.0,No,2021-06-30 21:51:03.329668
"Bass Connections Information, Society & Culture Research Team | ISS 397",IND Section 04,7468,10,10,0.0,No,2021-06-30 21:51:05.775434
"Chinese Media and Popular Culture: Politics, Ideology, and Social Change | ISS 435S",SEM Section 01,6611,18,18,0.0,No,2021-06-30 21:51:08.124442
