Class Name,Section,Class Number,Open Seats,Total Seats,Percent,Reserved Seats,Timestamp
Elementary Italian 1 | ITALIAN 101,Lecture Section 01,5632,15,15,0.0,No,2021-06-30 21:51:24.185064
Elementary Italian 1 | ITALIAN 101,Lecture Section 02,5633,15,15,0.0,No,2021-06-30 21:51:26.560582
Elementary Italian 1 | ITALIAN 101,Lecture Section 03,5634,15,15,0.0,No,2021-06-30 21:51:28.978836
Elementary Italian 1 | ITALIAN 101,Lecture Section 04,5635,15,15,0.0,No,2021-06-30 21:51:31.371399
Elementary Italian 1 | ITALIAN 101,Lecture Section 05,5636,15,15,0.0,No,2021-06-30 21:51:33.743489
Elementary Italian 1 | ITALIAN 101,Lecture Section 06,5637,15,15,0.0,No,2021-06-30 21:51:36.143147
Elementary Italian 2 | ITALIAN 102,Lecture Section 01,5638,15,15,0.0,No,2021-06-30 21:51:38.509899
Elementary Italian 2 | ITALIAN 102,Lecture Section 02,5639,15,15,0.0,No,2021-06-30 21:51:40.856119
Elementary Italian 2 | ITALIAN 102,Lecture Section 03,5640,15,15,0.0,No,2021-06-30 21:51:43.206236
Elementary Italian 2 | ITALIAN 102,Lecture Section 04,5641,15,15,0.0,No,2021-06-30 21:51:45.594779
Accelerated Elementary Italian | ITALIAN 112,Lecture Section 01,5642,15,15,0.0,No,2021-06-30 21:51:47.938010
Focus Topics in Italian Literature and Culture | ITALIAN 190FS,SEM Section 01,5717,2,18,88.88888888888889,No,2021-06-30 21:51:50.295243
Intermediate Italian | ITALIAN 203,Lecture Section 01,5643,15,15,0.0,No,2021-06-30 21:51:52.646220
Intermediate Italian | ITALIAN 203,Lecture Section 02,5644,15,15,0.0,No,2021-06-30 21:51:55.005274
Intermediate Italian | ITALIAN 203,Lecture Section 03,5645,15,15,0.0,No,2021-06-30 21:51:57.386551
Intermediate Italian | ITALIAN 203,Lecture Section 04,5646,15,15,0.0,No,2021-06-30 21:51:59.761574
Intermediate Italian | ITALIAN 203,Lecture Section 05,5647,15,15,0.0,No,2021-06-30 21:52:02.106734
Italian Baroque Art | ITALIAN 256,Lecture Section 01,9141,12,12,0.0,No,2021-06-30 21:52:04.482400
"Introduction to Italian Studies: Language, Literature, Film | ITALIAN 301S",SEM Section 01,5648,15,15,0.0,No,2021-06-30 21:52:06.825936
Major Italian Authors | ITALIAN 335,Lecture Section 01,5700,18,18,0.0,No,2021-06-30 21:52:09.170753
Italian Cinema | ITALIAN 380,Lecture Section 01,5705,18,18,0.0,No,2021-06-30 21:52:11.521832
Italian Cinema - Preceptorial | ITALIAN 380P,PRC Section 01P,5715,18,18,0.0,No,2021-06-30 21:52:13.899741
"Food, Culture, and Society | ITALIAN 388S",SEM Section 01,5747,15,15,0.0,No,2021-06-30 21:52:16.292662
Research Independent Study | ITALIAN 393,IND Section 01,2128,1,1,0.0,No,2021-06-30 21:52:18.638960
Research Independent Study | ITALIAN 393,IND Section 02,2129,1,1,0.0,No,2021-06-30 21:52:20.987656
Research Independent Study | ITALIAN 493,IND Section 01,2130,1,1,0.0,No,2021-06-30 21:52:23.341360
Research Independent Study | ITALIAN 493,IND Section 02,2131,1,1,0.0,No,2021-06-30 21:52:25.716438
