Class Name,Section,Class Number,Open Seats,Total Seats,Percent,Reserved Seats,Timestamp
Elementary Japanese | JPN 101,Lecture Section 001,6540,25,25,0.0,No,2021-06-30 21:47:55.770535
Elementary Japanese | JPN 101,Lecture Section 002,6541,25,25,0.0,No,2021-06-30 21:47:58.349813
Elementary Japanese | JPN 101,Discussion Section 01D,6542,25,25,0.0,No,2021-06-30 21:48:00.732439
Elementary Japanese | JPN 101,Discussion Section 02D,6543,25,25,0.0,No,2021-06-30 21:48:03.095038
Intermediate Japanese | JPN 203,Lecture Section 001,6544,15,15,0.0,No,2021-06-30 21:48:05.462584
Intermediate Japanese | JPN 203,Lecture Section 002,6545,15,15,0.0,No,2021-06-30 21:48:07.803046
Intermediate Japanese | JPN 203,Discussion Section 01D,6546,15,15,0.0,No,2021-06-30 21:48:10.143112
Intermediate Japanese | JPN 203,Discussion Section 02D,6547,15,15,0.0,No,2021-06-30 21:48:12.479632
Advanced Japanese | JPN 305,Lecture Section 01,6548,8,8,0.0,No,2021-06-30 21:48:14.823128
Advanced Japanese | JPN 305,Lecture Section 02,6549,8,8,0.0,No,2021-06-30 21:48:17.138040
Independent Study | JPN 391,IND Section 01,2104,4,4,0.0,No,2021-06-30 21:48:19.477296
Independent Study | JPN 391,IND Section 02,2105,4,4,0.0,No,2021-06-30 21:48:21.821534
Independent Study | JPN 391,IND Section 03,6550,3,3,0.0,No,2021-06-30 21:48:24.153746
