Class Name,Section,Class Number,Open Seats,Total Seats,Percent,Reserved Seats,Timestamp
Elementary Korean | KOREAN 101,Lecture Section 001,6551,18,18,0.0,No,2021-06-30 21:48:53.528928
Elementary Korean | KOREAN 101,Lecture Section 002,6552,18,18,0.0,No,2021-06-30 21:48:55.930193
Elementary Korean | KOREAN 101,Discussion Section 01D,6553,18,18,0.0,No,2021-06-30 21:48:58.302223
Elementary Korean | KOREAN 101,Discussion Section 02D,6554,18,18,0.0,No,2021-06-30 21:49:00.651100
Intermediate Korean | KOREAN 203,Lecture Section 001,6555,18,18,0.0,No,2021-06-30 21:49:03.010597
Intermediate Korean | KOREAN 203,Lecture Section 002,6556,18,18,0.0,No,2021-06-30 21:49:05.333835
Intermediate Korean | KOREAN 203,Discussion Section 01D,6557,18,18,0.0,No,2021-06-30 21:49:07.687871
Intermediate Korean | KOREAN 203,Discussion Section 02D,6558,18,18,0.0,No,2021-06-30 21:49:10.052617
Advanced Korean | KOREAN 305,Lecture Section 01,6559,18,18,0.0,No,2021-06-30 21:49:12.388961
Independent Study | KOREAN 391,IND Section 01,2108,4,4,0.0,No,2021-06-30 21:49:14.741425
Independent Study | KOREAN 391,IND Section 02,2109,4,4,0.0,No,2021-06-30 21:49:17.140218
Korean Politics and Society: Academic Reading and Writing | KOREAN 455S,SEM Section 01,6597,12,12,0.0,No,2021-06-30 21:49:19.473380
