Class Name,Section,Class Number,Open Seats,Total Seats,Percent,Reserved Seats,Timestamp
Ethical Implications of Genetic and Genomic Research | MGM 120FS,SEM Section 01,4684,0,18,100.0,No,2021-06-30 21:49:39.967597
Genetics and Epigenetics: The Codes that Control Our Genomes | MGM 222FS,SEM Section 01,4682,0,18,100.0,No,2021-06-30 21:49:42.478130
Research Independent Study I | MGM 293,IND Section 01,1002,2,2,0.0,No,2021-06-30 21:49:44.896508
Research Independent Study I | MGM 293,IND Section 02,1003,2,2,0.0,No,2021-06-30 21:49:47.309010
Research Independent Study I | MGM 293,IND Section 03,1004,2,2,0.0,No,2021-06-30 21:49:49.703179
Research Independent Study I | MGM 293,IND Section 04,1005,2,2,0.0,No,2021-06-30 21:49:52.064814
Research Independent Study I | MGM 293,IND Section 05,1006,2,2,0.0,No,2021-06-30 21:49:54.526940
Research Independent Study I | MGM 293,IND Section 06,1007,3,3,0.0,No,2021-06-30 21:49:56.875182
Research Independent Study I | MGM 293,IND Section 07,1008,2,2,0.0,No,2021-06-30 21:49:59.322781
Research Independent Study I | MGM 293,IND Section 08,1009,2,2,0.0,No,2021-06-30 21:50:01.683691
Research Independent Study I | MGM 293,IND Section 09,1010,2,2,0.0,No,2021-06-30 21:50:04.079228
Research Independent Study I | MGM 293,IND Section 10,1011,2,2,0.0,No,2021-06-30 21:50:06.458084
Research Independent Study I | MGM 293,IND Section 11,1012,2,2,0.0,No,2021-06-30 21:50:08.929395
Research Independent Study I | MGM 293,IND Section 12,1013,2,2,0.0,No,2021-06-30 21:50:11.348313
Research Independent Study I | MGM 293,IND Section 13,1014,2,2,0.0,No,2021-06-30 21:50:13.813666
Research Independent Study I | MGM 293,IND Section 14,1015,2,2,0.0,No,2021-06-30 21:50:16.237971
Research Independent Study I | MGM 293,IND Section 15,1016,2,2,0.0,No,2021-06-30 21:50:18.821381
Research Independent Study I | MGM 293,IND Section 16,1017,2,2,0.0,No,2021-06-30 21:50:21.338355
Research Independent Study I | MGM 293,IND Section 17,1018,2,2,0.0,No,2021-06-30 21:50:23.797538
Research Independent Study I | MGM 293,IND Section 18,1019,2,2,0.0,No,2021-06-30 21:50:26.217102
Research Independent Study I | MGM 293,IND Section 19,1020,2,2,0.0,No,2021-06-30 21:50:28.682906
Research Independent Study I | MGM 293,IND Section 20,1021,2,2,0.0,No,2021-06-30 21:50:31.458714
Research Independent Study I | MGM 293,IND Section 21,1022,2,2,0.0,No,2021-06-30 21:50:33.875024
Research Independent Study I | MGM 293,IND Section 22,1023,2,2,0.0,No,2021-06-30 21:50:36.343088
Research Independent Study I | MGM 293,IND Section 23,1024,2,2,0.0,No,2021-06-30 21:50:38.779959
Research Independent Study I | MGM 293,IND Section 24,1025,2,2,0.0,No,2021-06-30 21:50:41.235097
Research Independent Study I | MGM 293,IND Section 25,1026,2,2,0.0,No,2021-06-30 21:50:43.770917
Research Independent Study I | MGM 293,IND Section 26,1027,2,2,0.0,No,2021-06-30 21:50:46.312105
Research Independent Study I | MGM 293,IND Section 27,1028,2,2,0.0,No,2021-06-30 21:50:48.714033
Research Independent Study I | MGM 293,IND Section 28,1029,2,2,0.0,No,2021-06-30 21:50:51.113727
Research Independent Study I | MGM 293,IND Section 29,1030,2,2,0.0,No,2021-06-30 21:50:53.477851
Research Independent Study I | MGM 293,IND Section 30,1031,2,2,0.0,No,2021-06-30 21:50:55.845526
Research Independent Study I | MGM 293,IND Section 31,1032,2,2,0.0,No,2021-06-30 21:50:58.343632
Current Technologies in Genomics and Precision Medicine | MGM 325,Lecture Section 01,5955,24,24,0.0,No,2021-06-30 21:51:00.706183
