Class Name,Section,Class Number,Open Seats,Total Seats,Percent,Reserved Seats,Timestamp
Leadership Laboratory - Fall Semester Only | MILITSCI 91L,Laboratory Section 01L,4995,25,25,0.0,No,2021-06-30 21:51:14.559148
Leadership Laboratory - Spring Semester Only | MILITSCI 92L,Laboratory Section 01L,4996,50,50,0.0,No,2021-06-30 21:51:16.988107
Senior Leadership Laboratory - Fall Semester | MILITSCI 93L,Laboratory Section 01L,5003,25,25,0.0,No,2021-06-30 21:51:19.392140
Basic Army Physical Development | MILITSCI 94,ACT Section 01,5004,30,30,0.0,No,2021-06-30 21:51:21.809478
Introduction to the Army | MILITSCI 101S,SEM Section 01,4997,15,15,0.0,No,2021-06-30 21:51:24.192854
Leadership and Ethics | MILITSCI 201,Lecture Section 01,4998,20,20,0.0,No,2021-06-30 21:51:26.546839
Independent Study | MILITSCI 291,IND Section 01,5001,10,10,0.0,No,2021-06-30 21:51:28.923169
Independent Study - Half Credit | MILITSCI 291-1,IND Section 01,5002,10,10,0.0,No,2021-06-30 21:51:31.301239
Training Management and the Warfighting Functions | MILITSCI 301,Lecture Section 01,4999,25,25,0.0,No,2021-06-30 21:51:33.656847
The Army Officer | MILITSCI 401S,SEM Section 01,5000,15,15,0.0,No,2021-06-30 21:51:36.023337
