Class Name,Section,Class Number,Open Seats,Total Seats,Percent,Reserved Seats,Timestamp
Introduction to Naval Science | NAVALSCI 101,Lecture Section 01,6483,10,10,0.0,No,2021-06-30 21:49:58.794695
First Year Naval Leadership Laboratory | NAVALSCI 189L,Laboratory Section 01L,6491,10,10,0.0,No,2021-06-30 21:50:01.184172
Evolution of Warfare | NAVALSCI 213S,SEM Section 01,8679,10,10,0.0,No,2021-06-30 21:50:03.626845
Second Year Leadership Laboratory | NAVALSCI 289L,Laboratory Section 01L,6490,10,10,0.0,No,2021-06-30 21:50:06.161357
Naval Ship Systems | NAVALSCI 331,Lecture Section 01,6484,10,10,0.0,No,2021-06-30 21:50:08.524323
Navigation | NAVALSCI 353,Lecture Section 001,6485,7,7,0.0,No,2021-06-30 21:50:10.943193
Navigation Laboratory | NAVALSCI 353L,Laboratory Section 01L,6486,7,7,0.0,No,2021-06-30 21:50:13.330052
Third Year Naval Leadership Laboratory | NAVALSCI 389L,Laboratory Section 01L,6489,10,10,0.0,No,2021-06-30 21:50:15.789559
Leadership and Ethics | NAVALSCI 423S,SEM Section 01,6487,10,10,0.0,No,2021-06-30 21:50:18.194828
Fourth Year Naval Leadership Laboratory | NAVALSCI 489L,Laboratory Section 01L,6488,10,10,0.0,No,2021-06-30 21:50:20.699100
