Class Name,Section,Class Number,Open Seats,Total Seats,Percent,Reserved Seats,Timestamp
"The Googlization of Knowledge: Information, Ethics, and Technology | PJMS 112",Lecture Section 01,7448,18,18,0.0,No,2021-06-30 21:52:34.621721
Introduction to Audio Documentary | PJMS 135S,SEM Section 01,6657,13,13,0.0,No,2021-06-30 21:52:37.088887
Video Journalism | PJMS 365S,SEM Section 01,5772,12,12,0.0,No,2021-06-30 21:52:39.537222
Magazine Journalism | PJMS 366S,SEM Section 01,5776,12,12,0.0,No,2021-06-30 21:52:41.890016
News Writing and Reporting | PJMS 367S,SEM Section 01,5778,12,12,0.0,No,2021-06-30 21:52:44.242512
News as a Moral Battleground | PJMS 371,Lecture Section 01,5780,25,25,0.0,No,2021-06-30 21:52:46.582744
Journalism in the Age of Data | PJMS 375,Lecture Section 01,5790,20,20,0.0,No,2021-06-30 21:52:48.927079
Special Topics in Policy Journalism and Media Studies | PJMS 390S,SEM Section 70,5788,12,12,0.0,No,2021-06-30 21:52:51.300886
Special Topics in Policy Journalism and Media Studies | PJMS 390S,SEM Section 80,5789,15,15,0.0,No,2021-06-30 21:52:53.726029
Independent Study | PJMS 391,IND Section 01,1447,1,1,0.0,No,2021-06-30 21:52:56.055845
Independent Study | PJMS 391,IND Section 02,1448,1,1,0.0,No,2021-06-30 21:52:58.399848
Independent Study | PJMS 391,IND Section 03,1449,1,1,0.0,No,2021-06-30 21:53:00.744979
Independent Study | PJMS 391,IND Section 04,1450,1,1,0.0,No,2021-06-30 21:53:03.169790
Independent Study | PJMS 391,IND Section 05,1451,1,1,0.0,No,2021-06-30 21:53:05.647588
Independent Study | PJMS 391,IND Section 06,1452,1,1,0.0,No,2021-06-30 21:53:08.084137
Independent Study | PJMS 391,IND Section 07,1453,1,1,0.0,No,2021-06-30 21:53:10.507431
Independent Study | PJMS 391,IND Section 08,1454,1,1,0.0,No,2021-06-30 21:53:12.910414
Advanced Reporting | PJMS 397S,SEM Section 01,5792,8,8,0.0,No,2021-06-30 21:53:15.295784
Policy Journalism and Media Studies Capstone Course | PJMS 410,Lecture Section 01,5786,15,15,0.0,No,2021-06-30 21:53:17.651506
