Class Name,Section,Class Number,Open Seats,Total Seats,Percent,Reserved Seats,Timestamp
Elementary Arabic | ARABIC 101,Lecture Section 001,6492,18,18,0.0,No,2021-07-01 17:37:09.446964
Elementary Arabic | ARABIC 101,Lecture Section 002,6493,18,18,0.0,No,2021-07-01 17:37:12.029639
Elementary Arabic | ARABIC 101,Lecture Section 003,6494,16,16,0.0,No,2021-07-01 17:37:14.487499
Elementary Arabic | ARABIC 101,Discussion Section 01D,6495,18,18,0.0,No,2021-07-01 17:37:16.953341
Elementary Arabic | ARABIC 101,Discussion Section 02D,6496,18,18,0.0,No,2021-07-01 17:37:19.396210
Elementary Arabic | ARABIC 101,Discussion Section 03D,6497,16,16,0.0,No,2021-07-01 17:37:21.850003
Elementary Arabic | ARABIC 102,Lecture Section 001,6498,12,12,0.0,No,2021-07-01 17:37:24.321771
Elementary Arabic | ARABIC 102,Discussion Section 01D,6499,12,12,0.0,No,2021-07-01 17:37:26.896967
Intermediate Arabic | ARABIC 203,Lecture Section 001,6500,12,12,0.0,No,2021-07-01 17:37:29.458728
Intermediate Arabic | ARABIC 203,Lecture Section 002,6501,12,12,0.0,No,2021-07-01 17:37:31.951844
Intermediate Arabic | ARABIC 203,Discussion Section 01D,6502,12,12,0.0,No,2021-07-01 17:37:34.472135
Intermediate Arabic | ARABIC 203,Discussion Section 02D,6503,12,12,0.0,No,2021-07-01 17:37:36.861534
Advanced Arabic | ARABIC 305,Lecture Section 01,6504,12,12,0.0,No,2021-07-01 17:37:39.193067
Independent Study | ARABIC 391,IND Section 01,2090,4,4,0.0,No,2021-07-01 17:37:41.571643
Independent Study | ARABIC 391,IND Section 02,2091,4,4,0.0,No,2021-07-01 17:37:43.911779
Issues in Arabic Language and Literature I | ARABIC 407,Lecture Section 01,6505,12,12,0.0,No,2021-07-01 17:37:46.288348
