Class Name,Section,Class Number,Open Seats,Total Seats,Percent,Reserved Seats,Timestamp
First-Year Chinese I | CHINESE 101,Lecture Section 001,6506,16,16,0.0,No,2021-07-01 17:33:13.815741
First-Year Chinese I | CHINESE 101,Lecture Section 002,6507,16,16,0.0,No,2021-07-01 17:33:16.201617
First-Year Chinese I | CHINESE 101,Discussion Section 01D,6508,16,16,0.0,No,2021-07-01 17:33:18.573512
First-Year Chinese I | CHINESE 101,Discussion Section 02D,6509,16,16,0.0,No,2021-07-01 17:33:21.040558
First-Year Chinese I | CHINESE 101,Lecture Section 03,10230,12,12,0.0,No,2021-07-01 17:33:23.495678
First-Year Chinese I | CHINESE 101,Lecture Section 04,10231,12,12,0.0,No,2021-07-01 17:33:25.986532
First-Year Chinese I | CHINESE 101,Lecture Section 05,10232,12,12,0.0,No,2021-07-01 17:33:28.399722
First-Year Chinese I | CHINESE 101,Lecture Section 06,10233,12,12,0.0,No,2021-07-01 17:33:30.857380
First-Year Chinese II | CHINESE 102,Lecture Section 001,6510,12,12,0.0,No,2021-07-01 17:33:33.354071
First-Year Chinese II | CHINESE 102,Discussion Section 01D,6511,12,12,0.0,No,2021-07-01 17:33:35.832570
First-Year Chinese in Review I | CHINESE 105D,Lecture Section 001,6604,10,10,0.0,No,2021-07-01 17:33:38.180121
First-Year Chinese in Review I | CHINESE 105D,Discussion Section 01D,6605,10,10,0.0,No,2021-07-01 17:33:40.514806
First Year Chinese for Bilingual Learners | CHINESE 131,Lecture Section 001,6512,18,18,0.0,No,2021-07-01 17:33:42.885228
First Year Chinese for Bilingual Learners | CHINESE 131,Lecture Section 002,6513,18,18,0.0,No,2021-07-01 17:33:45.207467
First Year Chinese for Bilingual Learners | CHINESE 131,Discussion Section 01D,6514,18,18,0.0,No,2021-07-01 17:33:47.528437
First Year Chinese for Bilingual Learners | CHINESE 131,Discussion Section 02D,6515,18,18,0.0,No,2021-07-01 17:33:49.872593
Intermediate Chinese | CHINESE 203,Lecture Section 001,6516,18,18,0.0,No,2021-07-01 17:33:52.322852
Intermediate Chinese | CHINESE 203,Lecture Section 002,6517,18,18,0.0,No,2021-07-01 17:33:54.772679
Intermediate Chinese | CHINESE 203,Lecture Section 003,10106,14,14,0.0,No,2021-07-01 17:33:57.379510
Intermediate Chinese | CHINESE 203,Discussion Section 01D,6518,18,18,0.0,No,2021-07-01 17:33:59.758842
Intermediate Chinese | CHINESE 203,Discussion Section 02D,6519,18,18,0.0,No,2021-07-01 17:34:02.122124
Intermediate Chinese | CHINESE 203,Discussion Section 03D,10107,14,14,0.0,No,2021-07-01 17:34:04.657827
Intermediate Chinese | CHINESE 203,Lecture Section 04,10287,12,12,0.0,No,2021-07-01 17:34:07.163382
Intermediate Chinese | CHINESE 203,Lecture Section 05,10288,12,12,0.0,No,2021-07-01 17:34:09.601290
Voices in Marketing: Advertising in Chinese | CHINESE 277T-3,TUT Section 01,4424,8,8,0.0,No,2021-07-01 17:34:11.992521
Pre-Advanced Chinese | CHINESE 305D,Lecture Section 001,6520,14,14,0.0,No,2021-07-01 17:34:14.405293
Pre-Advanced Chinese | CHINESE 305D,Lecture Section 002,6521,14,14,0.0,No,2021-07-01 17:34:16.814080
Pre-Advanced Chinese | CHINESE 305D,Discussion Section 01D,6522,14,14,0.0,No,2021-07-01 17:34:19.218304
Pre-Advanced Chinese | CHINESE 305D,Discussion Section 02D,6523,14,14,0.0,No,2021-07-01 17:34:21.603143
Modern Chinese Society and Culture through New Media | CHINESE 331D,Lecture Section 001,6608,16,16,0.0,No,2021-07-01 17:34:23.979225
Modern Chinese Society and Culture through New Media | CHINESE 331D,Discussion Section 01D,6609,16,16,0.0,No,2021-07-01 17:34:26.340464
Chinese Translation and Interpretation | CHINESE 332D,Lecture Section 001,6618,16,16,0.0,No,2021-07-01 17:34:28.908803
Chinese Translation and Interpretation | CHINESE 332D,Discussion Section 01D,6619,16,16,0.0,No,2021-07-01 17:34:31.281978
Advanced Chinese for Bilingual Learners | CHINESE 333,Lecture Section 001,6524,16,16,0.0,No,2021-07-01 17:34:33.716452
Advanced Chinese for Bilingual Learners | CHINESE 333,Discussion Section 01D,6525,16,16,0.0,No,2021-07-01 17:34:36.220342
Independent Study | CHINESE 391,IND Section 01,2092,4,4,0.0,No,2021-07-01 17:34:38.734216
Independent Study | CHINESE 391,IND Section 02,2093,4,4,0.0,No,2021-07-01 17:34:41.130365
Issues in Chinese Language and Society I | CHINESE 407S,SEM Section 01,6572,12,12,0.0,No,2021-07-01 17:34:43.560350
Chinese in the Humanities I | CHINESE 435S,SEM Section 01,6526,12,12,0.0,No,2021-07-01 17:34:46.035500
Modern Chinese Culture: Narratives of Home and Abroad | CHINESE 455,Lecture Section 01,6578,18,18,0.0,No,2021-07-01 17:34:48.446560
