Class Name,Section,Class Number,Open Seats,Total Seats,Percent,Reserved Seats,Timestamp
LGBTQ/Queer Cinema and Cultural Production | CINE 142,Lecture Section 01,9122,18,18,0.0,No,2021-07-01 11:12:51.695852
History of Documentary Film | CINE 202,Lecture Section 01,9021,45,45,0.0,No,2021-07-01 11:12:54.229113
Documentary and Policy: How Documentary Influences Policy | CINE 207S,SEM Section 01,6674,15,15,0.0,No,2021-07-01 11:12:56.621850
The Silent Film: An Introduction | CINE 208S,SEM Section 01,9093,12,12,0.0,No,2021-07-01 11:12:59.074121
Cinematic Authorship | CINE 216,Lecture Section 01,9220,15,15,0.0,No,2021-07-01 11:13:01.524821
"Sound, Music, and the Moving Image | CINE 230S",SEM Section 01,6872,18,18,0.0,No,2021-07-01 11:13:03.961631
Italian Cinema | CINE 254,Lecture Section 01,5707,18,18,0.0,No,2021-07-01 11:13:06.367334
World of Korean Cinema | CINE 256,Lecture Section 01,6575,14,14,0.0,No,2021-07-01 11:13:08.822533
Indian Cinema & Social Change | CINE 259,Lecture Section 01,7678,40,40,0.0,No,2021-07-01 11:13:11.399126
Religion and Film | CINE 273,Lecture Section 01,7611,45,45,0.0,No,2021-07-01 11:13:13.962514
Spies Like Us: Screening Cold War Espionage | CINE 274,Lecture Section 01,6387,35,35,0.0,No,2021-07-01 11:13:16.423669
Moving Image Practice | CINE 301S,SEM Section 01,8974,12,12,0.0,No,2021-07-01 11:13:18.977374
Moving Image Practice | CINE 301S,SEM Section 02,8975,12,12,0.0,No,2021-07-01 11:13:21.437462
Writing the Short Film | CINE 303S,SEM Section 01,9184,15,15,0.0,No,2021-07-01 11:13:23.893382
Ready for Prime Time: Writing the Dramatic TV Episode | CINE 304S,SEM Section 01,8901,16,16,0.0,No,2021-07-01 11:13:26.330264
Writing the Movie. Introduction to the Theory and Practice of Writing for the Screen | CINE 306S,SEM Section 01,9079,18,18,0.0,No,2021-07-01 11:13:28.737041
Acting For the Camera | CINE 310S,SEM Section 01,8889,16,16,0.0,No,2021-07-01 11:13:31.087868
Environmental Issues & the Documentary Arts | CINE 315S,SEM Section 01,7771,18,18,0.0,No,2021-07-01 11:13:33.434403
Film Animation Production | CINE 320S,SEM Section 01,8979,15,15,0.0,No,2021-07-01 11:13:35.784543
The Documentary Experience: A Video Approach | CINE 331S,SEM Section 01,6634,12,12,0.0,Yes,2021-07-01 11:13:38.120884
Sound for Film and Video | CINE 350S,SEM Section 01,8981,9,9,0.0,No,2021-07-01 11:13:40.456672
Cinematography | CINE 355S,SEM Section 01,9057,9,9,0.0,No,2021-07-01 11:13:42.798287
16mm Film Production | CINE 356S,SEM Section 01,9062,10,10,0.0,No,2021-07-01 11:13:45.139805
Editing for Film and Video | CINE 357S,SEM Section 01,9067,12,12,0.0,No,2021-07-01 11:13:47.490258
Graphic Design in Motion | CINE 381S,SEM Section 01,9174,12,12,0.0,No,2021-07-01 11:13:49.864452
Independent Study | CINE 391,IND Section 01,9209,3,3,0.0,No,2021-07-01 11:13:52.254260
Independent Study | CINE 391,IND Section 02,9210,3,3,0.0,No,2021-07-01 11:13:54.673741
Independent Study | CINE 391,IND Section 03,9211,3,3,0.0,No,2021-07-01 11:13:57.054374
Independent Study | CINE 391,IND Section 04,9212,3,3,0.0,No,2021-07-01 11:13:59.419917
Internship | CINE 395,IND Section 01,8985,3,3,0.0,No,2021-07-01 11:14:01.893388
Internship | CINE 395,IND Section 02,8986,3,3,0.0,No,2021-07-01 11:14:04.722869
Internship | CINE 395,IND Section 03,8987,3,3,0.0,No,2021-07-01 11:14:07.753237
Internship | CINE 395,IND Section 04,8988,3,3,0.0,No,2021-07-01 11:14:10.309429
Internship | CINE 395,IND Section 05,8989,3,3,0.0,No,2021-07-01 11:14:13.047233
Historical Documentary Production | CINE 429S,SEM Section 01,9146,15,15,0.0,No,2021-07-01 11:14:15.517502
Special Topics In Cinematic Arts | CINE 490S,SEM Section 01,5722,18,18,0.0,No,2021-07-01 11:14:17.984310
Independent Study | CINE 491,IND Section 01,9213,3,3,0.0,No,2021-07-01 11:14:20.398077
Independent Study | CINE 491,IND Section 02,9214,3,3,0.0,No,2021-07-01 11:14:22.867297
Independent Study | CINE 491,IND Section 03,9215,3,3,0.0,No,2021-07-01 11:14:25.201479
Independent Study | CINE 491,IND Section 04,9216,3,3,0.0,No,2021-07-01 11:14:27.532484
LGBTQ/Queer Cinema and Cultural Production | CINE 142,Lecture Section 01,9122,18,18,0.0,No,2021-07-01 17:32:28.367963
History of Documentary Film | CINE 202,Lecture Section 01,9021,45,45,0.0,No,2021-07-01 17:32:30.805535
Documentary and Policy: How Documentary Influences Policy | CINE 207S,SEM Section 01,6674,15,15,0.0,No,2021-07-01 17:32:33.241978
The Silent Film: An Introduction | CINE 208S,SEM Section 01,9093,12,12,0.0,No,2021-07-01 17:32:35.716637
Cinematic Authorship | CINE 216,Lecture Section 01,9220,15,15,0.0,No,2021-07-01 17:32:38.116771
"Sound, Music, and the Moving Image | CINE 230S",SEM Section 01,6872,18,18,0.0,No,2021-07-01 17:32:40.625808
Italian Cinema | CINE 254,Lecture Section 01,5707,18,18,0.0,No,2021-07-01 17:32:43.270304
