Class Name,Section,Class Number,Open Seats,Total Seats,Percent,Reserved Seats,Timestamp
First-Year Seminar | CLST 89S,SEM Section 01,5128,18,18,0.0,No,2021-07-01 11:14:41.781804
Principles of Archaeology | CLST 144,Lecture Section 01,5134,30,30,0.0,No,2021-07-01 11:14:44.189155
Classical Etymology: The Greek and Latin Roots of English | CLST 151,Lecture Section 01,5152,30,30,0.0,No,2021-07-01 11:14:46.637690
Liberty and Equality: Ancient and Modern Perspectives | CLST 170FS,SEM Section 01,5147,0,18,100.0,No,2021-07-01 11:14:49.091849
History of Ancient Philosophy | CLST 271,Lecture Section 01,4446,35,35,0.0,No,2021-07-01 11:14:51.559518
Roman History | CLST 284,Lecture Section 01,5129,40,40,0.0,No,2021-07-01 11:14:53.995754
Drama of Ancient Rome | CLST 304,Lecture Section 01,5131,30,30,0.0,No,2021-07-01 11:14:56.387038
Ancient Athenian Law | CLST 307,Lecture Section 01,5166,38,38,0.0,No,2021-07-01 11:14:58.813065
First-Year Seminar | CLST 89S,SEM Section 01,5128,18,18,0.0,No,2021-07-01 17:34:17.660892
Principles of Archaeology | CLST 144,Lecture Section 01,5134,30,30,0.0,No,2021-07-01 17:34:20.051586
Classical Etymology: The Greek and Latin Roots of English | CLST 151,Lecture Section 01,5152,30,30,0.0,No,2021-07-01 17:34:22.439296
Liberty and Equality: Ancient and Modern Perspectives | CLST 170FS,SEM Section 01,5147,0,18,100.0,No,2021-07-01 17:34:24.823968
History of Ancient Philosophy | CLST 271,Lecture Section 01,4446,35,35,0.0,No,2021-07-01 17:34:27.179365
Roman History | CLST 284,Lecture Section 01,5129,40,40,0.0,No,2021-07-01 17:34:29.550551
Drama of Ancient Rome | CLST 304,Lecture Section 01,5131,30,30,0.0,No,2021-07-01 17:34:31.891750
Ancient Athenian Law | CLST 307,Lecture Section 01,5166,38,38,0.0,No,2021-07-01 17:34:34.269866
