Class Name,Section,Class Number,Open Seats,Total Seats,Percent,Reserved Seats,Timestamp
Traditions in Documentary Studies | DOCST 101,Lecture Section 01,6646,50,50,0.0,No,2021-07-01 11:12:50.660403
The Documentary Experience: A Video Approach | DOCST 105S,SEM Section 01,6638,12,12,0.0,Yes,2021-07-01 11:12:53.119618
Documenting the Middle East: Community and Oral History | DOCST 106FS,SEM Section 01,8856,3,18,83.33333333333334,No,2021-07-01 11:12:55.718075
History of Documentary Film | DOCST 107,Lecture Section 01,9022,45,45,0.0,No,2021-07-01 11:12:58.273716
Introduction to Oral History | DOCST 110S,SEM Section 01,6650,15,15,0.0,No,2021-07-01 11:13:00.717510
Introduction to Digital Photography | DOCST 119S,SEM Section 01,9133,15,15,0.0,No,2021-07-01 11:13:03.149893
Introduction to Audio Documentary | DOCST 135S,SEM Section 01,6656,13,13,0.0,No,2021-07-01 11:13:05.648630
US Youth Movements since 2010: Expanding Human Rights for All | DOCST 179FS,SEM Section 01,6692,2,15,86.66666666666667,No,2021-07-01 11:13:08.202596
Special Topics in Documentary Studies | DOCST 190S,SEM Section 01,6677,13,13,0.0,No,2021-07-01 11:13:10.691033
Medicine and the Vision of Documentary Photography | DOCST 206S,SEM Section 01,6652,12,12,0.0,Yes,2021-07-01 11:13:13.160764
The Silent Film: An Introduction | DOCST 208S,SEM Section 01,9095,12,12,0.0,No,2021-07-01 11:13:15.656102
"Digital Documentary Photography: Education, Childhood, and Growth | DOCST 209FS",SEM Section 01,6682,1,18,94.44444444444444,No,2021-07-01 11:13:18.134396
"Digital Documentary Photography: Education, Childhood, and Growth | DOCST 209S",SEM Section 01,6661,15,15,0.0,No,2021-07-01 11:13:20.581635
"Global Stories, Local Issues | DOCST 223S",SEM Section 01,4190,18,18,0.0,No,2021-07-01 11:13:23.009973
Children's Self Expression: Literacy Through Photography | DOCST 224S,SEM Section 01,6641,15,15,0.0,No,2021-07-01 11:13:25.423519
Color Photography: Fieldwork and Digital Color | DOCST 236S,SEM Section 01,6658,13,13,0.0,No,2021-07-01 11:13:27.948106
The Photobook: History and Practice | DOCST 250S,SEM Section 01,9030,10,10,0.0,No,2021-07-01 11:13:30.373545
Introduction to Film Studies | DOCST 264,Lecture Section 01,9452,25,25,0.0,No,2021-07-01 11:13:32.755488
Religion and Film | DOCST 268,Lecture Section 01,7609,45,45,0.0,No,2021-07-01 11:13:35.245609
Documentary and Policy: How Documentary Influences Policy | DOCST 272S,SEM Section 01,6670,15,15,0.0,No,2021-07-01 11:13:37.605590
Docu-Poetry: Real Life Truths Outside and Inside the Poetic Narrative | DOCST 279S,SEM Section 01,6679,13,13,0.0,No,2021-07-01 11:13:39.983707
Cinematography | DOCST 281S,SEM Section 01,9059,9,9,0.0,No,2021-07-01 11:13:42.366098
Editing for Film and Video | DOCST 288S,SEM Section 01,9068,12,12,0.0,No,2021-07-01 11:13:44.773453
Special Topics in Documentary Studies | DOCST 290,Lecture Section 01,8199,45,45,0.0,No,2021-07-01 11:13:47.138350
Environmental Issues & the Documentary Arts | DOCST 315S,SEM Section 01,7769,18,18,0.0,No,2021-07-01 11:13:49.497967
Historical Documentary Production | DOCST 329S,SEM Section 01,9145,15,15,0.0,No,2021-07-01 11:13:51.944097
Documenting Black Experiences | DOCST 350S,SEM Section 01,6665,13,13,0.0,No,2021-07-01 11:13:54.319882
Sound for Film and Video | DOCST 353S,SEM Section 01,8982,9,9,0.0,No,2021-07-01 11:13:56.725185
Magazine Journalism | DOCST 356S,SEM Section 01,5775,12,12,0.0,No,2021-07-01 11:13:59.095367
16mm Film Production | DOCST 357S,SEM Section 01,9063,10,10,0.0,No,2021-07-01 11:14:01.555083
Video Journalism | DOCST 367S,SEM Section 01,5773,12,12,0.0,No,2021-07-01 11:14:04.161605
The View Camera: Black and White Large Format Photography | DOCST 368S,SEM Section 01,6689,10,10,0.0,No,2021-07-01 11:14:06.922951
News as a Moral Battleground | DOCST 371,Lecture Section 01,5782,25,25,0.0,No,2021-07-01 11:14:09.618437
Capstone Seminar in Documentary Studies | DOCST 480S,SEM Section 01,6649,15,15,0.0,No,2021-07-01 11:14:12.186316
Traditions in Documentary Studies | DOCST 101,Lecture Section 01,6646,50,50,0.0,No,2021-07-01 17:32:25.223071
The Documentary Experience: A Video Approach | DOCST 105S,SEM Section 01,6638,12,12,0.0,Yes,2021-07-01 17:32:27.678278
Documenting the Middle East: Community and Oral History | DOCST 106FS,SEM Section 01,8856,3,18,83.33333333333334,No,2021-07-01 17:32:30.039688
History of Documentary Film | DOCST 107,Lecture Section 01,9022,45,45,0.0,No,2021-07-01 17:32:32.461534
Introduction to Oral History | DOCST 110S,SEM Section 01,6650,15,15,0.0,No,2021-07-01 17:32:34.841140
Introduction to Digital Photography | DOCST 119S,SEM Section 01,9133,15,15,0.0,No,2021-07-01 17:32:37.197477
Introduction to Audio Documentary | DOCST 135S,SEM Section 01,6656,13,13,0.0,No,2021-07-01 17:32:39.557004
US Youth Movements since 2010: Expanding Human Rights for All | DOCST 179FS,SEM Section 01,6692,2,15,86.66666666666667,No,2021-07-01 17:32:41.949868
Special Topics in Documentary Studies | DOCST 190S,SEM Section 01,6677,13,13,0.0,No,2021-07-01 17:32:44.357629
Medicine and the Vision of Documentary Photography | DOCST 206S,SEM Section 01,6652,12,12,0.0,Yes,2021-07-01 17:32:46.853098
The Silent Film: An Introduction | DOCST 208S,SEM Section 01,9095,12,12,0.0,No,2021-07-01 17:32:49.350233
"Digital Documentary Photography: Education, Childhood, and Growth | DOCST 209FS",SEM Section 01,6682,1,18,94.44444444444444,No,2021-07-01 17:32:51.759251
"Digital Documentary Photography: Education, Childhood, and Growth | DOCST 209S",SEM Section 01,6661,15,15,0.0,No,2021-07-01 17:32:54.092305
"Global Stories, Local Issues | DOCST 223S",SEM Section 01,4190,18,18,0.0,No,2021-07-01 17:32:56.421626
Children's Self Expression: Literacy Through Photography | DOCST 224S,SEM Section 01,6641,15,15,0.0,No,2021-07-01 17:32:58.822281
Color Photography: Fieldwork and Digital Color | DOCST 236S,SEM Section 01,6658,13,13,0.0,No,2021-07-01 17:33:01.239077
The Photobook: History and Practice | DOCST 250S,SEM Section 01,9030,10,10,0.0,No,2021-07-01 17:33:03.622327
Introduction to Film Studies | DOCST 264,Lecture Section 01,9452,25,25,0.0,No,2021-07-01 17:33:06.159183
Religion and Film | DOCST 268,Lecture Section 01,7609,45,45,0.0,No,2021-07-01 17:33:08.496041
Documentary and Policy: How Documentary Influences Policy | DOCST 272S,SEM Section 01,6670,15,15,0.0,No,2021-07-01 17:33:10.822324
Docu-Poetry: Real Life Truths Outside and Inside the Poetic Narrative | DOCST 279S,SEM Section 01,6679,13,13,0.0,No,2021-07-01 17:33:13.155669
Cinematography | DOCST 281S,SEM Section 01,9059,9,9,0.0,No,2021-07-01 17:33:15.514020
Editing for Film and Video | DOCST 288S,SEM Section 01,9068,12,12,0.0,No,2021-07-01 17:33:17.850853
Special Topics in Documentary Studies | DOCST 290,Lecture Section 01,8199,45,45,0.0,No,2021-07-01 17:33:20.165518
Environmental Issues & the Documentary Arts | DOCST 315S,SEM Section 01,7769,18,18,0.0,No,2021-07-01 17:33:22.482350
Historical Documentary Production | DOCST 329S,SEM Section 01,9145,15,15,0.0,No,2021-07-01 17:33:24.824080
Documenting Black Experiences | DOCST 350S,SEM Section 01,6665,13,13,0.0,No,2021-07-01 17:33:27.205386
Sound for Film and Video | DOCST 353S,SEM Section 01,8982,9,9,0.0,No,2021-07-01 17:33:29.552377
Magazine Journalism | DOCST 356S,SEM Section 01,5775,12,12,0.0,No,2021-07-01 17:33:31.891876
16mm Film Production | DOCST 357S,SEM Section 01,9063,10,10,0.0,No,2021-07-01 17:33:34.200906
