Class Name,Section,Class Number,Open Seats,Total Seats,Percent,Reserved Seats,Timestamp
Economic Principles | ECON 101D,Lecture Section 001,6113,350,350,0.0,No,2021-07-01 11:18:56.345656
Economic Principles | ECON 101D,Discussion Section 01D,6114,70,70,0.0,No,2021-07-01 11:18:58.949409
Economic Principles | ECON 101D,Discussion Section 02D,6115,70,70,0.0,No,2021-07-01 11:19:01.544103
Economic Principles | ECON 101D,Discussion Section 03D,6116,70,70,0.0,No,2021-07-01 11:19:04.090006
Economic Principles | ECON 101D,Discussion Section 04D,6117,70,70,0.0,No,2021-07-01 11:19:06.537816
Economic Principles | ECON 101D,Discussion Section 05D,6118,70,70,0.0,No,2021-07-01 11:19:08.980155
Statistical Foundations of Econometrics and Data Science | ECON 104D,Lecture Section 001,6130,150,150,0.0,No,2021-07-01 11:19:11.468702
Statistical Foundations of Econometrics and Data Science | ECON 104D,Discussion Section 01D,6131,30,30,0.0,No,2021-07-01 11:19:13.878740
Statistical Foundations of Econometrics and Data Science | ECON 104D,Discussion Section 02D,6132,30,30,0.0,No,2021-07-01 11:19:16.312199
Statistical Foundations of Econometrics and Data Science | ECON 104D,Discussion Section 03D,6133,30,30,0.0,No,2021-07-01 11:19:18.837156
Statistical Foundations of Econometrics and Data Science | ECON 104D,Discussion Section 04D,6134,30,30,0.0,No,2021-07-01 11:19:21.568424
Statistical Foundations of Econometrics and Data Science | ECON 104D,Discussion Section 05D,6135,30,30,0.0,No,2021-07-01 11:19:24.083631
Globalization and Corporate Citizenship | ECON 112FS,SEM Section 01,7296,0,18,100.0,No,2021-07-01 11:19:26.529320
Introduction to Political Economy | ECON 119,Lecture Section 01,6448,150,150,0.0,No,2021-07-01 11:19:29.012051
Financial Accounting | ECON 174,Lecture Section 01,6009,150,150,0.0,No,2021-07-01 11:19:31.609718
Focus Program Topics in Economics | ECON 190FS,SEM Section 01,6010,0,18,100.0,No,2021-07-01 11:19:33.964272
Focus Program Topics in Economics | ECON 190FS,SEM Section 02,6011,0,18,100.0,No,2021-07-01 11:19:36.322663
Intermediate Microeconomics I | ECON 201D,Lecture Section 001,6036,250,250,0.0,No,2021-07-01 11:19:38.719061
Intermediate Microeconomics I | ECON 201D,Discussion Section 01D,6037,50,50,0.0,No,2021-07-01 11:19:41.112937
Intermediate Microeconomics I | ECON 201D,Discussion Section 02D,6038,50,50,0.0,No,2021-07-01 11:19:43.484436
Intermediate Microeconomics I | ECON 201D,Discussion Section 03D,6039,50,50,0.0,No,2021-07-01 11:19:45.875663
Intermediate Microeconomics I | ECON 201D,Discussion Section 04D,6040,50,50,0.0,No,2021-07-01 11:19:48.280265
Intermediate Microeconomics I | ECON 201D,Discussion Section 05D,6041,50,50,0.0,No,2021-07-01 11:19:50.706436
Econometrics and Data Science | ECON 204D,Lecture Section 001,6138,75,75,0.0,No,2021-07-01 11:19:53.134633
Econometrics and Data Science | ECON 204D,Discussion Section 01D,6139,37,37,0.0,No,2021-07-01 11:19:55.495581
Econometrics and Data Science | ECON 204D,Discussion Section 02D,6140,38,38,0.0,No,2021-07-01 11:19:57.861931
Intermediate Microeconomics II | ECON 205D,Lecture Section 001,6042,150,150,0.0,No,2021-07-01 11:20:00.227243
Intermediate Microeconomics II | ECON 205D,Discussion Section 01D,6043,30,30,0.0,No,2021-07-01 11:20:02.581282
Intermediate Microeconomics II | ECON 205D,Discussion Section 02D,6044,30,30,0.0,No,2021-07-01 11:20:05.081835
Intermediate Microeconomics II | ECON 205D,Discussion Section 03D,6045,30,30,0.0,No,2021-07-01 11:20:07.512510
Intermediate Microeconomics II | ECON 205D,Discussion Section 04D,6046,30,30,0.0,No,2021-07-01 11:20:09.864378
Intermediate Microeconomics II | ECON 205D,Discussion Section 05D,6047,30,30,0.0,No,2021-07-01 11:20:12.209575
Intermediate Macroeconomics | ECON 210D,Lecture Section 001,6048,150,150,0.0,No,2021-07-01 11:20:14.822008
Intermediate Macroeconomics | ECON 210D,Discussion Section 01D,6049,30,30,0.0,No,2021-07-01 11:20:17.360851
Intermediate Macroeconomics | ECON 210D,Discussion Section 02D,6050,30,30,0.0,No,2021-07-01 11:20:19.869942
Intermediate Macroeconomics | ECON 210D,Discussion Section 03D,6051,30,30,0.0,No,2021-07-01 11:20:22.248310
Intermediate Macroeconomics | ECON 210D,Discussion Section 04D,6052,30,30,0.0,No,2021-07-01 11:20:24.619865
Intermediate Macroeconomics | ECON 210D,Discussion Section 05D,6053,30,30,0.0,No,2021-07-01 11:20:27.069627
Engineering Systems Optimization and Economics | ECON 212,Lecture Section 01,8068,25,25,0.0,No,2021-07-01 11:20:29.444916
Legal Issues for the Performing Arts | ECON 223S,SEM Section 01,8892,16,16,0.0,No,2021-07-01 11:20:31.840555
Personal Finance | ECON 254,Lecture Section 01,10079,100,100,0.0,No,2021-07-01 11:20:34.391649
Shakespeare & Financial Markets: Why This Time is Never Different | ECON 255S,SEM Section 01,6123,18,18,0.0,No,2021-07-01 11:20:36.893628
Practical Financial Markets | ECON 256,Lecture Section 01,6126,240,240,0.0,No,2021-07-01 11:20:39.324699
Amazon.com and the Cybereconomy | ECON 273,Lecture Section 01,4204,30,30,0.0,No,2021-07-01 11:20:41.731107
"Denial, Faith, Reason: Sustainability and Survival | ECON 285",Lecture Section 01,7973,20,20,0.0,No,2021-07-01 11:20:44.174822
