Class Name,Section,Class Number,Open Seats,Total Seats,Percent,Reserved Seats,Timestamp
The Dynamic Earth | ECS 101,Lecture Section 03,10348,185,185,0.0,No,2021-07-01 11:17:41.932858
The Dynamic Oceans | ECS 102,Lecture Section 01,9688,190,190,0.0,No,2021-07-01 11:17:44.349127
Climate Change for Future Leaders | ECS 103,Lecture Section 01,9691,30,30,0.0,No,2021-07-01 11:17:46.798603
Water Sciences: Principles and Challenges | ECS 220,Lecture Section 01,9693,30,30,0.0,No,2021-07-01 11:17:49.186865
Field Methods in Earth and Environmental Sciences | ECS 226S,SEM Section 01,9696,15,15,0.0,No,2021-07-01 11:17:51.574455
Energy and the Environment | ECS 231,Lecture Section 01,9699,175,175,0.0,No,2021-07-01 11:17:53.934320
Marine Ecology | ECS 374LA,Laboratory Section 01,9517,12,12,0.0,No,2021-07-01 11:17:56.301704
Biodiversity of Marine Invertebrates | ECS 377LA,Laboratory Section 01,9522,10,10,0.0,No,2021-07-01 11:17:58.642180
Independent Study | ECS 391,IND Section 01,10349,1,1,0.0,No,2021-07-01 11:18:01.032193
Independent Study | ECS 391,IND Section 02,10350,1,1,0.0,No,2021-07-01 11:18:03.430381
Independent Study | ECS 391,IND Section 03,10351,1,1,0.0,No,2021-07-01 11:18:05.902012
Independent Study | ECS 391,IND Section 04,10352,1,1,0.0,No,2021-07-01 11:18:08.422970
Independent Study | ECS 391,IND Section 05,10353,1,1,0.0,No,2021-07-01 11:18:10.837552
Research Independent Study | ECS 393,IND Section 01,10354,1,1,0.0,No,2021-07-01 11:18:13.292286
Research Independent Study | ECS 393,IND Section 02,10355,1,1,0.0,No,2021-07-01 11:18:15.684223
Research Independent Study | ECS 393,IND Section 03,10356,1,1,0.0,No,2021-07-01 11:18:18.096090
Research Independent Study | ECS 393,IND Section 04,10357,1,1,0.0,No,2021-07-01 11:18:20.475049
Research Independent Study | ECS 393,IND Section 05,10358,1,1,0.0,No,2021-07-01 11:18:22.901700
Research Independent Study | ECS 394,IND Section 01,10359,1,1,0.0,No,2021-07-01 11:18:25.312280
Research Independent Study | ECS 394,IND Section 02,10360,1,1,0.0,No,2021-07-01 11:18:27.781164
Research Independent Study | ECS 394,IND Section 03,10361,1,1,0.0,No,2021-07-01 11:18:30.209040
Research Independent Study | ECS 394,IND Section 04,10362,1,1,0.0,No,2021-07-01 11:18:32.617713
The Dynamic Earth | ECS 101,Lecture Section 03,10348,185,185,0.0,No,2021-07-01 17:37:11.717563
The Dynamic Oceans | ECS 102,Lecture Section 01,9688,190,190,0.0,No,2021-07-01 17:37:14.107724
Climate Change for Future Leaders | ECS 103,Lecture Section 01,9691,30,30,0.0,No,2021-07-01 17:37:16.517634
Water Sciences: Principles and Challenges | ECS 220,Lecture Section 01,9693,30,30,0.0,No,2021-07-01 17:37:18.903371
Field Methods in Earth and Environmental Sciences | ECS 226S,SEM Section 01,9696,15,15,0.0,No,2021-07-01 17:37:21.313455
Energy and the Environment | ECS 231,Lecture Section 01,9699,175,175,0.0,No,2021-07-01 17:37:23.786448
Marine Ecology | ECS 374LA,Laboratory Section 01,9517,12,12,0.0,No,2021-07-01 17:37:26.356486
Biodiversity of Marine Invertebrates | ECS 377LA,Laboratory Section 01,9522,10,10,0.0,No,2021-07-01 17:37:28.810412
Independent Study | ECS 391,IND Section 01,10349,1,1,0.0,No,2021-07-01 17:37:31.300640
Independent Study | ECS 391,IND Section 02,10350,1,1,0.0,No,2021-07-01 17:37:33.761217
Independent Study | ECS 391,IND Section 03,10351,1,1,0.0,No,2021-07-01 17:37:36.148427
Independent Study | ECS 391,IND Section 04,10352,1,1,0.0,No,2021-07-01 17:37:38.559338
Independent Study | ECS 391,IND Section 05,10353,1,1,0.0,No,2021-07-01 17:37:40.960080
Research Independent Study | ECS 393,IND Section 01,10354,1,1,0.0,No,2021-07-01 17:37:43.310100
Research Independent Study | ECS 393,IND Section 02,10355,1,1,0.0,No,2021-07-01 17:37:45.679284
Research Independent Study | ECS 393,IND Section 03,10356,1,1,0.0,No,2021-07-01 17:37:48.110627
Research Independent Study | ECS 393,IND Section 04,10357,1,1,0.0,No,2021-07-01 17:37:50.541756
Research Independent Study | ECS 393,IND Section 05,10358,1,1,0.0,No,2021-07-01 17:37:52.934345
Research Independent Study | ECS 394,IND Section 01,10359,1,1,0.0,No,2021-07-01 17:37:55.378551
Research Independent Study | ECS 394,IND Section 02,10360,1,1,0.0,No,2021-07-01 17:37:57.791067
Research Independent Study | ECS 394,IND Section 03,10361,1,1,0.0,No,2021-07-01 17:38:00.240113
Research Independent Study | ECS 394,IND Section 04,10362,1,1,0.0,No,2021-07-01 17:38:02.643944
