Class Name,Section,Class Number,Open Seats,Total Seats,Percent,Reserved Seats,Timestamp
Thrive | EGR 79D,Lecture Section 001,10120,144,144,0.0,No,2021-07-01 11:13:21.496488
Thrive | EGR 79D,Discussion Section 01D,10121,12,12,0.0,No,2021-07-01 11:13:23.994776
Thrive | EGR 79D,Discussion Section 02D,10122,12,12,0.0,No,2021-07-01 11:13:26.618364
Thrive | EGR 79D,Discussion Section 03D,10123,12,12,0.0,No,2021-07-01 11:13:29.103738
Thrive | EGR 79D,Discussion Section 04D,10124,12,12,0.0,No,2021-07-01 11:13:31.546882
Thrive | EGR 79D,Discussion Section 05D,10125,12,12,0.0,No,2021-07-01 11:13:34.069531
Thrive | EGR 79D,Discussion Section 06D,10126,12,12,0.0,No,2021-07-01 11:13:36.500959
Thrive | EGR 79D,Discussion Section 07D,10127,12,12,0.0,No,2021-07-01 11:13:38.938037
Thrive | EGR 79D,Discussion Section 08D,10128,12,12,0.0,No,2021-07-01 11:13:41.333367
Thrive | EGR 79D,Discussion Section 09D,10129,12,12,0.0,No,2021-07-01 11:13:43.720812
Thrive | EGR 79D,Discussion Section 10D,10130,12,12,0.0,No,2021-07-01 11:13:46.131641
Thrive | EGR 79D,Discussion Section 11D,10131,12,12,0.0,No,2021-07-01 11:13:48.545126
Thrive | EGR 79D,Discussion Section 12D,10132,12,12,0.0,No,2021-07-01 11:13:50.928646
First Year seminar in Focus | EGR 95FS,SEM Section 01,8070,0,18,100.0,No,2021-07-01 11:13:53.264390
First Year seminar in Focus | EGR 95FS,SEM Section 02,8071,0,18,100.0,No,2021-07-01 11:13:55.625989
Engineering Design and Communication | EGR 101L,Lecture Section 001,8074,44,44,0.0,No,2021-07-01 11:13:57.982327
Engineering Design and Communication | EGR 101L,Lecture Section 002,8075,44,44,0.0,No,2021-07-01 11:14:00.352556
Engineering Design and Communication | EGR 101L,Lecture Section 003,8076,40,40,0.0,No,2021-07-01 11:14:02.794451
Engineering Design and Communication | EGR 101L,Lecture Section 004,8077,44,44,0.0,No,2021-07-01 11:14:05.497798
Engineering Design and Communication | EGR 101L,Lecture Section 005,8078,40,40,0.0,No,2021-07-01 11:14:08.501971
Engineering Design and Communication | EGR 101L,Lecture Section 006,8079,44,44,0.0,No,2021-07-01 11:14:11.037430
Engineering Design and Communication | EGR 101L,Lecture Section 007,8080,17,17,0.0,No,2021-07-01 11:14:13.554232
Engineering Design and Communication | EGR 101L,Lecture Section 008,8081,44,44,0.0,No,2021-07-01 11:14:16.159007
Engineering Design and Communication | EGR 101L,Lecture Section 009,8082,20,20,0.0,No,2021-07-01 11:14:18.808500
Engineering Design and Communication | EGR 101L,Laboratory Section 01L,8083,40,40,0.0,No,2021-07-01 11:14:21.332282
Engineering Design and Communication | EGR 101L,Laboratory Section 02L,8084,40,40,0.0,No,2021-07-01 11:14:23.766024
Engineering Design and Communication | EGR 101L,Laboratory Section 03L,8085,36,36,0.0,No,2021-07-01 11:14:26.216507
Engineering Design and Communication | EGR 101L,Laboratory Section 04L,8086,40,40,0.0,No,2021-07-01 11:14:28.599575
Engineering Design and Communication | EGR 101L,Laboratory Section 05L,8087,36,36,0.0,No,2021-07-01 11:14:30.969358
Engineering Design and Communication | EGR 101L,Laboratory Section 06L,8088,40,40,0.0,No,2021-07-01 11:14:33.331214
Engineering Design and Communication | EGR 101L,Laboratory Section 07L,8089,17,17,0.0,No,2021-07-01 11:14:35.765609
Engineering Design and Communication | EGR 101L,Laboratory Section 08L,8090,40,40,0.0,No,2021-07-01 11:14:38.211894
Engineering Design and Communication | EGR 101L,Laboratory Section 09L,8091,18,18,0.0,No,2021-07-01 11:14:40.570559
Computational Methods in Engineering | EGR 103L,Lecture Section 001,8853,150,150,0.0,No,2021-07-01 11:14:42.940979
Computational Methods in Engineering (Lab) | EGR 103L9,Laboratory Section 02L,8814,30,30,0.0,No,2021-07-01 11:14:45.271677
Computational Methods in Engineering (Lab) | EGR 103L9,Laboratory Section 03L,8815,30,30,0.0,No,2021-07-01 11:14:47.655841
Computational Methods in Engineering (Lab) | EGR 103L9,Laboratory Section 05L,8816,30,30,0.0,No,2021-07-01 11:14:50.024284
Computational Methods in Engineering (Lab) | EGR 103L9,Laboratory Section 06L,8817,30,30,0.0,No,2021-07-01 11:14:52.345520
Computational Methods in Engineering (Lab) | EGR 103L9,Laboratory Section 08L,8818,30,30,0.0,No,2021-07-01 11:14:54.686734
Special Topics in Engineering | EGR 190,Lecture Section 01,8069,30,30,0.0,No,2021-07-01 11:14:57.095037
Mechanics of Solids | EGR 201L,Lecture Section 001,8058,50,50,0.0,No,2021-07-01 11:14:59.536982
Mechanics of Solids | EGR 201L,Lecture Section 002,8059,50,50,0.0,No,2021-07-01 11:15:02.002506
Mechanics of Solids | EGR 201L,Lecture Section 003,8060,50,50,0.0,No,2021-07-01 11:15:04.324560
Mechanics of Solids | EGR 201L,Laboratory Section 11L,8061,25,25,0.0,No,2021-07-01 11:15:06.744572
Mechanics of Solids | EGR 201L,Laboratory Section 12L,8062,25,25,0.0,No,2021-07-01 11:15:09.215584
Mechanics of Solids | EGR 201L,Laboratory Section 21L,8063,25,25,0.0,No,2021-07-01 11:15:11.570643
Mechanics of Solids | EGR 201L,Laboratory Section 22L,8064,25,25,0.0,No,2021-07-01 11:15:13.943398
Mechanics of Solids | EGR 201L,Laboratory Section 31L,8065,25,25,0.0,No,2021-07-01 11:15:16.377754
Mechanics of Solids | EGR 201L,Laboratory Section 32L,8066,25,25,0.0,No,2021-07-01 11:15:18.814699
Fundamentals of Data Analysis and Decision Science | EGR 238L,Lecture Section 001,8108,30,30,0.0,No,2021-07-01 11:15:21.330427
Fundamentals of Data Analysis and Decision Science | EGR 238L,Laboratory Section 01L,8109,30,30,0.0,No,2021-07-01 11:15:23.749462
Engineering Systems Optimization and Economics | EGR 305,Lecture Section 01,8067,25,25,0.0,No,2021-07-01 11:15:26.148417
Thrive | EGR 79D,Lecture Section 001,10120,144,144,0.0,No,2021-07-01 17:34:17.500720
Thrive | EGR 79D,Discussion Section 01D,10121,12,12,0.0,No,2021-07-01 17:34:19.917990
Thrive | EGR 79D,Discussion Section 02D,10122,12,12,0.0,No,2021-07-01 17:34:22.402867
Thrive | EGR 79D,Discussion Section 03D,10123,12,12,0.0,No,2021-07-01 17:34:24.810144
Thrive | EGR 79D,Discussion Section 04D,10124,12,12,0.0,No,2021-07-01 17:34:27.198578
Thrive | EGR 79D,Discussion Section 05D,10125,12,12,0.0,No,2021-07-01 17:34:29.652356
Thrive | EGR 79D,Discussion Section 06D,10126,12,12,0.0,No,2021-07-01 17:34:32.035961
Thrive | EGR 79D,Discussion Section 07D,10127,12,12,0.0,No,2021-07-01 17:34:34.430657
Thrive | EGR 79D,Discussion Section 08D,10128,12,12,0.0,No,2021-07-01 17:34:36.871659
Thrive | EGR 79D,Discussion Section 09D,10129,12,12,0.0,No,2021-07-01 17:34:39.507972
Thrive | EGR 79D,Discussion Section 10D,10130,12,12,0.0,No,2021-07-01 17:34:42.035030
Thrive | EGR 79D,Discussion Section 11D,10131,12,12,0.0,No,2021-07-01 17:34:44.610718
Thrive | EGR 79D,Discussion Section 12D,10132,12,12,0.0,No,2021-07-01 17:34:47.046806
First Year seminar in Focus | EGR 95FS,SEM Section 01,8070,0,18,100.0,No,2021-07-01 17:34:49.510598
First Year seminar in Focus | EGR 95FS,SEM Section 02,8071,0,18,100.0,No,2021-07-01 17:34:52.253986
Engineering Design and Communication | EGR 101L,Lecture Section 001,8074,44,44,0.0,No,2021-07-01 17:34:54.628929
Engineering Design and Communication | EGR 101L,Lecture Section 002,8075,44,44,0.0,No,2021-07-01 17:34:56.973835
Engineering Design and Communication | EGR 101L,Lecture Section 003,8076,40,40,0.0,No,2021-07-01 17:34:59.371534
Engineering Design and Communication | EGR 101L,Lecture Section 004,8077,44,44,0.0,No,2021-07-01 17:35:01.766957
Engineering Design and Communication | EGR 101L,Lecture Section 005,8078,40,40,0.0,No,2021-07-01 17:35:04.242710
Engineering Design and Communication | EGR 101L,Lecture Section 006,8079,44,44,0.0,No,2021-07-01 17:35:06.579754
Engineering Design and Communication | EGR 101L,Lecture Section 007,8080,17,17,0.0,No,2021-07-01 17:35:08.924874
Engineering Design and Communication | EGR 101L,Lecture Section 008,8081,44,44,0.0,No,2021-07-01 17:35:11.263065
Engineering Design and Communication | EGR 101L,Lecture Section 009,8082,20,20,0.0,No,2021-07-01 17:35:13.631788
Engineering Design and Communication | EGR 101L,Laboratory Section 01L,8083,40,40,0.0,No,2021-07-01 17:35:16.005983
Engineering Design and Communication | EGR 101L,Laboratory Section 02L,8084,40,40,0.0,No,2021-07-01 17:35:18.475018
Engineering Design and Communication | EGR 101L,Laboratory Section 03L,8085,36,36,0.0,No,2021-07-01 17:35:20.830630
Engineering Design and Communication | EGR 101L,Laboratory Section 04L,8086,40,40,0.0,No,2021-07-01 17:35:23.233653
