Class Name,Section,Class Number,Open Seats,Total Seats,Percent,Reserved Seats,Timestamp
Bass Connections: Interdisciplinary Team Projects | EHD 395,IND Section 01,5981,18,18,0.0,No,2021-07-01 11:15:07.078222
Bass Connections Education & Human Development Research Team | EHD 395T,TUT Section 01,2367,18,18,0.0,No,2021-07-01 11:15:09.547607
Bass Connections Education & Human Development Research Team | EHD 395T,TUT Section 02,2368,18,18,0.0,No,2021-07-01 11:15:12.025593
Bass Connections Education & Human Development Research Team | EHD 395T,TUT Section 03,5991,18,18,0.0,No,2021-07-01 11:15:14.453811
Bass Connections Education & Human Development Research Team | EHD 395T,TUT Section 04,5992,18,18,0.0,No,2021-07-01 11:15:16.893664
Bass Connections Education & Human Development Research Team | EHD 395T,TUT Section 05,5993,18,18,0.0,No,2021-07-01 11:15:19.280285
Bass Connections Education & Human Development Research Team | EHD 395T,TUT Section 06,5994,18,18,0.0,No,2021-07-01 11:15:21.700446
Bass Connections Education & Human Development Research Team | EHD 395T,TUT Section 07,5995,15,15,0.0,No,2021-07-01 11:15:24.098024
Bass Connections Education & Human Development Research Team | EHD 395T,TUT Section 08,5996,18,18,0.0,No,2021-07-01 11:15:26.545964
Bass Connections Education & Human Development Research Team | EHD 395T,TUT Section 09,5997,18,18,0.0,No,2021-07-01 11:15:28.944734
Bass Connections Education & Human Development Research Team | EHD 395T,TUT Section 10,5998,18,18,0.0,No,2021-07-01 11:15:31.315583
