Class Name,Section,Class Number,Open Seats,Total Seats,Percent,Reserved Seats,Timestamp
First-Year Seminar on Literature | ENGLISH 89S,SEM Section 01,7233,14,14,0.0,No,2021-07-01 11:16:45.162223
Special Topics in Literature | ENGLISH 90S,SEM Section 01,7228,15,15,0.0,No,2021-07-01 11:16:47.613584
Special Topics in Literature | ENGLISH 90S,SEM Section 02,7229,15,15,0.0,No,2021-07-01 11:16:50.091224
The Art of Reading | ENGLISH 101S,SEM Section 01,7275,18,18,0.0,No,2021-07-01 11:16:52.486537
The Art of Reading | ENGLISH 101S,SEM Section 02,7276,15,15,0.0,No,2021-07-01 11:16:54.894848
The Art of Reading | ENGLISH 101S,SEM Section 03,7277,15,15,0.0,No,2021-07-01 11:16:57.325554
Introduction to Creative Writing | ENGLISH 110S,SEM Section 01,7234,15,15,0.0,No,2021-07-01 11:16:59.728520
Introduction to Creative Writing | ENGLISH 110S,SEM Section 02,7235,15,15,0.0,No,2021-07-01 11:17:02.143936
Introduction to Creative Writing | ENGLISH 110S,SEM Section 03,7236,15,15,0.0,No,2021-07-01 11:17:04.487408
Introduction to Film Studies | ENGLISH 181,Lecture Section 01,9450,25,25,0.0,No,2021-07-01 11:17:06.828247
Focus Program Seminar: Topics on Literature | ENGLISH 190FS-2,SEM Section 01,7230,0,18,100.0,No,2021-07-01 11:17:09.184253
Focus Program Seminar: Topics on Literature | ENGLISH 190FS-2,SEM Section 02,7231,4,18,77.77777777777779,No,2021-07-01 11:17:11.523197
Focus Program Seminar: Topics on Literature | ENGLISH 190FS-2,SEM Section 03,7232,0,18,100.0,No,2021-07-01 11:17:13.905012
"Performing Science: Experimentation, Collaboration, and Artistry | ENGLISH 198FS",SEM Section 01,8911,1,18,94.44444444444444,No,2021-07-01 11:17:16.242232
Introduction to Performance Studies | ENGLISH 202S,SEM Section 01,8906,16,16,0.0,No,2021-07-01 11:17:18.571985
Variety in Language: English in the United States | ENGLISH 206,Lecture Section 01,4373,30,30,0.0,No,2021-07-01 11:17:20.898737
Criticism and the Arts | ENGLISH 208S,SEM Section 01,7274,15,15,0.0,No,2021-07-01 11:17:23.218652
Introduction to the Writing of Poetry | ENGLISH 220S,SEM Section 01,7238,15,15,0.0,No,2021-07-01 11:17:25.554924
