Class Name,Section,Class Number,Open Seats,Total Seats,Percent,Reserved Seats,Timestamp
Research Independent Study | IMMUNOL 493,IND Section 01,1819,1,1,0.0,No,2021-07-01 11:20:29.982250
Research Independent Study | IMMUNOL 493,IND Section 02,1820,1,1,0.0,No,2021-07-01 11:20:32.480773
Research Independent Study | IMMUNOL 493,IND Section 03,1821,1,1,0.0,No,2021-07-01 11:20:35.033412
Research Independent Study | IMMUNOL 493,IND Section 04,1822,1,1,0.0,No,2021-07-01 11:20:37.498363
Research Independent Study | IMMUNOL 493,IND Section 05,1823,1,1,0.0,No,2021-07-01 11:20:39.885426
Research Independent Study | IMMUNOL 493,IND Section 06,1824,1,1,0.0,No,2021-07-01 11:20:42.286256
Research Independent Study | IMMUNOL 493,IND Section 07,1825,1,1,0.0,No,2021-07-01 11:20:44.739012
Research Independent Study | IMMUNOL 493,IND Section 08,1826,1,1,0.0,No,2021-07-01 11:20:47.244003
Research Independent Study | IMMUNOL 493,IND Section 01,1819,1,1,0.0,No,2021-07-01 17:40:19.591043
Research Independent Study | IMMUNOL 493,IND Section 02,1820,1,1,0.0,No,2021-07-01 17:40:22.125976
Research Independent Study | IMMUNOL 493,IND Section 03,1821,1,1,0.0,No,2021-07-01 17:40:24.644569
Research Independent Study | IMMUNOL 493,IND Section 04,1822,1,1,0.0,No,2021-07-01 17:40:27.199452
Research Independent Study | IMMUNOL 493,IND Section 05,1823,1,1,0.0,No,2021-07-01 17:40:29.689209
Research Independent Study | IMMUNOL 493,IND Section 06,1824,1,1,0.0,No,2021-07-01 17:40:32.141214
Research Independent Study | IMMUNOL 493,IND Section 07,1825,1,1,0.0,No,2021-07-01 17:40:34.607210
Research Independent Study | IMMUNOL 493,IND Section 08,1826,1,1,0.0,No,2021-07-01 17:40:37.119748
