Class Name,Section,Class Number,Open Seats,Total Seats,Percent,Reserved Seats,Timestamp
First Year Seminar | ICS 89S,SEM Section 01,8693,15,15,0.0,No,2021-07-01 11:18:32.486025
Introduction to Cultural Anthropology | ICS 101,Lecture Section 01,4166,60,60,0.0,No,2021-07-01 11:18:34.884876
Introduction to Dance | ICS 102,Lecture Section 01,5298,12,12,0.0,No,2021-07-01 11:18:37.283106
Introduction to African Studies (DS3 or DS4) | ICS 110,Lecture Section 01,7328,60,60,0.0,No,2021-07-01 11:18:39.706770
Traditions in Documentary Studies | ICS 111,Lecture Section 01,6648,50,50,0.0,No,2021-07-01 11:18:42.304472
Clash of Civilizations: In the Heart of Europe | ICS 116FS,SEM Section 01,6622,0,18,100.0,No,2021-07-01 11:18:44.702083
"Human Rights: Back to the Future, looking at roots and current reality of human rights | ICS 119FS",SEM Section 01,4200,5,18,72.22222222222221,No,2021-07-01 11:18:47.124703
Introduction to Contemporary Latin America | ICS 121,Lecture Section 01,6960,35,35,0.0,No,2021-07-01 11:18:49.490451
"Languages, Margins, Borders: Representations, Practices, and Policies | ICS 125FS",SEM Section 01,4384,3,18,83.33333333333334,No,2021-07-01 11:18:52.019212
Human Rights and World Politics | ICS 128FS,SEM Section 01,7285,0,18,100.0,No,2021-07-01 11:18:54.489260
Gateway Seminar - Anarchism and its Discontents | ICS 166S,SEM Section 01,6994,18,18,0.0,No,2021-07-01 11:18:56.892526
Games and Culture: Gateway to the Study of Games | ICS 186FS,SEM Section 01,6631,0,18,100.0,No,2021-07-01 11:18:59.355236
Gateway Seminar: The Price of Sex: Gender and the Global Political Economy | ICS 188S,SEM Section 01,7018,15,15,0.0,No,2021-07-01 11:19:01.910635
Selected Topics in International Comparative Studies | ICS 190S,SEM Section 03,10176,18,18,0.0,No,2021-07-01 11:19:04.429134
Comparative Approaches to Global Issues | ICS 195,Lecture Section 01,8684,49,49,0.0,No,2021-07-01 11:19:06.794124
Transnational Feminism | ICS 208S,SEM Section 01,4949,18,18,0.0,No,2021-07-01 11:19:09.218487
Comparative Urban Politics and Policymaking | ICS 213S,SEM Section 01,6460,18,18,0.0,No,2021-07-01 11:19:11.747031
Gender in Dance and Theatre | ICS 215,Lecture Section 01,5304,12,12,0.0,No,2021-07-01 11:19:14.197559
Africa before Colonialism | ICS 221S,SEM Section 01,7386,18,18,0.0,No,2021-07-01 11:19:16.613360
African Art: From Royal Court to Contemporary Marketplace | ICS 223,Lecture Section 01,9171,18,18,0.0,No,2021-07-01 11:19:19.126821
The Black Atlantic | ICS 226,Lecture Section 01,8948,18,18,0.0,No,2021-07-01 11:19:21.737217
Modern Architecture | ICS 231D,Lecture Section 001,9015,15,15,0.0,No,2021-07-01 11:19:24.275166
Modern Architecture | ICS 231D,Discussion Section 01D,9016,15,15,0.0,No,2021-07-01 11:19:26.671273
"Drugs, Chemicals, and Health: Histories of Substances in Economies, Environments, and Bodies | ICS 237",Lecture Section 01,7024,50,50,0.0,No,2021-07-01 11:19:29.188880
Nigeria: A Modern History | ICS 242S,SEM Section 01,7390,18,18,0.0,No,2021-07-01 11:19:31.629417
Literatures and Films of Pandemic | ICS 251S,SEM Section 01,6389,18,18,0.0,No,2021-07-01 11:19:34.009015
"Global Stories, Local Issues | ICS 260S",SEM Section 01,4191,18,18,0.0,No,2021-07-01 11:19:36.369574
Spies Like Us: Screening Cold War Espionage | ICS 262,Lecture Section 01,6385,35,35,0.0,No,2021-07-01 11:19:38.761622
Business Ethics: The Debate Over Corporate Social Responsibility | ICS 271,Lecture Section 01,4465,15,15,0.0,No,2021-07-01 11:19:41.149163
"Left, Right, and Center: Competing Political Ideals | ICS 275",Lecture Section 01,6427,35,35,0.0,No,2021-07-01 11:19:43.493785
The Foundations of Modern Terrorism | ICS 276,Lecture Section 01,6956,40,40,0.0,No,2021-07-01 11:19:45.910197
Selected Topics in International Comparative Studies | ICS 290S,SEM Section 01,6876,18,18,0.0,No,2021-07-01 11:19:48.333326
Global Narratives of Illness and Disability | ICS 295,Lecture Section 01,5838,30,30,0.0,No,2021-07-01 11:19:50.748832
Cross-Cultural Encounters | ICS 297S,SEM Section 01,7672,18,18,0.0,No,2021-07-01 11:19:53.144609
History of International Financial and Monetary Crises | ICS 305,Lecture Section 01,6103,30,30,0.0,No,2021-07-01 11:19:55.488706
Development and Africa | ICS 308,Lecture Section 01,7321,50,50,0.0,No,2021-07-01 11:19:57.866735
Global Displacement: Voix Francophones | ICS 332S,SEM Section 01,5729,15,15,0.0,No,2021-07-01 11:20:00.228600
"Decolonization: Histories, Meanings, Struggles | ICS 335S",SEM Section 01,8697,16,16,0.0,No,2021-07-01 11:20:02.578028
Chinatowns: A Cultural History | ICS 336,Lecture Section 01,6590,21,21,0.0,No,2021-07-01 11:20:05.040963
Chinatowns: A Cultural History | ICS 336,Lecture Section 02,6591,21,21,0.0,No,2021-07-01 11:20:07.444172
Illiberal Nondemocracies: Focus on Eastern Europe and Asia | ICS 346S,SEM Section 01,6380,18,18,0.0,No,2021-07-01 11:20:09.817915
Women in the Economy | ICS 348,Lecture Section 01,6035,40,40,0.0,No,2021-07-01 11:20:12.190320
Global Apple: Life and Death and the Digital Revolution | ICS 369S,SEM Section 01,4184,18,18,0.0,No,2021-07-01 11:20:14.792292
Islam in Asia | ICS 370S,SEM Section 01,6374,18,18,0.0,No,2021-07-01 11:20:17.350145
Independent Study | ICS 391,IND Section 01,8690,1,1,0.0,No,2021-07-01 11:20:19.846937
Independent Study | ICS 391,IND Section 02,8691,1,1,0.0,No,2021-07-01 11:20:22.246059
Independent Study | ICS 392,IND Section 01,8692,1,1,0.0,No,2021-07-01 11:20:24.623603
Language and Society | ICS 395,Lecture Section 01,7263,25,25,0.0,No,2021-07-01 11:20:27.077847
Global Health Ethics: Policy Choice as Value Conflict | ICS 397,Lecture Section 01,5815,35,35,0.0,No,2021-07-01 11:20:29.448019
Indigenous Americas | ICS 414S,SEM Section 01,4196,18,18,0.0,No,2021-07-01 11:20:31.847981
Music and The Black Radical Imagination | ICS 420S,SEM Section 01,8700,15,15,0.0,No,2021-07-01 11:20:34.358623
Geopolitics and Culture: Islamic States from the Ottomans to ISIS | ICS 421S,SEM Section 01,6601,18,18,0.0,No,2021-07-01 11:20:36.839245
Medical Anthropology | ICS 424-1,Lecture Section 01,4177,30,30,0.0,No,2021-07-01 11:20:39.270822
Economic Growth | ICS 452,Lecture Section 01,6008,15,15,0.0,No,2021-07-01 11:20:41.708486
Capstone: Global Studies Seminar | ICS 489S,SEM Section 01,8695,12,12,0.0,No,2021-07-01 11:20:44.170697
Capstone: Global Studies Seminar | ICS 489S,SEM Section 02,8696,15,15,0.0,No,2021-07-01 11:20:46.610062
Senior Honors Seminar | ICS 495S,SEM Section 01,8694,16,16,0.0,No,2021-07-01 11:20:49.002853
First Year Seminar | ICS 89S,SEM Section 01,8693,15,15,0.0,No,2021-07-01 17:38:53.697503
Introduction to Cultural Anthropology | ICS 101,Lecture Section 01,4166,60,60,0.0,No,2021-07-01 17:38:56.081918
Introduction to Dance | ICS 102,Lecture Section 01,5298,12,12,0.0,No,2021-07-01 17:38:58.480738
Introduction to African Studies (DS3 or DS4) | ICS 110,Lecture Section 01,7328,60,60,0.0,No,2021-07-01 17:39:00.864788
Traditions in Documentary Studies | ICS 111,Lecture Section 01,6648,50,50,0.0,No,2021-07-01 17:39:03.272395
Clash of Civilizations: In the Heart of Europe | ICS 116FS,SEM Section 01,6622,0,18,100.0,No,2021-07-01 17:39:05.721338
"Human Rights: Back to the Future, looking at roots and current reality of human rights | ICS 119FS",SEM Section 01,4200,5,18,72.22222222222221,No,2021-07-01 17:39:08.157835
Introduction to Contemporary Latin America | ICS 121,Lecture Section 01,6960,35,35,0.0,No,2021-07-01 17:39:10.679611
"Languages, Margins, Borders: Representations, Practices, and Policies | ICS 125FS",SEM Section 01,4384,3,18,83.33333333333334,No,2021-07-01 17:39:13.034950
Human Rights and World Politics | ICS 128FS,SEM Section 01,7285,0,18,100.0,No,2021-07-01 17:39:15.431360
Gateway Seminar - Anarchism and its Discontents | ICS 166S,SEM Section 01,6994,18,18,0.0,No,2021-07-01 17:39:17.828362
Games and Culture: Gateway to the Study of Games | ICS 186FS,SEM Section 01,6631,0,18,100.0,No,2021-07-01 17:39:20.211502
Gateway Seminar: The Price of Sex: Gender and the Global Political Economy | ICS 188S,SEM Section 01,7018,15,15,0.0,No,2021-07-01 17:39:22.567151
Selected Topics in International Comparative Studies | ICS 190S,SEM Section 03,10176,18,18,0.0,No,2021-07-01 17:39:25.059381
Comparative Approaches to Global Issues | ICS 195,Lecture Section 01,8684,49,49,0.0,No,2021-07-01 17:39:27.459124
Transnational Feminism | ICS 208S,SEM Section 01,4949,18,18,0.0,No,2021-07-01 17:39:29.849436
Comparative Urban Politics and Policymaking | ICS 213S,SEM Section 01,6460,18,18,0.0,No,2021-07-01 17:39:32.233452
Gender in Dance and Theatre | ICS 215,Lecture Section 01,5304,12,12,0.0,No,2021-07-01 17:39:34.812946
Africa before Colonialism | ICS 221S,SEM Section 01,7386,18,18,0.0,No,2021-07-01 17:39:37.311020
African Art: From Royal Court to Contemporary Marketplace | ICS 223,Lecture Section 01,9171,18,18,0.0,No,2021-07-01 17:39:39.762579
The Black Atlantic | ICS 226,Lecture Section 01,8948,18,18,0.0,No,2021-07-01 17:39:42.380389
Modern Architecture | ICS 231D,Lecture Section 001,9015,18,18,0.0,No,2021-07-01 17:39:44.850384
Modern Architecture | ICS 231D,Discussion Section 01D,9016,15,15,0.0,No,2021-07-01 17:39:47.183890
"Drugs, Chemicals, and Health: Histories of Substances in Economies, Environments, and Bodies | ICS 237",Lecture Section 01,7024,50,50,0.0,No,2021-07-01 17:39:49.530476
Nigeria: A Modern History | ICS 242S,SEM Section 01,7390,18,18,0.0,No,2021-07-01 17:39:51.893117
Literatures and Films of Pandemic | ICS 251S,SEM Section 01,6389,18,18,0.0,No,2021-07-01 17:39:54.273376
"Global Stories, Local Issues | ICS 260S",SEM Section 01,4191,18,18,0.0,No,2021-07-01 17:39:56.684294
Spies Like Us: Screening Cold War Espionage | ICS 262,Lecture Section 01,6385,35,35,0.0,No,2021-07-01 17:39:59.044656
Business Ethics: The Debate Over Corporate Social Responsibility | ICS 271,Lecture Section 01,4465,15,15,0.0,No,2021-07-01 17:40:01.409448
"Left, Right, and Center: Competing Political Ideals | ICS 275",Lecture Section 01,6427,35,35,0.0,No,2021-07-01 17:40:03.738448
The Foundations of Modern Terrorism | ICS 276,Lecture Section 01,6956,40,40,0.0,No,2021-07-01 17:40:06.073183
Selected Topics in International Comparative Studies | ICS 290S,SEM Section 01,6876,18,18,0.0,No,2021-07-01 17:40:08.430626
Global Narratives of Illness and Disability | ICS 295,Lecture Section 01,5838,30,30,0.0,No,2021-07-01 17:40:10.723055
Cross-Cultural Encounters | ICS 297S,SEM Section 01,7672,18,18,0.0,No,2021-07-01 17:40:13.031359
History of International Financial and Monetary Crises | ICS 305,Lecture Section 01,6103,30,30,0.0,No,2021-07-01 17:40:15.375591
Development and Africa | ICS 308,Lecture Section 01,7321,50,50,0.0,No,2021-07-01 17:40:17.735272
Global Displacement: Voix Francophones | ICS 332S,SEM Section 01,5729,15,15,0.0,No,2021-07-01 17:40:20.122304
"Decolonization: Histories, Meanings, Struggles | ICS 335S",SEM Section 01,8697,16,16,0.0,No,2021-07-01 17:40:22.544370
Chinatowns: A Cultural History | ICS 336,Lecture Section 01,6590,21,21,0.0,No,2021-07-01 17:40:25.026417
Chinatowns: A Cultural History | ICS 336,Lecture Section 02,6591,21,21,0.0,No,2021-07-01 17:40:27.481343
Illiberal Nondemocracies: Focus on Eastern Europe and Asia | ICS 346S,SEM Section 01,6380,18,18,0.0,No,2021-07-01 17:40:29.960168
Women in the Economy | ICS 348,Lecture Section 01,6035,40,40,0.0,No,2021-07-01 17:40:32.461834
Global Apple: Life and Death and the Digital Revolution | ICS 369S,SEM Section 01,4184,18,18,0.0,No,2021-07-01 17:40:34.950931
Islam in Asia | ICS 370S,SEM Section 01,6374,18,18,0.0,No,2021-07-01 17:40:37.284780
Independent Study | ICS 391,IND Section 01,8690,1,1,0.0,No,2021-07-01 17:40:39.630298
Independent Study | ICS 391,IND Section 02,8691,1,1,0.0,No,2021-07-01 17:40:41.947858
Independent Study | ICS 392,IND Section 01,8692,1,1,0.0,No,2021-07-01 17:40:44.411933
Language and Society | ICS 395,Lecture Section 01,7263,25,25,0.0,No,2021-07-01 17:40:46.742061
Global Health Ethics: Policy Choice as Value Conflict | ICS 397,Lecture Section 01,5815,35,35,0.0,No,2021-07-01 17:40:49.056849
Indigenous Americas | ICS 414S,SEM Section 01,4196,18,18,0.0,No,2021-07-01 17:40:51.376533
Music and The Black Radical Imagination | ICS 420S,SEM Section 01,8700,15,15,0.0,No,2021-07-01 17:40:53.697759
Geopolitics and Culture: Islamic States from the Ottomans to ISIS | ICS 421S,SEM Section 01,6601,18,18,0.0,No,2021-07-01 17:40:56.041293
Medical Anthropology | ICS 424-1,Lecture Section 01,4177,30,30,0.0,No,2021-07-01 17:40:58.405756
Economic Growth | ICS 452,Lecture Section 01,6008,15,15,0.0,No,2021-07-01 17:41:00.739522
Capstone: Global Studies Seminar | ICS 489S,SEM Section 01,8695,12,12,0.0,No,2021-07-01 17:41:03.079117
Capstone: Global Studies Seminar | ICS 489S,SEM Section 02,8696,15,15,0.0,No,2021-07-01 17:41:05.436205
Senior Honors Seminar | ICS 495S,SEM Section 01,8694,16,16,0.0,No,2021-07-01 17:41:07.768819
