Class Name,Section,Class Number,Open Seats,Total Seats,Percent,Reserved Seats,Timestamp
Elementary Modern Hebrew | JEWISHST 101,Lecture Section 001,6529,15,15,0.0,No,2021-07-01 11:23:48.847205
Elementary Modern Hebrew | JEWISHST 101,Discussion Section 01D,6530,15,15,0.0,No,2021-07-01 11:23:51.215097
"Scripture: Judaism, Christianity, and Islam | JEWISHST 156",Lecture Section 01,7664,60,60,0.0,No,2021-07-01 11:23:53.592258
Intermediate Modern Hebrew | JEWISHST 203,Lecture Section 01,6532,15,15,0.0,No,2021-07-01 11:23:55.937919
Clash of Civilizations: In the Heart of Europe | JEWISHST 206FS,SEM Section 01,6623,0,18,100.0,No,2021-07-01 11:23:58.347339
Advanced Modern Hebrew | JEWISHST 306S,SEM Section 01,6534,10,10,0.0,No,2021-07-01 11:24:00.739618
Germany Confronts Nazism and the Holocaust | JEWISHST 369,Lecture Section 01,5433,25,25,0.0,No,2021-07-01 11:24:03.193746
Elementary Modern Hebrew | JEWISHST 101,Lecture Section 001,6529,15,15,0.0,No,2021-07-01 17:44:10.177905
Elementary Modern Hebrew | JEWISHST 101,Discussion Section 01D,6530,15,15,0.0,No,2021-07-01 17:44:12.526515
"Scripture: Judaism, Christianity, and Islam | JEWISHST 156",Lecture Section 01,7664,60,60,0.0,No,2021-07-01 17:44:14.986272
Intermediate Modern Hebrew | JEWISHST 203,Lecture Section 01,6532,15,15,0.0,No,2021-07-01 17:44:17.426288
Clash of Civilizations: In the Heart of Europe | JEWISHST 206FS,SEM Section 01,6623,0,18,100.0,No,2021-07-01 17:44:19.795588
Advanced Modern Hebrew | JEWISHST 306S,SEM Section 01,6534,10,10,0.0,No,2021-07-01 17:44:22.170184
Germany Confronts Nazism and the Holocaust | JEWISHST 369,Lecture Section 01,5433,25,25,0.0,No,2021-07-01 17:44:24.511808
