Class Name,Section,Class Number,Open Seats,Total Seats,Percent,Reserved Seats,Timestamp
Introduction to Contemporary Latin America | LATAMER 121,Lecture Section 01,6959,35,35,0.0,No,2021-07-01 11:20:11.831708
Special Topics in Latin American Studies | LATAMER 190S,SEM Section 01,6913,18,18,0.0,No,2021-07-01 11:20:14.283570
Perspectives on the Amazon | LATAMER 341S,SEM Section 01,5753,18,18,0.0,No,2021-07-01 11:20:16.857869
Displacements: Migration and Human Trafficking | LATAMER 343,Lecture Section 01,7368,20,20,0.0,No,2021-07-01 11:20:19.391470
Special Topics in Latin American and Caribbean Studies | LATAMER 490S,SEM Section 01,5723,18,18,0.0,No,2021-07-01 11:20:21.781131
Special Topics in Latin American and Caribbean Studies | LATAMER 490S,SEM Section 02,5724,18,18,0.0,No,2021-07-01 11:20:24.152849
Introduction to Contemporary Latin America | LATAMER 121,Lecture Section 01,6959,35,35,0.0,No,2021-07-01 17:42:19.298100
Special Topics in Latin American Studies | LATAMER 190S,SEM Section 01,6913,18,18,0.0,No,2021-07-01 17:42:21.689319
Perspectives on the Amazon | LATAMER 341S,SEM Section 01,5753,18,18,0.0,No,2021-07-01 17:42:24.104396
Displacements: Migration and Human Trafficking | LATAMER 343,Lecture Section 01,7368,20,20,0.0,No,2021-07-01 17:42:26.477289
Special Topics in Latin American and Caribbean Studies | LATAMER 490S,SEM Section 01,5723,18,18,0.0,No,2021-07-01 17:42:28.961389
Special Topics in Latin American and Caribbean Studies | LATAMER 490S,SEM Section 02,5724,18,18,0.0,No,2021-07-01 17:42:31.345987
