Class Name,Section,Class Number,Open Seats,Total Seats,Percent,Reserved Seats,Timestamp
Elementary Latin | LATIN 101,Lecture Section 01,5137,15,15,0.0,No,2021-07-01 11:18:47.686585
Elementary Latin | LATIN 101,Lecture Section 02,5138,15,15,0.0,No,2021-07-01 11:18:50.187768
Elementary Latin | LATIN 101,Lecture Section 03,5139,15,15,0.0,No,2021-07-01 11:18:52.722551
Elementary Latin | LATIN 101,Lecture Section 04,5140,15,15,0.0,No,2021-07-01 11:18:55.206128
Intermediate Latin | LATIN 203,Lecture Section 01,5141,15,15,0.0,No,2021-07-01 11:18:57.874628
Intermediate Latin | LATIN 203,Lecture Section 02,5142,15,15,0.0,No,2021-07-01 11:19:00.348779
Refresher Latin for First-Year Students | LATIN 251,Lecture Section 01,5156,15,15,0.0,No,2021-07-01 11:19:02.919006
Elegy | LATIN 328S,SEM Section 01,5145,15,15,0.0,No,2021-07-01 11:19:05.330545
Ancient Autobiography: Augustine's Confessions | LATIN 370S,SEM Section 01,5155,15,15,0.0,No,2021-07-01 11:19:07.711195
Elementary Latin | LATIN 101,Lecture Section 01,5137,15,15,0.0,No,2021-07-01 17:40:50.774589
Elementary Latin | LATIN 101,Lecture Section 02,5138,15,15,0.0,No,2021-07-01 17:40:53.163918
Elementary Latin | LATIN 101,Lecture Section 03,5139,15,15,0.0,No,2021-07-01 17:40:55.575961
Elementary Latin | LATIN 101,Lecture Section 04,5140,15,15,0.0,No,2021-07-01 17:40:57.934567
Intermediate Latin | LATIN 203,Lecture Section 01,5141,15,15,0.0,No,2021-07-01 17:41:00.298325
Intermediate Latin | LATIN 203,Lecture Section 02,5142,15,15,0.0,No,2021-07-01 17:41:02.625497
Refresher Latin for First-Year Students | LATIN 251,Lecture Section 01,5156,15,15,0.0,No,2021-07-01 17:41:04.982955
Elegy | LATIN 328S,SEM Section 01,5145,15,15,0.0,No,2021-07-01 17:41:07.324368
Ancient Autobiography: Augustine's Confessions | LATIN 370S,SEM Section 01,5155,15,15,0.0,No,2021-07-01 17:41:09.647598
