Class Name,Section,Class Number,Open Seats,Total Seats,Percent,Reserved Seats,Timestamp
Marine Biology and Ecology: Fantastic Sea Creatures and Where to Find Them | MARSCI 202,Lecture Section 01,7818,50,50,0.0,No,2021-07-01 11:18:48.126979
Marine Ecology | MARSCI 273LA,Laboratory Section 01,9518,12,12,0.0,No,2021-07-01 11:18:50.647500
Marine Policy | MARSCI 286A,Lecture Section 01,9538,4,4,0.0,No,2021-07-01 11:18:53.202183
"Conservation Biology & Service Learning: coastal ecosystems, restoration and communities | MARSCI 287A",Lecture Section 01,9540,10,10,0.0,No,2021-07-01 11:18:55.730633
Oceans in Human and Environmental Health | MARSCI 309A,Lecture Section 01,9562,15,15,0.0,No,2021-07-01 11:18:58.201519
Aquaculture and the Environment | MARSCI 319A,Lecture Section 01,9556,15,15,0.0,No,2021-07-01 11:19:00.810474
Offshore Renewable Energy & Wildlife Conservation | MARSCI 323A,Lecture Section 01,9565,10,10,0.0,No,2021-07-01 11:19:03.315564
Sensory Physiology and Behavior of Marine Animals | MARSCI 373LA,Laboratory Section 01,9535,8,8,0.0,No,2021-07-01 11:19:05.733295
Marine Mammals | MARSCI 376A,Lecture Section 01,9513,15,15,0.0,No,2021-07-01 11:19:08.155157
Biodiversity of Marine Invertebrates | MARSCI 377LA,Laboratory Section 01,9523,10,10,0.0,No,2021-07-01 11:19:10.541182
Duke-Administered Study Abroad: Advanced Special Topics in Marine Science Conservation | MARSCI 390A,Lecture Section 01,9566,10,10,0.0,No,2021-07-01 11:19:12.884399
Climate Change in the Marine Environment | MARSCI 445A,Lecture Section 01,9551,10,10,0.0,No,2021-07-01 11:19:15.351321
Data and Time Series Analysis in Marine Sciences | MARSCI 476A,Lecture Section 01,9553,5,5,0.0,No,2021-07-01 11:19:17.861626
Marine Biology and Ecology: Fantastic Sea Creatures and Where to Find Them | MARSCI 202,Lecture Section 01,7818,50,50,0.0,No,2021-07-01 17:41:50.883348
Marine Ecology | MARSCI 273LA,Laboratory Section 01,9518,12,12,0.0,No,2021-07-01 17:41:53.231818
Marine Policy | MARSCI 286A,Lecture Section 01,9538,4,4,0.0,No,2021-07-01 17:41:55.625251
"Conservation Biology & Service Learning: coastal ecosystems, restoration and communities | MARSCI 287A",Lecture Section 01,9540,10,10,0.0,No,2021-07-01 17:41:57.963796
Oceans in Human and Environmental Health | MARSCI 309A,Lecture Section 01,9562,15,15,0.0,No,2021-07-01 17:42:00.297928
Aquaculture and the Environment | MARSCI 319A,Lecture Section 01,9556,15,15,0.0,No,2021-07-01 17:42:02.729542
Offshore Renewable Energy & Wildlife Conservation | MARSCI 323A,Lecture Section 01,9565,10,10,0.0,No,2021-07-01 17:42:05.044947
Sensory Physiology and Behavior of Marine Animals | MARSCI 373LA,Laboratory Section 01,9535,8,8,0.0,No,2021-07-01 17:42:07.380248
Marine Mammals | MARSCI 376A,Lecture Section 01,9513,15,15,0.0,No,2021-07-01 17:42:09.735899
Biodiversity of Marine Invertebrates | MARSCI 377LA,Laboratory Section 01,9523,10,10,0.0,No,2021-07-01 17:42:12.100454
Duke-Administered Study Abroad: Advanced Special Topics in Marine Science Conservation | MARSCI 390A,Lecture Section 01,9566,10,10,0.0,No,2021-07-01 17:42:14.492803
Climate Change in the Marine Environment | MARSCI 445A,Lecture Section 01,9551,10,10,0.0,No,2021-07-01 17:42:16.966693
Data and Time Series Analysis in Marine Sciences | MARSCI 476A,Lecture Section 01,9553,5,5,0.0,No,2021-07-01 17:42:19.348911
