Class Name,Section,Class Number,Open Seats,Total Seats,Percent,Reserved Seats,Timestamp
First-Year Seminar | MATH 89S,SEM Section 01,4731,15,15,0.0,No,2021-07-01 17:42:57.333803
Laboratory Calculus and Functions I | MATH 105L,Lecture Section 001,4694,25,25,0.0,No,2021-07-01 17:42:59.743636
Laboratory Calculus and Functions I | MATH 105L,Lecture Section 002,4695,25,25,0.0,No,2021-07-01 17:43:02.124298
Laboratory Calculus and Functions I | MATH 105L,Laboratory Section 01L,4696,25,25,0.0,No,2021-07-01 17:43:04.494505
Laboratory Calculus and Functions I | MATH 105L,Laboratory Section 02L,4697,25,25,0.0,No,2021-07-01 17:43:06.865349
Laboratory Calculus and Functions I | MATH 105L,Laboratory Section 03L,4698,25,25,0.0,No,2021-07-01 17:43:09.223688
Laboratory Calculus and Functions II | MATH 106L,Lecture Section 001,4699,25,25,0.0,No,2021-07-01 17:43:11.560525
Laboratory Calculus and Functions II | MATH 106L,Laboratory Section 01L,4700,25,25,0.0,No,2021-07-01 17:43:13.883961
Laboratory Calculus I | MATH 111L,Lecture Section 001,4701,140,140,0.0,No,2021-07-01 17:43:16.220671
Laboratory Calculus I | MATH 111L,Lecture Section 002,4702,140,140,0.0,No,2021-07-01 17:43:18.547158
Laboratory Calculus I | MATH 111L,Laboratory Section 01L,4703,25,25,0.0,No,2021-07-01 17:43:20.898465
Laboratory Calculus I | MATH 111L,Laboratory Section 02L,4704,25,25,0.0,No,2021-07-01 17:43:23.333853
Laboratory Calculus I | MATH 111L,Laboratory Section 03L,4705,25,25,0.0,No,2021-07-01 17:43:25.980154
Laboratory Calculus I | MATH 111L,Laboratory Section 04L,4706,25,25,0.0,No,2021-07-01 17:43:28.689373
Laboratory Calculus I | MATH 111L,Laboratory Section 05L,4707,25,25,0.0,No,2021-07-01 17:43:31.161392
Laboratory Calculus I | MATH 111L,Laboratory Section 06L,4708,25,25,0.0,No,2021-07-01 17:43:33.598749
Laboratory Calculus I | MATH 111L,Laboratory Section 07L,4709,25,25,0.0,No,2021-07-01 17:43:36.099742
Laboratory Calculus I | MATH 111L,Laboratory Section 08L,4710,25,25,0.0,No,2021-07-01 17:43:38.735591
Laboratory Calculus I | MATH 111L,Laboratory Section 09L,4711,25,25,0.0,No,2021-07-01 17:43:41.129308
Laboratory Calculus I | MATH 111L,Laboratory Section 10L,4712,25,25,0.0,No,2021-07-01 17:43:43.666886
Laboratory Calculus II | MATH 112L,Lecture Section 001,4713,25,25,0.0,No,2021-07-01 17:43:46.047337
Laboratory Calculus II | MATH 112L,Lecture Section 002,4714,25,25,0.0,No,2021-07-01 17:43:48.524755
Laboratory Calculus II | MATH 112L,Laboratory Section 01L,4715,25,25,0.0,No,2021-07-01 17:43:50.863766
Laboratory Calculus II | MATH 112L,Laboratory Section 02L,4716,25,25,0.0,No,2021-07-01 17:43:53.196773
Introductory Calculus II with Applications | MATH 122L,Lecture Section 001,4717,25,25,0.0,No,2021-07-01 17:43:55.536537
Introductory Calculus II with Applications | MATH 122L,Lecture Section 002,4718,25,25,0.0,No,2021-07-01 17:43:57.925765
Introductory Calculus II with Applications | MATH 122L,Lecture Section 003,4719,25,25,0.0,No,2021-07-01 17:44:00.268542
Introductory Calculus II with Applications | MATH 122L,Lecture Section 004,4720,25,25,0.0,No,2021-07-01 17:44:02.632863
Introductory Calculus II with Applications | MATH 122L,Lecture Section 005,4721,25,25,0.0,No,2021-07-01 17:44:04.960764
Introductory Calculus II with Applications | MATH 122L,Lecture Section 006,4722,25,25,0.0,No,2021-07-01 17:44:07.310400
Introductory Calculus II with Applications | MATH 122L,Lecture Section 007,4723,25,25,0.0,No,2021-07-01 17:44:09.665470
Introductory Calculus II with Applications | MATH 122L,Laboratory Section 01L,4724,25,25,0.0,No,2021-07-01 17:44:12.025572
Introductory Calculus II with Applications | MATH 122L,Laboratory Section 02L,4725,25,25,0.0,No,2021-07-01 17:44:14.434032
Introductory Calculus II with Applications | MATH 122L,Laboratory Section 03L,4726,25,25,0.0,No,2021-07-01 17:44:16.869447
Introductory Calculus II with Applications | MATH 122L,Laboratory Section 04L,4727,25,25,0.0,No,2021-07-01 17:44:19.274588
Introductory Calculus II with Applications | MATH 122L,Laboratory Section 05L,4728,25,25,0.0,No,2021-07-01 17:44:21.620926
Introductory Calculus II with Applications | MATH 122L,Laboratory Section 06L,4729,25,25,0.0,No,2021-07-01 17:44:23.955277
Introductory Calculus II with Applications | MATH 122L,Laboratory Section 07L,4730,25,25,0.0,No,2021-07-01 17:44:26.305990
Biological Clocks: How Organisms Keep Time | MATH 183,Lecture Section 01,9483,20,20,0.0,No,2021-07-01 17:44:28.688876
The Art of Proof | MATH 185,Lecture Section 01,9439,30,30,0.0,No,2021-07-01 17:44:31.049719
Independent Study | MATH 191,IND Section 01,4861,1,1,0.0,No,2021-07-01 17:44:33.374024
Independent Study | MATH 191,IND Section 02,4862,1,1,0.0,No,2021-07-01 17:44:35.741102
Multivariable Calculus for Economics | MATH 202D,Lecture Section 001,4831,120,120,0.0,No,2021-07-01 17:44:38.107791
Multivariable Calculus for Economics | MATH 202D,Discussion Section 01D,4832,25,25,0.0,No,2021-07-01 17:44:40.480703
Multivariable Calculus for Economics | MATH 202D,Discussion Section 02D,4833,25,25,0.0,No,2021-07-01 17:44:42.900621
Multivariable Calculus for Economics | MATH 202D,Discussion Section 03D,4834,25,25,0.0,No,2021-07-01 17:44:45.286545
Multivariable Calculus for Economics | MATH 202D,Discussion Section 04D,4835,25,25,0.0,No,2021-07-01 17:44:47.714518
Multivariable Calculus | MATH 212,Lecture Section 01,4732,25,25,0.0,No,2021-07-01 17:44:50.249088
Multivariable Calculus | MATH 212,Lecture Section 02,4733,25,25,0.0,No,2021-07-01 17:44:52.678387
Multivariable Calculus | MATH 212,Lecture Section 03,4734,25,25,0.0,No,2021-07-01 17:44:55.056942
Multivariable Calculus | MATH 212,Lecture Section 04,4735,25,25,0.0,No,2021-07-01 17:44:57.505922
Multivariable Calculus | MATH 212,Lecture Section 05,4736,25,25,0.0,No,2021-07-01 17:44:59.870200
Matrices and Vector Spaces | MATH 218D-1,Lecture Section 001,4869,50,50,0.0,No,2021-07-01 17:45:02.240231
Matrices and Vector Spaces | MATH 218D-1,Lecture Section 002,4870,50,50,0.0,No,2021-07-01 17:45:04.582375
Matrices and Vector Spaces | MATH 218D-1,Discussion Section 01D,4871,20,20,0.0,No,2021-07-01 17:45:06.937180
Matrices and Vector Spaces | MATH 218D-1,Discussion Section 02D,4872,20,20,0.0,No,2021-07-01 17:45:09.375517
Matrices and Vector Spaces | MATH 218D-1,Discussion Section 03D,4873,20,20,0.0,No,2021-07-01 17:45:11.862981
Matrices and Vector Spaces | MATH 218D-1,Discussion Section 04D,4874,20,20,0.0,No,2021-07-01 17:45:14.278795
Matrices and Vector Spaces | MATH 218D-1,Discussion Section 05D,4875,20,20,0.0,No,2021-07-01 17:45:16.708530
Matrices and Vectors | MATH 218D-2,Lecture Section 001,4917,150,150,0.0,No,2021-07-01 17:45:19.087852
Matrices and Vectors | MATH 218D-2,Lecture Section 002,4918,150,150,0.0,No,2021-07-01 17:45:21.537078
Matrices and Vectors | MATH 218D-2,Discussion Section 01D,4919,25,25,0.0,No,2021-07-01 17:45:24.064928
Matrices and Vectors | MATH 218D-2,Discussion Section 02D,4920,25,25,0.0,No,2021-07-01 17:45:27.011005
