Class Name,Section,Class Number,Open Seats,Total Seats,Percent,Reserved Seats,Timestamp
Leadership Laboratory - Fall Semester Only | MILITSCI 91L,Laboratory Section 01L,4995,25,25,0.0,No,2021-07-01 11:21:11.341934
Leadership Laboratory - Spring Semester Only | MILITSCI 92L,Laboratory Section 01L,4996,50,50,0.0,No,2021-07-01 11:21:13.808834
Senior Leadership Laboratory - Fall Semester | MILITSCI 93L,Laboratory Section 01L,5003,25,25,0.0,No,2021-07-01 11:21:16.213193
Basic Army Physical Development | MILITSCI 94,ACT Section 01,5004,30,30,0.0,No,2021-07-01 11:21:18.605247
Introduction to the Army | MILITSCI 101S,SEM Section 01,4997,15,15,0.0,No,2021-07-01 11:21:20.989672
Leadership and Ethics | MILITSCI 201,Lecture Section 01,4998,20,20,0.0,No,2021-07-01 11:21:23.333405
Independent Study | MILITSCI 291,IND Section 01,5001,10,10,0.0,No,2021-07-01 11:21:25.675638
Independent Study - Half Credit | MILITSCI 291-1,IND Section 01,5002,10,10,0.0,No,2021-07-01 11:21:28.028878
Training Management and the Warfighting Functions | MILITSCI 301,Lecture Section 01,4999,25,25,0.0,No,2021-07-01 11:21:30.381371
The Army Officer | MILITSCI 401S,SEM Section 01,5000,15,15,0.0,No,2021-07-01 11:21:32.827648
Leadership Laboratory - Fall Semester Only | MILITSCI 91L,Laboratory Section 01L,4995,25,25,0.0,No,2021-07-01 17:44:22.479377
Leadership Laboratory - Spring Semester Only | MILITSCI 92L,Laboratory Section 01L,4996,50,50,0.0,No,2021-07-01 17:44:24.948047
Senior Leadership Laboratory - Fall Semester | MILITSCI 93L,Laboratory Section 01L,5003,25,25,0.0,No,2021-07-01 17:44:27.361860
Basic Army Physical Development | MILITSCI 94,ACT Section 01,5004,30,30,0.0,No,2021-07-01 17:44:29.857392
Introduction to the Army | MILITSCI 101S,SEM Section 01,4997,15,15,0.0,No,2021-07-01 17:44:32.221845
Leadership and Ethics | MILITSCI 201,Lecture Section 01,4998,20,20,0.0,No,2021-07-01 17:44:34.532921
Independent Study | MILITSCI 291,IND Section 01,5001,10,10,0.0,No,2021-07-01 17:44:36.903290
Independent Study - Half Credit | MILITSCI 291-1,IND Section 01,5002,10,10,0.0,No,2021-07-01 17:44:39.267445
Training Management and the Warfighting Functions | MILITSCI 301,Lecture Section 01,4999,25,25,0.0,No,2021-07-01 17:44:41.700961
The Army Officer | MILITSCI 401S,SEM Section 01,5000,15,15,0.0,No,2021-07-01 17:44:44.092221
