Class Name,Section,Class Number,Open Seats,Total Seats,Percent,Reserved Seats,Timestamp
Research Independent Study | PATHOL 293,IND Section 01,5543,4,4,0.0,No,2021-07-01 17:52:00.995352
Research Independent Study | PATHOL 293,IND Section 02,5544,4,4,0.0,No,2021-07-01 17:52:03.373541
Research Independent Study | PATHOL 293,IND Section 03,5545,4,4,0.0,No,2021-07-01 17:52:05.736197
Research Independent Study | PATHOL 293,IND Section 04,5546,4,4,0.0,No,2021-07-01 17:52:08.110563
Research Independent Study | PATHOL 293,IND Section 05,5547,2,2,0.0,No,2021-07-01 17:52:10.486805
Research Independent Study | PATHOL 293,IND Section 06,5548,2,2,0.0,No,2021-07-01 17:52:12.843161
Research Independent Study | PATHOL 293,IND Section 07,5549,2,2,0.0,No,2021-07-01 17:52:15.201589
Research Independent Study | PATHOL 293,IND Section 08,5550,2,2,0.0,No,2021-07-01 17:52:17.637105
Research Independent Study | PATHOL 293,IND Section 09,5551,2,2,0.0,No,2021-07-01 17:52:20.012410
Research Independent Study | PATHOL 293,IND Section 10,5552,2,2,0.0,No,2021-07-01 17:52:22.434469
Research Independent Study | PATHOL 293,IND Section 11,5553,2,2,0.0,No,2021-07-01 17:52:24.840973
Research Independent Study | PATHOL 293,IND Section 12,5554,2,2,0.0,No,2021-07-01 17:52:27.377923
Research Independent Study | PATHOL 293,IND Section 13,5555,2,2,0.0,No,2021-07-01 17:52:29.846409
Research Independent Study | PATHOL 293,IND Section 14,5556,2,2,0.0,No,2021-07-01 17:52:32.348853
