Class Name,Section,Class Number,Open Seats,Total Seats,Percent,Reserved Seats,Timestamp
First-Year Seminar | PHIL 89S,SEM Section 05,7280,18,18,0.0,No,2021-07-01 11:23:48.444707
Introduction to Philosophy | PHIL 101,Lecture Section 01,4439,35,35,0.0,No,2021-07-01 11:23:50.805962
Introduction to Philosophy | PHIL 103S,SEM Section 01,4440,12,12,0.0,No,2021-07-01 11:23:53.208499
Introduction to Philosophy | PHIL 103S,SEM Section 02,4441,12,12,0.0,No,2021-07-01 11:23:55.596569
Introduction to Philosophy | PHIL 103S,SEM Section 03,4442,12,12,0.0,No,2021-07-01 11:23:57.954113
"Information, Society & Culture: Bass Connections Gateway | PHIL 110",Lecture Section 01,7419,40,40,0.0,No,2021-07-01 11:24:00.455123
Freedom and Moral Obligation | PHIL 124FS,SEM Section 01,4471,1,18,94.44444444444444,No,2021-07-01 11:24:02.804978
Logic | PHIL 150,Lecture Section 01,4443,12,12,0.0,No,2021-07-01 11:24:05.206438
Logic | PHIL 150,Lecture Section 02,4444,12,12,0.0,No,2021-07-01 11:24:07.577240
Logic | PHIL 150,Lecture Section 03,4445,12,12,0.0,No,2021-07-01 11:24:09.969482
History of Ancient Philosophy | PHIL 203,Lecture Section 01,4447,35,35,0.0,No,2021-07-01 11:24:12.331866
The modern canon: listening to neglected voices | PHIL 204,SEM Section 01,4451,18,18,0.0,No,2021-07-01 11:24:14.697419
Philosophy of Mind | PHIL 212,Lecture Section 01,4452,35,35,0.0,No,2021-07-01 11:24:17.116011
Introduction to Ethical Theory | PHIL 217,Lecture Section 01,4455,35,35,0.0,No,2021-07-01 11:24:19.445043
Medical Ethics | PHIL 218,Lecture Section 01,4456,35,35,0.0,No,2021-07-01 11:24:21.777191
Symbolic Logic | PHIL 250,Lecture Section 01,4449,18,18,0.0,No,2021-07-01 11:24:24.105365
Philosophy and Neuroscience | PHIL 252,Lecture Section 01,4466,35,35,0.0,No,2021-07-01 11:24:26.428162
Business Ethics: The Debate Over Corporate Social Responsibility | PHIL 270,Lecture Section 01,4463,15,15,0.0,No,2021-07-01 11:24:28.727336
Independent Study | PHIL 291,IND Section 01,10314,5,5,0.0,No,2021-07-01 11:24:31.107378
Independent Study | PHIL 291,IND Section 02,10315,5,5,0.0,No,2021-07-01 11:24:33.543390
Research Independent Study | PHIL 293,IND Section 01,10316,5,5,0.0,No,2021-07-01 11:24:35.917806
Research Independent Study | PHIL 293,IND Section 02,10317,5,5,0.0,No,2021-07-01 11:24:38.296582
Research Independent Study | PHIL 293,IND Section 03,10318,5,5,0.0,No,2021-07-01 11:24:40.680716
Philosophy of Biology | PHIL 314,Lecture Section 01,4461,40,40,0.0,No,2021-07-01 11:24:43.001508
Neuroethics | PHIL 353,Lecture Section 01,4978,30,30,0.0,No,2021-07-01 11:24:45.338281
"Politics, Philosophy, and Economics Capstone | PHIL 465",Lecture Section 01,6409,18,18,0.0,No,2021-07-01 11:24:47.666658
First-Year Seminar | PHIL 89S,SEM Section 05,7280,18,18,0.0,No,2021-07-01 17:46:49.855466
Introduction to Philosophy | PHIL 101,Lecture Section 01,4439,35,35,0.0,No,2021-07-01 17:46:52.224474
Introduction to Philosophy | PHIL 103S,SEM Section 01,4440,12,12,0.0,No,2021-07-01 17:46:54.599515
Introduction to Philosophy | PHIL 103S,SEM Section 02,4441,12,12,0.0,No,2021-07-01 17:46:56.954490
Introduction to Philosophy | PHIL 103S,SEM Section 03,4442,12,12,0.0,No,2021-07-01 17:46:59.318861
"Information, Society & Culture: Bass Connections Gateway | PHIL 110",Lecture Section 01,7419,40,40,0.0,No,2021-07-01 17:47:01.723363
Freedom and Moral Obligation | PHIL 124FS,SEM Section 01,4471,1,18,94.44444444444444,No,2021-07-01 17:47:04.077805
Logic | PHIL 150,Lecture Section 01,4443,12,12,0.0,No,2021-07-01 17:47:06.424978
Logic | PHIL 150,Lecture Section 02,4444,12,12,0.0,No,2021-07-01 17:47:08.781529
Logic | PHIL 150,Lecture Section 03,4445,12,12,0.0,No,2021-07-01 17:47:11.136922
History of Ancient Philosophy | PHIL 203,Lecture Section 01,4447,35,35,0.0,No,2021-07-01 17:47:13.480775
The modern canon: listening to neglected voices | PHIL 204,SEM Section 01,4451,18,18,0.0,No,2021-07-01 17:47:15.847862
Philosophy of Mind | PHIL 212,Lecture Section 01,4452,35,35,0.0,No,2021-07-01 17:47:18.202728
Introduction to Ethical Theory | PHIL 217,Lecture Section 01,4455,35,35,0.0,No,2021-07-01 17:47:20.567497
Medical Ethics | PHIL 218,Lecture Section 01,4456,35,35,0.0,No,2021-07-01 17:47:22.963591
Symbolic Logic | PHIL 250,Lecture Section 01,4449,18,18,0.0,No,2021-07-01 17:47:25.316041
Philosophy and Neuroscience | PHIL 252,Lecture Section 01,4466,35,35,0.0,No,2021-07-01 17:47:27.646218
Business Ethics: The Debate Over Corporate Social Responsibility | PHIL 270,Lecture Section 01,4463,15,15,0.0,No,2021-07-01 17:47:29.999189
Independent Study | PHIL 291,IND Section 01,10314,5,5,0.0,No,2021-07-01 17:47:32.413632
Independent Study | PHIL 291,IND Section 02,10315,5,5,0.0,No,2021-07-01 17:47:34.878981
Research Independent Study | PHIL 293,IND Section 01,10316,5,5,0.0,No,2021-07-01 17:47:37.374145
Research Independent Study | PHIL 293,IND Section 02,10317,5,5,0.0,No,2021-07-01 17:47:39.788701
Research Independent Study | PHIL 293,IND Section 03,10318,5,5,0.0,No,2021-07-01 17:47:42.202265
Philosophy of Biology | PHIL 314,Lecture Section 01,4461,40,40,0.0,No,2021-07-01 17:47:44.555619
Neuroethics | PHIL 353,Lecture Section 01,4978,30,30,0.0,No,2021-07-01 17:47:46.913543
"Politics, Philosophy, and Economics Capstone | PHIL 465",Lecture Section 01,6409,18,18,0.0,No,2021-07-01 17:47:49.255353
