Class Name,Section,Class Number,Open Seats,Total Seats,Percent,Reserved Seats,Timestamp
First-Year Seminar | PHYSEDU 89S,SEM Section 01,9661,15,15,0.0,No,2021-07-01 11:25:03.750197
Fusion Fitness | PHYSEDU 104,ACT Section 01,9665,20,20,0.0,No,2021-07-01 11:25:06.107506
Pilates Mat and Ball | PHYSEDU 105,ACT Section 01,9672,24,24,0.0,No,2021-07-01 11:25:08.463860
Advanced Pilates and Barre | PHYSEDU 106,ACT Section 01,9678,24,24,0.0,No,2021-07-01 11:25:10.801331
Running | PHYSEDU 112,ACT Section 01,9683,20,20,0.0,No,2021-07-01 11:25:13.134825
Weight Training | PHYSEDU 113,ACT Section 01,9650,20,20,0.0,No,2021-07-01 11:25:15.473666
Weight Training | PHYSEDU 113,ACT Section 02,9651,20,20,0.0,No,2021-07-01 11:25:17.807292
Weight Training for Women | PHYSEDU 116,ACT Section 01,9674,20,20,0.0,No,2021-07-01 11:25:20.121508
Weight Training for Women | PHYSEDU 116,ACT Section 02,9675,20,20,0.0,No,2021-07-01 11:25:22.440222
Fusion Fitness for Women | PHYSEDU 117,ACT Section 01,9670,24,24,0.0,No,2021-07-01 11:25:24.766999
Fusion Fitness for Women | PHYSEDU 117,ACT Section 02,9671,24,24,0.0,No,2021-07-01 11:25:27.193566
Basketball | PHYSEDU 122,ACT Section 01,9666,20,20,0.0,No,2021-07-01 11:25:29.661047
Fencing | PHYSEDU 124,ACT Section 01,9662,16,16,0.0,No,2021-07-01 11:25:31.995268
Beginning Golf | PHYSEDU 131,ACT Section 01,9652,16,16,0.0,No,2021-07-01 11:25:34.324047
Beginning Golf | PHYSEDU 131,ACT Section 02,9653,16,16,0.0,No,2021-07-01 11:25:36.633451
Intermediate Golf | PHYSEDU 132,ACT Section 01,9654,16,16,0.0,No,2021-07-01 11:25:38.957714
Intermediate Golf | PHYSEDU 132,ACT Section 02,9655,16,16,0.0,No,2021-07-01 11:25:41.283842
Intermediate Golf | PHYSEDU 132,ACT Section 03,9656,16,16,0.0,No,2021-07-01 11:25:43.613757
Advanced Golf | PHYSEDU 133,ACT Section 01,9657,16,16,0.0,No,2021-07-01 11:25:45.929278
Beginning Tennis | PHYSEDU 143,ACT Section 01,9658,18,18,0.0,No,2021-07-01 11:25:48.316853
Intermediate Tennis | PHYSEDU 144,ACT Section 01,9659,18,18,0.0,No,2021-07-01 11:25:50.638870
Intermediate Tennis | PHYSEDU 144,ACT Section 02,9660,18,18,0.0,No,2021-07-01 11:25:53.004130
Tai Chi | PHYSEDU 165,ACT Section 01,9673,20,20,0.0,No,2021-07-01 11:25:55.345536
Aikido: Japanese Sword and Staff | PHYSEDU 167,ACT Section 01,9676,20,20,0.0,No,2021-07-01 11:25:57.666121
Yoga | PHYSEDU 170,ACT Section 01,9663,24,24,0.0,No,2021-07-01 11:26:00.042640
Intermediate Yoga | PHYSEDU 171,ACT Section 01,9664,24,24,0.0,No,2021-07-01 11:26:02.354778
Yoga for First Years | PHYSEDU 173,ACT Section 01,9684,20,20,0.0,No,2021-07-01 11:26:04.671573
Athletic Yoga | PHYSEDU 174,ACT Section 01,9682,24,24,0.0,No,2021-07-01 11:26:06.975745
Diet and Nutrition | PHYSEDU 203,Lecture Section 01,9667,20,20,0.0,No,2021-07-01 11:26:09.286542
Exercise and Mental Health | PHYSEDU 207,Lecture Section 01,9681,20,20,0.0,No,2021-07-01 11:26:11.619264
Sports Media | PHYSEDU 212,Lecture Section 01,9677,20,20,0.0,No,2021-07-01 11:26:13.982716
Sports Leadership Development | PHYSEDU 225,Lecture Section 01,9679,20,20,0.0,No,2021-07-01 11:26:16.295995
Theory and Practice of Coaching | PHYSEDU 240,Lecture Section 01,9668,20,20,0.0,No,2021-07-01 11:26:18.615531
Psychology of Sport and Performance | PHYSEDU 241,Lecture Section 01,9669,20,20,0.0,No,2021-07-01 11:26:20.926692
