Class Name,Section,Class Number,Open Seats,Total Seats,Percent,Reserved Seats,Timestamp
"Self, Society and Art in Modern Hinduism | RELIGION 110",Lecture Section 01,7603,40,40,0.0,No,2021-07-01 17:49:42.331132
The New Testament | RELIGION 155,Lecture Section 01,7605,20,20,0.0,No,2021-07-01 17:49:44.736638
"Scripture: Judaism, Christianity, and Islam | RELIGION 156",Lecture Section 01,7662,60,60,0.0,No,2021-07-01 17:49:47.077483
"Silk Roads and China, Ancient and Medieval Transformations | RELIGION 181",Lecture Section 01,7004,30,30,0.0,No,2021-07-01 17:49:49.425933
Focus Program Seminars: Special Topics | RELIGION 190FS,SEM Section 01,7626,9,18,50.0,No,2021-07-01 17:49:51.789825
"Race, Film, and Religion | RELIGION 201",Lecture Section 01,7658,45,45,0.0,No,2021-07-01 17:49:54.115958
Clash of Civilizations: In the Heart of Europe | RELIGION 206FS,SEM Section 01,6624,0,18,100.0,No,2021-07-01 17:49:56.429224
Selected Sanskrit Readings | RELIGION 209,Lecture Section 01,7656,40,40,0.0,No,2021-07-01 17:49:58.757073
Indian Cinema & Social Change | RELIGION 221,Lecture Section 01,7676,40,40,0.0,No,2021-07-01 17:50:01.107222
The Turks: From Ottoman Empire to European Union | RELIGION 228,Lecture Section 01,6568,18,18,0.0,No,2021-07-01 17:50:03.453467
Jerusalem | RELIGION 230S,SEM Section 01,9228,15,15,0.0,No,2021-07-01 17:50:05.782266
Cross-Cultural Encounters | RELIGION 235S,SEM Section 01,7669,18,18,0.0,No,2021-07-01 17:50:08.112510
Religion in American Life | RELIGION 237,Lecture Section 01,7606,45,45,0.0,No,2021-07-01 17:50:10.469492
Christian Ethics and Modern Society | RELIGION 254,Lecture Section 01,7311,60,60,0.0,No,2021-07-01 17:50:12.812829
Four Funerals and a Wedding: Introduction to Chinese Religious Life | RELIGION 257,Lecture Section 01,7665,45,45,0.0,No,2021-07-01 17:50:15.151371
Harry Potter and Religion | RELIGION 266S,SEM Section 01,7661,18,18,0.0,No,2021-07-01 17:50:17.548099
Religion and Film | RELIGION 268,Lecture Section 01,7608,45,45,0.0,No,2021-07-01 17:50:19.954512
Independent Study | RELIGION 291,IND Section 01,7628,1,1,0.0,No,2021-07-01 17:50:22.341847
Independent Study | RELIGION 291,IND Section 02,7629,1,1,0.0,No,2021-07-01 17:50:24.702570
Independent Study | RELIGION 291,IND Section 03,7630,1,1,0.0,No,2021-07-01 17:50:27.104546
Independent Study | RELIGION 292,IND Section 01,7634,1,1,0.0,No,2021-07-01 17:50:29.491672
Independent Study | RELIGION 292,IND Section 02,7635,1,1,0.0,No,2021-07-01 17:50:31.907019
Independent Study | RELIGION 292,IND Section 03,7636,1,1,0.0,No,2021-07-01 17:50:34.346833
Research Independent Study | RELIGION 293,IND Section 01,7631,1,1,0.0,No,2021-07-01 17:50:36.916387
Research Independent Study | RELIGION 293,IND Section 02,7632,1,1,0.0,No,2021-07-01 17:50:39.295652
Research Independent Study | RELIGION 293,IND Section 03,7633,1,1,0.0,No,2021-07-01 17:50:41.623191
Research Independent Study | RELIGION 294,IND Section 01,7637,1,1,0.0,No,2021-07-01 17:50:43.964001
Research Independent Study | RELIGION 294,IND Section 02,7638,1,1,0.0,No,2021-07-01 17:50:46.331730
Research Independent Study | RELIGION 294,IND Section 03,7639,1,1,0.0,No,2021-07-01 17:50:48.732983
Asian Religion and Knowledge of the Other | RELIGION 318S,SEM Section 01,9812,18,18,0.0,No,2021-07-01 17:50:51.092531
Modern Buddhism in Asia and America | RELIGION 320S,SEM Section 01,7649,18,18,0.0,No,2021-07-01 17:50:53.535452
Islam in Asia | RELIGION 378S,SEM Section 01,6372,18,18,0.0,No,2021-07-01 17:50:55.857200
Muslim Ethics and Islamic Law: Issues and Debates | RELIGION 388S,SEM Section 01,7652,18,18,0.0,No,2021-07-01 17:50:58.188980
Independent Study | RELIGION 391,IND Section 01,7640,1,1,0.0,No,2021-07-01 17:51:00.521466
Independent Study | RELIGION 391,IND Section 02,7641,1,1,0.0,No,2021-07-01 17:51:02.917751
Independent Study | RELIGION 391,IND Section 03,7642,1,1,0.0,No,2021-07-01 17:51:05.291568
Independent Study | RELIGION 392,IND Section 01,7646,1,1,0.0,No,2021-07-01 17:51:07.636849
Independent Study | RELIGION 392,IND Section 02,7647,1,1,0.0,No,2021-07-01 17:51:10.116012
Independent Study | RELIGION 392,IND Section 03,7648,1,1,0.0,No,2021-07-01 17:51:12.506150
Research Independent Study | RELIGION 393,IND Section 01,7643,1,1,0.0,No,2021-07-01 17:51:14.849084
Research Independent Study | RELIGION 393,IND Section 02,7644,1,1,0.0,No,2021-07-01 17:51:17.197154
Research Independent Study | RELIGION 393,IND Section 03,7645,1,1,0.0,No,2021-07-01 17:51:19.557317
Honors Research | RELIGION 493,IND Section 01,7612,1,1,0.0,No,2021-07-01 17:51:21.907189
Honors Research | RELIGION 493,IND Section 02,7613,1,1,0.0,No,2021-07-01 17:51:24.232043
Honors Research | RELIGION 493,IND Section 03,7614,1,1,0.0,No,2021-07-01 17:51:26.636965
