Class Name,Section,Class Number,Open Seats,Total Seats,Percent,Reserved Seats,Timestamp
First Year Seminar in Romance Studies | ROMST 89S,SEM Section 01,9116,15,15,0.0,No,2021-07-01 17:53:03.286901
Topics in Romance Studies | ROMST 190S,SEM Section 03,10178,18,18,0.0,No,2021-07-01 17:53:05.682577
Clash of Civilizations: In the Heart of Europe | ROMST 204FS,SEM Section 01,6621,0,18,100.0,No,2021-07-01 17:53:08.051068
Italian Baroque Art | ROMST 256,Lecture Section 01,9142,12,12,0.0,No,2021-07-01 17:53:10.414745
Perspectives on the Amazon | ROMST 341S,SEM Section 01,5751,18,18,0.0,No,2021-07-01 17:53:12.794692
Perspectives on the Amazon Preceptorial | ROMST 341SP,PRC Section 01P,5755,18,18,0.0,No,2021-07-01 17:53:15.116717
"Food, Culture, and Society | ROMST 388S",SEM Section 01,5744,15,15,0.0,No,2021-07-01 17:53:17.464652
Special Topics in Romance Studies | ROMST 390S,SEM Section 03,7598,18,18,0.0,No,2021-07-01 17:53:19.824843
Independent Study | ROMST 391,IND Section 01,2140,1,1,0.0,No,2021-07-01 17:53:22.206329
Research Independent Study | ROMST 393,IND Section 01,2141,1,1,0.0,No,2021-07-01 17:53:24.538979
Research Independent Study | ROMST 393,IND Section 02,2142,1,1,0.0,No,2021-07-01 17:53:26.932730
Research Independent Study | ROMST 393,IND Section 03,2143,1,1,0.0,No,2021-07-01 17:53:29.257847
Research Independent Study | ROMST 393,IND Section 04,2144,1,1,0.0,No,2021-07-01 17:53:31.632027
Theories and Techniques of Teaching Foreign Languages | ROMST 451S,SEM Section 01,8683,10,10,0.0,No,2021-07-01 17:53:34.082668
Topics in Romance Studies | ROMST 490S,SEM Section 01,5650,18,18,0.0,No,2021-07-01 17:53:36.477564
Research Independent Study | ROMST 493,IND Section 01,2145,1,1,0.0,No,2021-07-01 17:53:38.793309
Research Independent Study | ROMST 493,IND Section 02,2146,1,1,0.0,No,2021-07-01 17:53:41.172341
Research Independent Study | ROMST 493,IND Section 03,2147,1,1,0.0,No,2021-07-01 17:53:43.502280
