Class Name,Section,Class Number,Open Seats,Total Seats,Percent,Reserved Seats,Timestamp
Elementary Russian I | RUSSIAN 101,Lecture Section 01,6351,20,20,0.0,No,2021-07-01 11:21:10.354272
Elementary Russian I | RUSSIAN 101,Lecture Section 02,6352,20,20,0.0,No,2021-07-01 11:21:12.816218
Intermediate Russian I | RUSSIAN 203,Lecture Section 01,6353,20,20,0.0,No,2021-07-01 11:21:15.307719
Directing | RUSSIAN 255S,SEM Section 01,8881,12,12,0.0,No,2021-07-01 11:21:17.689814
Literatures and Films of Pandemic | RUSSIAN 278S,SEM Section 01,6388,18,18,0.0,No,2021-07-01 11:21:20.076864
Topics in Russian Studies | RUSSIAN 290S,SEM Section 01,7597,18,18,0.0,No,2021-07-01 11:21:22.464637
Contemporary Russian Composition and Readings | RUSSIAN 301S,SEM Section 01,6354,15,15,0.0,No,2021-07-01 11:21:24.835032
The Devil in Russian Literature | RUSSIAN 314,Lecture Section 01,6369,30,30,0.0,No,2021-07-01 11:21:27.182444
Islam in Asia | RUSSIAN 370S,SEM Section 01,6373,18,18,0.0,No,2021-07-01 11:21:29.539067
Russian Fiction and Film | RUSSIAN 371S,SEM Section 01,6367,18,18,0.0,No,2021-07-01 11:21:31.918480
Advanced Russian | RUSSIAN 401,Lecture Section 01,6358,12,12,0.0,No,2021-07-01 11:21:34.349917
Soviet and Post-Soviet Economic History | RUSSIAN 407D,Lecture Section 001,6147,15,15,0.0,No,2021-07-01 11:21:36.744934
Soviet and Post-Soviet Economic History | RUSSIAN 407D,Discussion Section 01D,6148,15,15,0.0,No,2021-07-01 11:21:39.120430
Research Independent Study | RUSSIAN 493,IND Section 01,6355,1,1,0.0,No,2021-07-01 11:21:41.471564
Research Independent Study | RUSSIAN 493,IND Section 02,6356,1,1,0.0,No,2021-07-01 11:21:43.848815
Research Independent Study | RUSSIAN 493,IND Section 03,6357,1,1,0.0,No,2021-07-01 11:21:46.234890
Elementary Russian I | RUSSIAN 101,Lecture Section 01,6351,20,20,0.0,No,2021-07-01 17:44:39.430595
Elementary Russian I | RUSSIAN 101,Lecture Section 02,6352,20,20,0.0,No,2021-07-01 17:44:41.825430
Intermediate Russian I | RUSSIAN 203,Lecture Section 01,6353,20,20,0.0,No,2021-07-01 17:44:44.260307
Directing | RUSSIAN 255S,SEM Section 01,8881,12,12,0.0,No,2021-07-01 17:44:46.716411
Literatures and Films of Pandemic | RUSSIAN 278S,SEM Section 01,6388,18,18,0.0,No,2021-07-01 17:44:49.090960
Topics in Russian Studies | RUSSIAN 290S,SEM Section 01,7597,18,18,0.0,No,2021-07-01 17:44:51.410482
Contemporary Russian Composition and Readings | RUSSIAN 301S,SEM Section 01,6354,15,15,0.0,No,2021-07-01 17:44:53.742236
The Devil in Russian Literature | RUSSIAN 314,Lecture Section 01,6369,30,30,0.0,No,2021-07-01 17:44:56.076250
Islam in Asia | RUSSIAN 370S,SEM Section 01,6373,18,18,0.0,No,2021-07-01 17:44:58.439842
Russian Fiction and Film | RUSSIAN 371S,SEM Section 01,6367,18,18,0.0,No,2021-07-01 17:45:00.790359
Advanced Russian | RUSSIAN 401,Lecture Section 01,6358,12,12,0.0,No,2021-07-01 17:45:03.142845
Soviet and Post-Soviet Economic History | RUSSIAN 407D,Lecture Section 001,6147,15,15,0.0,No,2021-07-01 17:45:05.565029
Soviet and Post-Soviet Economic History | RUSSIAN 407D,Discussion Section 01D,6148,15,15,0.0,No,2021-07-01 17:45:07.942217
Research Independent Study | RUSSIAN 493,IND Section 01,6355,1,1,0.0,No,2021-07-01 17:45:10.609433
Research Independent Study | RUSSIAN 493,IND Section 02,6356,1,1,0.0,No,2021-07-01 17:45:13.274848
Research Independent Study | RUSSIAN 493,IND Section 03,6357,1,1,0.0,No,2021-07-01 17:45:15.617864
