Class Name,Section,Class Number,Open Seats,Total Seats,Percent,Reserved Seats,Timestamp
American Musicals | THEATRST 125S,SEM Section 01,8869,16,16,0.0,No,2021-07-01 11:22:05.626231
Acting | THEATRST 145S,SEM Section 01,8873,16,16,0.0,Yes,2021-07-01 11:22:08.141026
Acting | THEATRST 145S,SEM Section 02,8874,16,16,0.0,Yes,2021-07-01 11:22:10.830115
Acting | THEATRST 145S,SEM Section 03,8875,16,16,0.0,Yes,2021-07-01 11:22:13.365153
Acting | THEATRST 145S,SEM Section 04,8876,16,16,0.0,Yes,2021-07-01 11:22:15.782554
Acting | THEATRST 145S,SEM Section 05,8877,16,16,0.0,Yes,2021-07-01 11:22:18.182404
Reading Theater | THEATRST 187S,SEM Section 01,8907,16,16,0.0,No,2021-07-01 11:22:20.575725
"Performing Science: Experimentation, Collaboration, and Artistry | THEATRST 198FS",SEM Section 01,8912,1,18,94.44444444444444,No,2021-07-01 11:22:23.038395
Introduction to Performance Studies | THEATRST 202S,SEM Section 01,8902,16,16,0.0,No,2021-07-01 11:22:25.572158
Musical Theater Workshop: Performance | THEATRST 211,WRK Section 01,8884,16,16,0.0,No,2021-07-01 11:22:27.925414
Drama of Ancient Rome | THEATRST 227,Lecture Section 01,5132,30,30,0.0,No,2021-07-01 11:22:30.282598
Gender in Dance and Theatre | THEATRST 236,Lecture Section 01,5303,12,12,0.0,No,2021-07-01 11:22:32.655125
"Alexander Technique for Musicians, Dancers, and Actors | THEATRST 247",MUS Section 01,6902,12,12,0.0,No,2021-07-01 11:22:34.987980
The Art of Public Speaking: The Natural Voice | THEATRST 248S,SEM Section 01,8879,16,16,0.0,No,2021-07-01 11:22:37.366670
Directing | THEATRST 255S,SEM Section 01,8880,12,12,0.0,No,2021-07-01 11:22:39.693564
Costume Design | THEATRST 261S,SEM Section 01,8883,16,16,0.0,No,2021-07-01 11:22:42.017721
Acting For the Camera | THEATRST 275S,SEM Section 01,8887,16,16,0.0,No,2021-07-01 11:22:44.339411
Dramatic Writing | THEATRST 280S,SEM Section 01,8871,16,16,0.0,No,2021-07-01 11:22:46.685384
Ready for Prime Time: Writing the Dramatic TV Episode | THEATRST 285S,SEM Section 01,8898,16,16,0.0,No,2021-07-01 11:22:49.013641
Legal Issues for the Performing Arts | THEATRST 311S,SEM Section 01,8890,16,16,0.0,No,2021-07-01 11:22:51.371015
Shakespeare through 1600 | THEATRST 336,Lecture Section 01,7246,25,25,0.0,No,2021-07-01 11:22:53.964494
The Black Parades: African Diaspora Parade Culture and Radical Resistance | THEATRST 341S,SEM Section 01,5317,15,15,0.0,No,2021-07-01 11:22:56.330311
Advanced Acting: Contemporary Texts | THEATRST 345S,SEM Section 01,8878,16,16,0.0,No,2021-07-01 11:22:58.675662
Mainstage Acting (Top) | THEATRST 350-1,Lecture Section 01,8896,16,16,0.0,No,2021-07-01 11:23:01.003486
Mainstage Acting (Top) | THEATRST 350-1,Lecture Section 02,8897,16,16,0.0,No,2021-07-01 11:23:03.516626
History of Acting | THEATRST 402S,SEM Section 01,8908,16,16,0.0,No,2021-07-01 11:23:05.965725
American Musicals | THEATRST 125S,SEM Section 01,8869,16,16,0.0,No,2021-07-01 17:46:20.040669
Acting | THEATRST 145S,SEM Section 01,8873,16,16,0.0,Yes,2021-07-01 17:46:22.453738
Acting | THEATRST 145S,SEM Section 02,8874,16,16,0.0,Yes,2021-07-01 17:46:24.890578
Acting | THEATRST 145S,SEM Section 03,8875,16,16,0.0,Yes,2021-07-01 17:46:27.312814
Acting | THEATRST 145S,SEM Section 04,8876,16,16,0.0,Yes,2021-07-01 17:46:29.732013
Acting | THEATRST 145S,SEM Section 05,8877,16,16,0.0,Yes,2021-07-01 17:46:32.190292
Reading Theater | THEATRST 187S,SEM Section 01,8907,16,16,0.0,No,2021-07-01 17:46:34.903044
"Performing Science: Experimentation, Collaboration, and Artistry | THEATRST 198FS",SEM Section 01,8912,0,18,100.0,No,2021-07-01 17:46:37.642378
Introduction to Performance Studies | THEATRST 202S,SEM Section 01,8902,16,16,0.0,No,2021-07-01 17:46:40.048394
Musical Theater Workshop: Performance | THEATRST 211,WRK Section 01,8884,16,16,0.0,No,2021-07-01 17:46:42.426134
Drama of Ancient Rome | THEATRST 227,Lecture Section 01,5132,30,30,0.0,No,2021-07-01 17:46:44.785697
Gender in Dance and Theatre | THEATRST 236,Lecture Section 01,5303,12,12,0.0,No,2021-07-01 17:46:47.255501
