section_type,section_number,class_number,open_seats,total_seats,reserved,percent,timestamp
Lecture,01,6479,0,50,No,100,"2021-07-20 20:03:17.008671"
Lecture,01,6479,0,50,No,100,"2021-07-20 20:16:55.351975"
Lecture,001,6492,10,18,No,44.4444444444444,"2021-07-20 20:03:20.473297"
Lecture,002,6493,9,18,No,50,"2021-07-20 20:03:20.473366"
Lecture,003,6494,15,16,No,6.25,"2021-07-20 20:03:20.473386"
Discussion,01D,6495,10,18,No,44.4444444444444,"2021-07-20 20:03:20.473396"
Discussion,02D,6496,9,18,No,50,"2021-07-20 20:03:20.473407"
Discussion,03D,6497,15,16,No,6.25,"2021-07-20 20:03:20.473417"
Lecture,001,6498,8,12,No,33.3333333333333,"2021-07-20 20:03:20.473426"
Discussion,01D,6499,8,12,No,33.3333333333333,"2021-07-20 20:03:20.473437"
Lecture,001,6500,4,12,No,66.6666666666667,"2021-07-20 20:03:20.473446"
Lecture,002,6501,5,12,No,58.3333333333333,"2021-07-20 20:03:20.473462"
Discussion,01D,6502,4,12,No,66.6666666666667,"2021-07-20 20:03:20.473472"
Discussion,02D,6503,5,12,No,58.3333333333333,"2021-07-20 20:03:20.473480"
Lecture,01,6504,10,12,No,16.6666666666667,"2021-07-20 20:03:20.473486"
IND,01,2090,4,4,No,0,"2021-07-20 20:03:20.473491"
IND,02,2091,4,4,No,0,"2021-07-20 20:03:20.473495"
Lecture,01,6505,8,12,No,33.3333333333333,"2021-07-20 20:03:20.473503"
Lecture,001,6492,10,18,No,44.4444444444444,"2021-07-20 20:16:58.763307"
Lecture,002,6493,9,18,No,50,"2021-07-20 20:16:58.763440"
Lecture,003,6494,15,16,No,6.25,"2021-07-20 20:16:58.763473"
Discussion,01D,6495,10,18,No,44.4444444444444,"2021-07-20 20:16:58.763491"
Discussion,02D,6496,9,18,No,50,"2021-07-20 20:16:58.763518"
Discussion,03D,6497,15,16,No,6.25,"2021-07-20 20:16:58.763530"
Lecture,001,6498,8,12,No,33.3333333333333,"2021-07-20 20:16:58.763549"
Discussion,01D,6499,8,12,No,33.3333333333333,"2021-07-20 20:16:58.763561"
Lecture,001,6500,4,12,No,66.6666666666667,"2021-07-20 20:16:58.763602"
