course_name,catalog_num,topic,course_number
Discovering Game Theory: Social Complexity and Strategic Interdependence,DECSCI 201,-,6479
Discovering Game Theory: Social Complexity and Strategic Interdependence,DECSCI 201,-,6479
Elementary Arabic,ARABIC 101,-,6492
Elementary Arabic,ARABIC 101,-,6493
Elementary Arabic,ARABIC 101,-,6494
Elementary Arabic,ARABIC 101,-,6495
Elementary Arabic,ARABIC 101,-,6496
Elementary Arabic,ARABIC 101,-,6497
Elementary Arabic,ARABIC 102,-,6498
Elementary Arabic,ARABIC 102,-,6499
Intermediate Arabic,ARABIC 203,-,6500
Intermediate Arabic,ARABIC 203,-,6501
Intermediate Arabic,ARABIC 203,-,6502
Intermediate Arabic,ARABIC 203,-,6503
Advanced Arabic,ARABIC 305,-,6504
Independent Study,ARABIC 391,-,2090
Independent Study,ARABIC 391,-,2091
Issues in Arabic Language and Literature I,ARABIC 407,-,6505
Elementary Arabic,ARABIC 101,-,6492
Elementary Arabic,ARABIC 101,-,6493
Elementary Arabic,ARABIC 101,-,6494
Elementary Arabic,ARABIC 101,-,6495
Elementary Arabic,ARABIC 101,-,6496
Elementary Arabic,ARABIC 101,-,6497
Elementary Arabic,ARABIC 102,-,6498
Elementary Arabic,ARABIC 102,-,6499
Intermediate Arabic,ARABIC 203,-,6500
Intermediate Arabic,ARABIC 203,-,6501
Intermediate Arabic,ARABIC 203,-,6502
Intermediate Arabic,ARABIC 203,-,6503
Advanced Arabic,ARABIC 305,-,6504
Independent Study,ARABIC 391,-,2090
Independent Study,ARABIC 391,-,2091
Issues in Arabic Language and Literature I,ARABIC 407,-,6505
Traditions in Documentary Studies,DOCST 101,-,6646
The Documentary Experience: A Video Approach,DOCST 105S,-,6638
Documenting the Middle East: Community and Oral History,DOCST 106FS,-,8856
History of Documentary Film,DOCST 107,-,9022
Introduction to Oral History,DOCST 110S,-,6650
Introduction to Digital Photography,DOCST 119S,-,9133
Introduction to Audio Documentary,DOCST 135S,-,6656
US Youth Movements since 2010: Expanding Human Rights for All,DOCST 179FS,-,6692
Special Topics in Documentary Studies,DOCST 190S,BLACK SPACES MATTER,6677
Medicine and the Vision of Documentary Photography,DOCST 206S,-,6652
The Silent Film: An Introduction,DOCST 208S,-,9095
"Digital Documentary Photography: Education, Childhood, and Growth",DOCST 209FS,-,6682
"Digital Documentary Photography: Education, Childhood, and Growth",DOCST 209S,-,6661
"Global Stories, Local Issues",DOCST 223S,-,4190
Children's Self Expression: Literacy Through Photography,DOCST 224S,-,6641
Color Photography: Fieldwork and Digital Color,DOCST 236S,-,6658
The Photobook: History and Practice,DOCST 250S,-,9030
Introduction to Film Studies,DOCST 264,-,9452
Religion and Film,DOCST 268,-,7609
Documentary and Policy: How Documentary Influences Policy,DOCST 272S,-,6670
Docu-Poetry: Real Life Truths Outside and Inside the Poetic Narrative,DOCST 279S,-,6679
Cinematography,DOCST 281S,-,9059
Editing for Film and Video,DOCST 288S,-,9068
Special Topics in Documentary Studies,DOCST 290,"ENVIRONMENT IN LIT, LAW, & SCI",8199
Environmental Issues & the Documentary Arts,DOCST 315S,-,7769
Documenting Black Experiences,DOCST 350S,-,6665
Sound for Film and Video,DOCST 353S,-,8982
Magazine Journalism,DOCST 356S,-,5775
16mm Film Production,DOCST 357S,-,9063
Video Journalism,DOCST 367S,-,5773
The View Camera: Black and White Large Format Photography,DOCST 368S,-,6689
News as a Moral Battleground,DOCST 371,-,5782
Special Topics in Documentary Studies,DOCST 390S,THE ART OF PROFILE WRITING,10649
Capstone Seminar in Documentary Studies,DOCST 480S,-,6649
Traditions in Documentary Studies,DOCST 101,-,6646
The Documentary Experience: A Video Approach,DOCST 105S,-,6638
