Class Name,Section,Class Number,Open Seats,Total Seats,Percent,Timestamp
Buddhism | AMES 114,Lecture Section 01,7249,8,20,60.0,2021-06-27 17:18:35.682860
Islamic Civilization I | AMES 122,Lecture Section 01,7272,34,45,24.444444444444443,2021-06-27 17:18:38.069032
Understanding the Qur'an | AMES 126S,SEM Section 01,7266,12,18,33.33333333333333,2021-06-27 17:18:40.511131
China from Antiquity to 1400 | AMES 136,Lecture Section 01,7096,21,35,40.0,2021-06-27 17:18:42.949374
History of Chinese Medicine | AMES 142,Lecture Section 01,7102,1,40,97.5,2021-06-27 17:18:45.382451
"Anime: Origins, Forms, Mutations | AMES 162",Lecture Section 01,6550,5,45,88.88888888888889,2021-06-27 17:18:47.809506
The Emergence of Modern Japan | AMES 169,Lecture Section 01,7099,15,25,40.0,2021-06-27 17:18:50.170349
Asian American Theatre | AMES 182S,SEM Section 01,7858,1,8,87.5,2021-06-27 17:18:52.518097
Asian American Theatre | AMES 182S,SEM Section 02,11378,0,8,100.0,2021-06-27 17:18:54.900047
Gateway Seminar: Civil Rights and Asian Americans | AMES 187S,SEM Section 01,7088,3,18,83.33333333333334,2021-06-27 17:18:57.230889
Special Topics in Asian & Middle Eastern Studies | AMES 190S,SEM Section 02,6552,1,18,94.44444444444444,2021-06-27 17:18:59.590518
"Arab Cultures: Literature, Politics, History | AMES 210",Lecture Section 01,6553,17,21,19.047619047619047,2021-06-27 17:19:01.930331
Muhammad: The Prophet of Islam | AMES 223S,SEM Section 01,7726,8,18,55.55555555555556,2021-06-27 17:19:04.255050
Dance and Dance Theater of Asia | AMES 246,Lecture Section 01,5746,0,10,100.0,2021-06-27 17:19:06.582229
Religion and the Novel in Modern India | AMES 255,Lecture Section 01,7253,27,45,40.0,2021-06-27 17:19:08.916872
The Transnational Realities of an Ancient Tradition | AMES 265,Lecture Section 01,11216,41,45,8.88888888888889,2021-06-27 17:19:11.274696
Spiritual But Not Religious | AMES 267,Lecture Section 01,11215,36,45,20.0,2021-06-27 17:19:13.627104
Voices in Global Health: Mandarin Tutorial | AMES 270T-5,TUT Section 01,10410,0,8,100.0,2021-06-27 17:19:16.011576
Introduction to Asian American and Diaspora Studies | AMES 276S,SEM Section 01,7749,0,12,100.0,2021-06-27 17:19:18.465102
"Istanbul: Religion, Politics and Cosmopolitanism | AMES 283S",SEM Section 01,6555,12,15,20.0,2021-06-27 17:19:20.789618
Special Topics in Asian and Middle Eastern Studies | AMES 290S,SEM Section 01,6556,15,18,16.666666666666664,2021-06-27 17:19:23.115818
Turkish History through the Novels of Orhan Pamuk | AMES 296S,SEM Section 01,6557,15,18,16.666666666666664,2021-06-27 17:19:25.442756
"Africa and Arabia: Cultures, Communities, and Connections | AMES 304",Lecture Section 01,6558,7,12,41.66666666666667,2021-06-27 17:19:27.779511
"Africa and Arabia: Cultures, Communities, and Connections | AMES 304",Lecture Section 02,6559,1,6,83.33333333333334,2021-06-27 17:19:30.109515
Acquisition of Japanese as a Second Language | AMES 310S,SEM Section 01,6560,4,12,66.66666666666666,2021-06-27 17:19:32.489947
Social Movements and Social Media | AMES 318S,SEM Section 01,6165,0,18,100.0,2021-06-27 17:19:34.814658
"Muslim Philosophy and Theology, an introduction | AMES 324S",SEM Section 01,7268,14,18,22.22222222222222,2021-06-27 17:19:37.135429
Islamic Media | AMES 329S,SEM Section 01,6561,9,14,35.714285714285715,2021-06-27 17:19:39.443991
Islamic Media | AMES 329S,SEM Section 02,11546,4,4,0.0,2021-06-27 17:19:41.800811
Chinese science fiction | AMES 336,Lecture Section 01,7728,12,22,45.45454545454545,2021-06-27 17:19:44.099248
"Hinduism and Judaism: Culture, Religion, and Identity | AMES 349S",SEM Section 01,7252,4,18,77.77777777777779,2021-06-27 17:19:46.405994
Modern & Global India | AMES 357,Lecture Section 01,7094,2,18,88.88888888888889,2021-06-27 17:19:48.714800
Modern & Global India | AMES 357,Lecture Section 02,11932,0,2,100.0,2021-06-27 17:19:51.062467
Violent Jihad in the Twentieth Century - A Global History | AMES 359,Lecture Section 01,7133,23,60,61.66666666666667,2021-06-27 17:19:53.369984
"Tibetan Buddhism: Culture, Ethics, Philosophy and Practice | AMES 386S",SEM Section 01,7265,15,18,16.666666666666664,2021-06-27 17:19:55.676402
Global South Asia: History and Culture of Diaspora | AMES 388S,SEM Section 01,10534,2,15,86.66666666666667,2021-06-27 17:19:58.025557
Special Topics | AMES 390S,SEM Section 01,6562,17,18,5.555555555555555,2021-06-27 17:20:00.349672
Independent Study | AMES 391,IND Section 01,10228,4,4,0.0,2021-06-27 17:20:02.724981
Independent Study | AMES 391,IND Section 02,10229,4,4,0.0,2021-06-27 17:20:05.062096
Independent Study | AMES 391,IND Section 03,10230,4,4,0.0,2021-06-27 17:20:07.492754
France-Asia: Cultural Transfers and Translations in a Globalized Context | AMES 426S,SEM Section 01,9506,2,18,88.88888888888889,2021-06-27 17:20:09.837556
"Storyworlds: The Art, Technology, and Pleasure of Narrative | AMES 432S",SEM Section 01,6563,0,18,100.0,2021-06-27 17:20:12.165147
Chinese Culture and Ideology in the 20th Century and Now | AMES 456S,SEM Section 01,6564,1,18,94.44444444444444,2021-06-27 17:20:14.506515
Research Independent Study | AMES 493,IND Section 01,10231,4,4,0.0,2021-06-27 17:20:16.841660
Research Independent Study | AMES 493,IND Section 02,10232,3,4,25.0,2021-06-27 17:20:19.176345
Research Independent Study | AMES 493,IND Section 03,10233,4,4,0.0,2021-06-27 17:20:21.502503
Research Independent Study | AMES 493,IND Section 04,10234,4,4,0.0,2021-06-27 17:20:23.853793
Research Independent Study | AMES 493,IND Section 05,10235,4,4,0.0,2021-06-27 17:20:26.184294
Collaborative Research Projects | AMES 495,IND Section 01,10236,5,5,0.0,2021-06-27 17:20:28.600423
Collaborative Research Projects | AMES 495,IND Section 02,10237,5,5,0.0,2021-06-27 17:20:31.045867
Collaborative Research Projects | AMES 495,IND Section 03,10238,5,5,0.0,2021-06-27 17:20:33.406596
Collaborative Research Projects | AMES 495,IND Section 04,10239,5,5,0.0,2021-06-27 17:20:35.759645
Collaborative Research Projects | AMES 495,IND Section 05,10240,5,5,0.0,2021-06-27 17:20:38.120401
Senior Honors Thesis Seminar | AMES 499S,SEM Section 01,6565,10,12,16.666666666666664,2021-06-27 17:20:40.423698
Buddhism | AMES 114,Lecture Section 01,7249,8,20,60.0,2021-06-27 18:13:16.572511
Islamic Civilization I | AMES 122,Lecture Section 01,7272,34,45,24.444444444444443,2021-06-27 18:13:19.081681
Understanding the Qur'an | AMES 126S,SEM Section 01,7266,12,18,33.33333333333333,2021-06-27 18:13:21.497713
China from Antiquity to 1400 | AMES 136,Lecture Section 01,7096,21,35,40.0,2021-06-27 18:13:23.944367
History of Chinese Medicine | AMES 142,Lecture Section 01,7102,1,40,97.5,2021-06-27 18:13:26.348816
"Anime: Origins, Forms, Mutations | AMES 162",Lecture Section 01,6550,5,45,88.88888888888889,2021-06-27 18:13:28.755418
The Emergence of Modern Japan | AMES 169,Lecture Section 01,7099,15,25,40.0,2021-06-27 18:13:31.127489
Asian American Theatre | AMES 182S,SEM Section 01,7858,1,8,87.5,2021-06-27 18:13:33.470781
Asian American Theatre | AMES 182S,SEM Section 02,11378,0,8,100.0,2021-06-27 18:13:35.872811
Gateway Seminar: Civil Rights and Asian Americans | AMES 187S,SEM Section 01,7088,3,18,83.33333333333334,2021-06-27 18:13:38.232969
Special Topics in Asian & Middle Eastern Studies | AMES 190S,SEM Section 02,6552,1,18,94.44444444444444,2021-06-27 18:13:40.664538
"Arab Cultures: Literature, Politics, History | AMES 210",Lecture Section 01,6553,17,21,19.047619047619047,2021-06-27 18:13:43.096606
Muhammad: The Prophet of Islam | AMES 223S,SEM Section 01,7726,8,18,55.55555555555556,2021-06-27 18:13:45.437634
Dance and Dance Theater of Asia | AMES 246,Lecture Section 01,5746,0,10,100.0,2021-06-27 18:13:47.785244
Religion and the Novel in Modern India | AMES 255,Lecture Section 01,7253,27,45,40.0,2021-06-27 18:13:50.144076
The Transnational Realities of an Ancient Tradition | AMES 265,Lecture Section 01,11216,41,45,8.88888888888889,2021-06-27 18:13:52.535067
Spiritual But Not Religious | AMES 267,Lecture Section 01,11215,36,45,20.0,2021-06-27 18:13:54.991756
Voices in Global Health: Mandarin Tutorial | AMES 270T-5,TUT Section 01,10410,0,8,100.0,2021-06-27 18:13:57.417278
Introduction to Asian American and Diaspora Studies | AMES 276S,SEM Section 01,7749,0,12,100.0,2021-06-27 18:13:59.752105
"Istanbul: Religion, Politics and Cosmopolitanism | AMES 283S",SEM Section 01,6555,12,15,20.0,2021-06-27 18:14:02.087971
Special Topics in Asian and Middle Eastern Studies | AMES 290S,SEM Section 01,6556,15,18,16.666666666666664,2021-06-27 18:14:04.434181
Turkish History through the Novels of Orhan Pamuk | AMES 296S,SEM Section 01,6557,15,18,16.666666666666664,2021-06-27 18:14:06.863837
"Africa and Arabia: Cultures, Communities, and Connections | AMES 304",Lecture Section 01,6558,7,12,41.66666666666667,2021-06-27 18:14:09.197153
"Africa and Arabia: Cultures, Communities, and Connections | AMES 304",Lecture Section 02,6559,1,6,83.33333333333334,2021-06-27 18:14:11.526314
Acquisition of Japanese as a Second Language | AMES 310S,SEM Section 01,6560,4,12,66.66666666666666,2021-06-27 18:14:13.837449
Social Movements and Social Media | AMES 318S,SEM Section 01,6165,0,18,100.0,2021-06-27 18:14:16.149165
"Muslim Philosophy and Theology, an introduction | AMES 324S",SEM Section 01,7268,14,18,22.22222222222222,2021-06-27 18:14:18.452228
Islamic Media | AMES 329S,SEM Section 01,6561,9,14,35.714285714285715,2021-06-27 18:14:20.854532
Islamic Media | AMES 329S,SEM Section 02,11546,4,4,0.0,2021-06-27 18:14:23.236663
Chinese science fiction | AMES 336,Lecture Section 01,7728,12,22,45.45454545454545,2021-06-27 18:14:25.581926
"Hinduism and Judaism: Culture, Religion, and Identity | AMES 349S",SEM Section 01,7252,4,18,77.77777777777779,2021-06-27 18:14:27.892446
Modern & Global India | AMES 357,Lecture Section 01,7094,2,18,88.88888888888889,2021-06-27 18:14:30.196473
Modern & Global India | AMES 357,Lecture Section 02,11932,0,2,100.0,2021-06-27 18:14:32.548807
Violent Jihad in the Twentieth Century - A Global History | AMES 359,Lecture Section 01,7133,23,60,61.66666666666667,2021-06-27 18:14:34.867637
"Tibetan Buddhism: Culture, Ethics, Philosophy and Practice | AMES 386S",SEM Section 01,7265,15,18,16.666666666666664,2021-06-27 18:14:37.169227
Global South Asia: History and Culture of Diaspora | AMES 388S,SEM Section 01,10534,2,15,86.66666666666667,2021-06-27 18:14:39.519627
Special Topics | AMES 390S,SEM Section 01,6562,17,18,5.555555555555555,2021-06-27 18:14:41.826732
Independent Study | AMES 391,IND Section 01,10228,4,4,0.0,2021-06-27 18:14:44.166325
Independent Study | AMES 391,IND Section 02,10229,4,4,0.0,2021-06-27 18:14:46.521789
Independent Study | AMES 391,IND Section 03,10230,4,4,0.0,2021-06-27 18:14:48.968670
France-Asia: Cultural Transfers and Translations in a Globalized Context | AMES 426S,SEM Section 01,9506,2,18,88.88888888888889,2021-06-27 18:14:51.277971
"Storyworlds: The Art, Technology, and Pleasure of Narrative | AMES 432S",SEM Section 01,6563,0,18,100.0,2021-06-27 18:14:53.640675
