Class Name,Section,Class Number,Open Seats,Total Seats,Percent,Timestamp
First-Year Seminar | ARTHIST 89S,SEM Section 01,4063,1,15,93.33333333333333,2021-06-27 17:16:20.875453
Introduction to World Art History from 1200 to the Present | ARTHIST 102D,Lecture Section 001,3340,0,18,100.0,2021-06-27 17:16:23.357554
Introduction to World Art History from 1200 to the Present | ARTHIST 102D,Discussion Section 01D,3341,0,18,100.0,2021-06-27 17:16:25.816322
Introduction to the History of Architecture | ARTHIST 103D,Lecture Section 001,3342,15,25,40.0,2021-06-27 17:16:28.288910
Introduction to the History of Architecture | ARTHIST 103D,Discussion Section 02D,3344,15,25,40.0,2021-06-27 17:16:30.780156
Seven Wonders: Monuments and Cultures of the Ancient Mediterranean | ARTHIST 139,Lecture Section 01,7712,10,24,58.333333333333336,2021-06-27 17:16:33.238146
Special Topics in Art History | ARTHIST 190S,SEM Section 01,3345,8,15,46.666666666666664,2021-06-27 17:16:35.690626
History and Theory of Curatorial Practice | ARTHIST 222S,SEM Section 01,3347,6,18,66.66666666666666,2021-06-27 17:16:38.045421
Gothic Cathedrals | ARTHIST 225,Lecture Section 001,3348,2,20,90.0,2021-06-27 17:16:40.389874
Gothic Cathedrals | ARTHIST 225,Laboratory Section 01L,3349,2,20,90.0,2021-06-27 17:16:42.731461
Science Fiction Film | ARTHIST 238,Lecture Section 01,5680,0,30,100.0,2021-06-27 17:16:45.091188
Art in Renaissance Italy | ARTHIST 255,Lecture Section 01,3350,2,18,88.88888888888889,2021-06-27 17:16:47.433807
Independent Study | ARTHIST 291,IND Section 01,3351,3,3,0.0,2021-06-27 17:16:49.766225
Independent Study | ARTHIST 291,IND Section 02,3352,3,3,0.0,2021-06-27 17:16:52.134535
Independent Study | ARTHIST 291,IND Section 03,3353,3,3,0.0,2021-06-27 17:16:54.522621
Museum Practicum I | ARTHIST 310,FLD Section 01,3354,2,10,80.0,2021-06-27 17:16:56.957366
Museum Practicum II | ARTHIST 311,FLD Section 01,3355,4,10,60.0,2021-06-27 17:16:59.298332
Pilgrimage and Tourism | ARTHIST 336,Lecture Section 01,3356,6,20,70.0,2021-06-27 17:17:01.635244
"Visualizing Cities: Representing Urban Landscapes, Cultures, and Environments | ARTHIST 382",Lecture Section 01,11149,9,25,64.0,2021-06-27 17:17:03.978678
Art of the United States | ARTHIST 384,Lecture Section 01,3357,13,25,48.0,2021-06-27 17:17:06.316501
Independent Study | ARTHIST 391,IND Section 01,3358,3,3,0.0,2021-06-27 17:17:08.634198
Independent Study | ARTHIST 391,IND Section 02,3359,3,3,0.0,2021-06-27 17:17:11.014597
Independent Study | ARTHIST 391,IND Section 03,3360,3,3,0.0,2021-06-27 17:17:13.350203
From the Art of the Pleasure Quarters to Tokyo Pop | ARTHIST 432S,SEM Section 01,3361,6,18,66.66666666666666,2021-06-27 17:17:15.683861
Special Topics | ARTHIST 490S,SEM Section 01,3362,7,18,61.111111111111114,2021-06-27 17:17:18.020052
Independent Study | ARTHIST 491,IND Section 01,3363,3,3,0.0,2021-06-27 17:17:20.338370
Independent Study | ARTHIST 491,IND Section 02,3364,2,3,33.33333333333333,2021-06-27 17:17:22.664126
Independent Study | ARTHIST 491,IND Section 03,3365,3,3,0.0,2021-06-27 17:17:24.989033
Independent Study | ARTHIST 492,IND Section 01,3366,3,3,0.0,2021-06-27 17:17:27.359723
Independent Study | ARTHIST 492,IND Section 02,3367,3,3,0.0,2021-06-27 17:17:29.677865
Independent Study | ARTHIST 492,IND Section 03,3368,3,3,0.0,2021-06-27 17:17:32.002626
Research Independent Study | ARTHIST 493,IND Section 01,3369,2,3,33.33333333333333,2021-06-27 17:17:34.317995
Research Independent Study | ARTHIST 493,IND Section 02,3370,2,3,33.33333333333333,2021-06-27 17:17:36.627780
Research Independent Study | ARTHIST 493,IND Section 03,3371,3,3,0.0,2021-06-27 17:17:38.935863
Research Independent Study | ARTHIST 494,IND Section 01,3372,3,3,0.0,2021-06-27 17:17:41.266288
Research Independent Study | ARTHIST 494,IND Section 02,3373,3,3,0.0,2021-06-27 17:17:43.567569
Research Independent Study | ARTHIST 494,IND Section 03,3374,3,3,0.0,2021-06-27 17:17:45.869994
Honors Thesis Workshop | ARTHIST 495S,SEM Section 01,3375,9,15,40.0,2021-06-27 17:17:48.181394
First-Year Seminar | ARTHIST 89S,SEM Section 01,4063,1,15,93.33333333333333,2021-06-27 18:11:00.493254
Introduction to World Art History from 1200 to the Present | ARTHIST 102D,Lecture Section 001,3340,0,18,100.0,2021-06-27 18:11:02.921266
Introduction to World Art History from 1200 to the Present | ARTHIST 102D,Discussion Section 01D,3341,0,18,100.0,2021-06-27 18:11:05.340621
Introduction to the History of Architecture | ARTHIST 103D,Lecture Section 001,3342,15,25,40.0,2021-06-27 18:11:07.703718
Introduction to the History of Architecture | ARTHIST 103D,Discussion Section 02D,3344,15,25,40.0,2021-06-27 18:11:10.133413
Seven Wonders: Monuments and Cultures of the Ancient Mediterranean | ARTHIST 139,Lecture Section 01,7712,10,24,58.333333333333336,2021-06-27 18:11:12.474178
Special Topics in Art History | ARTHIST 190S,SEM Section 01,3345,8,15,46.666666666666664,2021-06-27 18:11:14.819372
History and Theory of Curatorial Practice | ARTHIST 222S,SEM Section 01,3347,6,18,66.66666666666666,2021-06-27 18:11:17.214476
Gothic Cathedrals | ARTHIST 225,Lecture Section 001,3348,2,20,90.0,2021-06-27 18:11:19.583435
Gothic Cathedrals | ARTHIST 225,Laboratory Section 01L,3349,2,20,90.0,2021-06-27 18:11:21.925291
Science Fiction Film | ARTHIST 238,Lecture Section 01,5680,0,30,100.0,2021-06-27 18:11:24.307281
Art in Renaissance Italy | ARTHIST 255,Lecture Section 01,3350,2,18,88.88888888888889,2021-06-27 18:11:26.669888
Independent Study | ARTHIST 291,IND Section 01,3351,3,3,0.0,2021-06-27 18:11:29.016550
Independent Study | ARTHIST 291,IND Section 02,3352,3,3,0.0,2021-06-27 18:11:31.347259
Independent Study | ARTHIST 291,IND Section 03,3353,3,3,0.0,2021-06-27 18:11:33.720928
Museum Practicum I | ARTHIST 310,FLD Section 01,3354,2,10,80.0,2021-06-27 18:11:36.052249
Museum Practicum II | ARTHIST 311,FLD Section 01,3355,4,10,60.0,2021-06-27 18:11:38.381158
Pilgrimage and Tourism | ARTHIST 336,Lecture Section 01,3356,6,20,70.0,2021-06-27 18:11:40.722164
"Visualizing Cities: Representing Urban Landscapes, Cultures, and Environments | ARTHIST 382",Lecture Section 01,11149,9,25,64.0,2021-06-27 18:11:43.125147
Art of the United States | ARTHIST 384,Lecture Section 01,3357,13,25,48.0,2021-06-27 18:11:45.439664
Independent Study | ARTHIST 391,IND Section 01,3358,3,3,0.0,2021-06-27 18:11:47.769800
Independent Study | ARTHIST 391,IND Section 02,3359,3,3,0.0,2021-06-27 18:11:50.131565
Independent Study | ARTHIST 391,IND Section 03,3360,3,3,0.0,2021-06-27 18:11:52.550163
