Class Name,Section,Class Number,Open Seats,Total Seats,Percent,Timestamp
Fundamentals of Art and Design | ARTSVIS 107L,Laboratory Section 01L,3395,4,15,73.33333333333333,2021-06-27 17:18:06.113044
Introduction to Black and White Photography | ARTSVIS 115S,SEM Section 01,3123,1,12,91.66666666666666,2021-06-27 17:18:08.653542
Introduction to Digital Photography | ARTSVIS 119S,SEM Section 01,3396,0,12,100.0,2021-06-27 17:18:11.129641
Introduction to Digital Photography | ARTSVIS 119S,SEM Section 02,3397,0,12,100.0,2021-06-27 17:18:13.651075
Introduction to Digital Photography | ARTSVIS 119S,SEM Section 03,11563,0,12,100.0,2021-06-27 17:18:16.315517
Experimental Sculpture and Installation Art | ARTSVIS 135,Lecture Section 01,3398,0,14,100.0,2021-06-27 17:18:18.749168
Experimental Interface Design | ARTSVIS 198,Lecture Section 01,3534,7,20,65.0,2021-06-27 17:18:21.233294
Drawing | ARTSVIS 199,Lecture Section 02,11227,0,8,100.0,2021-06-27 17:18:23.893551
Drawing | ARTSVIS 199,Lecture Section 03,11925,1,8,87.5,2021-06-27 17:18:26.590907
Intermediate Drawing | ARTSVIS 205,Lecture Section 01,3400,0,12,100.0,2021-06-27 17:18:29.129481
"Comics and Zines: History, Theory, and Practice | ARTSVIS 207S",SEM Section 01,7729,0,8,100.0,2021-06-27 17:18:31.866036
The Silent Film: An Introduction | ARTSVIS 208S,SEM Section 01,3536,1,12,91.66666666666666,2021-06-27 17:18:34.377039
3D Modeling and Animation | ARTSVIS 209,Lecture Section 01,3401,4,15,73.33333333333333,2021-06-27 17:18:36.854038
Sculpture | ARTSVIS 210,Lecture Section 01,3402,0,8,100.0,2021-06-27 17:18:39.267545
Intermediate Sculpture | ARTSVIS 211,Lecture Section 01,3403,2,4,50.0,2021-06-27 17:18:41.655067
Intermediate Painting | ARTSVIS 220,Lecture Section 01,3404,0,6,100.0,2021-06-27 17:18:44.020459
Experimental Filmmaking | ARTSVIS 229S,SEM Section 01,3540,0,11,100.0,2021-06-27 17:18:46.397114
Small Town USA: Local Collaborations | ARTSVIS 232S,SEM Section 01,3133,1,15,93.33333333333333,2021-06-27 17:18:48.768777
Scene Design | ARTSVIS 234S,SEM Section 01,7859,7,11,36.36363636363637,2021-06-27 17:18:51.149496
Digital Printmaking: Exploring Photo Silkscreen and Photoshop | ARTSVIS 238,Lecture Section 01,3405,0,8,100.0,2021-06-27 17:18:53.634179
Interactive Graphics: Critical Code | ARTSVIS 242L,Lecture Section 001,7757,0,20,100.0,2021-06-27 17:18:55.995714
