Class Name,Section,Class Number,Open Seats,Total Seats,Percent,Timestamp
Introductory Biochemistry I: Intermediary Metabolism | BIOCHEM 301,Lecture Section 01,10556,41,250,83.6,2021-06-27 17:20:14.902476
Introductory Biochemistry I: Intermediary Metabolism | BIOCHEM 301,Lecture Section 02,11297,20,30,33.33333333333333,2021-06-27 17:20:17.346686
Introductory Biochemistry II | BIOCHEM 302,Lecture Section 001,10557,57,75,24.0,2021-06-27 17:20:19.727913
Introductory Biochemistry II | BIOCHEM 302,Lecture Section 002,11381,5,5,0.0,2021-06-27 17:20:22.110602
Introductory Biochemistry II | BIOCHEM 302,REC Section 01R,10558,57,75,24.0,2021-06-27 17:20:24.492060
Introductory Biochemistry II | BIOCHEM 302,REC Section 02R,11382,5,5,0.0,2021-06-27 17:20:26.899249
Research Independent Study | BIOCHEM 393,IND Section 01,10559,6,6,0.0,2021-06-27 17:20:29.270662
Research Independent Study | BIOCHEM 393,IND Section 02,10560,3,3,0.0,2021-06-27 17:20:31.677002
Research Independent Study | BIOCHEM 393,IND Section 03,10561,3,3,0.0,2021-06-27 17:20:34.045862
Research Independent Study | BIOCHEM 393,IND Section 04,10562,3,3,0.0,2021-06-27 17:20:36.416281
Research Independent Study | BIOCHEM 393,IND Section 05,10563,3,3,0.0,2021-06-27 17:20:38.866009
Research Independent Study | BIOCHEM 393,IND Section 06,10564,2,3,33.33333333333333,2021-06-27 17:20:41.295044
Research Independent Study | BIOCHEM 393,IND Section 07,10565,3,3,0.0,2021-06-27 17:20:43.660538
Research Independent Study | BIOCHEM 393,IND Section 08,10566,3,3,0.0,2021-06-27 17:20:48.427481
Research Independent Study | BIOCHEM 393,IND Section 09,10567,3,3,0.0,2021-06-27 17:20:51.396030
Research Independent Study | BIOCHEM 393,IND Section 10,10568,3,3,0.0,2021-06-27 17:20:53.880312
Research Independent Study | BIOCHEM 393,IND Section 11,10569,2,3,33.33333333333333,2021-06-27 17:20:56.377479
Research Independent Study | BIOCHEM 393,IND Section 12,10570,3,3,0.0,2021-06-27 17:20:58.990115
Research Independent Study | BIOCHEM 393,IND Section 13,10571,3,3,0.0,2021-06-27 17:21:01.535304
Research Independent Study | BIOCHEM 393,IND Section 14,10572,2,3,33.33333333333333,2021-06-27 17:21:04.031224
Research Independent Study | BIOCHEM 393,IND Section 15,10573,3,3,0.0,2021-06-27 17:21:06.583465
Research Independent Study | BIOCHEM 393,IND Section 16,10574,3,3,0.0,2021-06-27 17:21:08.979937
Research Independent Study | BIOCHEM 393,IND Section 17,10575,3,3,0.0,2021-06-27 17:21:11.396953
Research Independent Study | BIOCHEM 393,IND Section 18,10576,3,3,0.0,2021-06-27 17:21:13.808385
Research Independent Study | BIOCHEM 393,IND Section 19,10577,3,3,0.0,2021-06-27 17:21:16.218881
Research Independent Study | BIOCHEM 393,IND Section 20,10578,3,3,0.0,2021-06-27 17:21:18.584099
Research Independent Study | BIOCHEM 393,IND Section 21,10579,3,3,0.0,2021-06-27 17:21:21.008997
Research Independent Study | BIOCHEM 393,IND Section 22,10580,3,3,0.0,2021-06-27 17:21:23.411124
