Class Name,Section,Class Number,Open Seats,Total Seats,Percent,Timestamp
Biomaterials | BME 221L,Lecture Section 001,8422,3,30,90.0,2021-06-27 17:24:39.577029
Biomaterials | BME 221L,Laboratory Section 01L,8423,0,10,100.0,2021-06-27 17:24:42.084674
Biomaterials | BME 221L,Laboratory Section 02L,8424,0,10,100.0,2021-06-27 17:24:44.440618
Biomaterials | BME 221L,Laboratory Section 03L,11437,3,10,70.0,2021-06-27 17:24:46.868700
Global Women's Health Technologies | BME 230L,Lecture Section 001,8425,13,21,38.095238095238095,2021-06-27 17:24:49.357818
Global Women's Health Technologies | BME 230L,Laboratory Section 01L,8426,13,21,38.095238095238095,2021-06-27 17:24:51.910535
Quantitative Physiology with Biostatistical Applications | BME 244L,Lecture Section 001,8427,11,40,72.5,2021-06-27 17:24:54.354248
Quantitative Physiology with Biostatistical Applications | BME 244L9,Laboratory Section 01L,8428,1,20,95.0,2021-06-27 17:24:56.782188
Quantitative Physiology with Biostatistical Applications | BME 244L9,Laboratory Section 02L,8429,10,20,50.0,2021-06-27 17:24:59.151150
Modeling Cellular and Molecular Systems | BME 260L,Lecture Section 001,8430,2,30,93.33333333333333,2021-06-27 17:25:01.603570
Modeling Cellular and Molecular Systems | BME 260L,Lecture Section 002,8431,0,30,100.0,2021-06-27 17:25:03.964848
Modeling Cellular and Molecular Systems | BME 260L,Lecture Section 003,11200,0,5,100.0,2021-06-27 17:25:06.399364
Modeling Cellular and Molecular Systems | BME 260L,Laboratory Section 01L,8432,9,30,70.0,2021-06-27 17:25:08.798578
Modeling Cellular and Molecular Systems | BME 260L,Laboratory Section 03L,8434,8,30,73.33333333333333,2021-06-27 17:25:11.288860
Modeling Cellular and Molecular Systems | BME 260L,Laboratory Section 05L,11201,0,5,100.0,2021-06-27 17:25:13.836672
Modeling Cellular and Molecular Systems | BME 260L,Laboratory Section 06L,11240,3,10,70.0,2021-06-27 17:25:16.601330
Modeling Cellular and Molecular Systems | BME 260L,Laboratory Section 07L,11470,7,15,53.333333333333336,2021-06-27 17:25:19.417162
Signals and Systems | BME 271D,Lecture Section 001,8436,1,20,95.0,2021-06-27 17:25:21.810679
Signals and Systems | BME 271D,Lecture Section 002,8437,3,5,40.0,2021-06-27 17:25:24.232245
Signals and Systems | BME 271D,Discussion Section 01D,8438,1,20,95.0,2021-06-27 17:25:26.584214
Signals and Systems | BME 271D,Discussion Section 02D,8439,3,5,40.0,2021-06-27 17:25:28.956071
Intermediate Topics with Lab (GE) | BME 290L,Lecture Section 001,11241,1,7,85.71428571428571,2021-06-27 17:25:31.339357
Intermediate Topics with Lab (GE) | BME 290L,Laboratory Section 01L,11242,1,7,85.71428571428571,2021-06-27 17:25:33.695053
Bioelectricity (AC or GE) | BME 301L,Lecture Section 001,8440,24,34,29.411764705882355,2021-06-27 17:25:36.056345
Bioelectricity (AC or GE) | BME 301L,Laboratory Section 01L,8441,7,10,30.0,2021-06-27 17:25:38.428975
Bioelectricity (AC or GE) | BME 301L,Laboratory Section 02L,8442,3,10,70.0,2021-06-27 17:25:40.860148
Fundamentals of Biomaterials and Biomechanics (AC or GE) | BME 302L,Lecture Section 001,8443,6,20,70.0,2021-06-27 17:25:43.312496
Fundamentals of Biomaterials and Biomechanics (AC or GE) | BME 302L,Lecture Section 002,8444,17,20,15.0,2021-06-27 17:25:45.669313
Fundamentals of Biomaterials and Biomechanics (AC or GE) | BME 302L,Lecture Section 003,9976,6,8,25.0,2021-06-27 17:25:48.093173
Fundamentals of Biomaterials and Biomechanics (AC or GE) | BME 302L,Laboratory Section 01L,8445,11,16,31.25,2021-06-27 17:25:50.492466
Fundamentals of Biomaterials and Biomechanics (AC or GE) | BME 302L,Laboratory Section 02L,8446,7,16,56.25,2021-06-27 17:25:52.912648
Fundamentals of Biomaterials and Biomechanics (AC or GE) | BME 302L,Laboratory Section 03L,8447,15,16,6.25,2021-06-27 17:25:55.290050
Fundamentals of Biomaterials and Biomechanics (AC or GE) | BME 302L,Laboratory Section 04L,8448,14,16,12.5,2021-06-27 17:25:57.755083
Fundamentals of Biomaterials and Biomechanics (AC or GE) | BME 302L,Laboratory Section 05L,9977,6,8,25.0,2021-06-27 17:26:00.189568
Modern Diagnostic Imaging Systems (AC or GE) | BME 303L,Lecture Section 001,8449,0,31,100.0,2021-06-27 17:26:02.567000
Modern Diagnostic Imaging Systems (AC or GE) | BME 303L,Lecture Section 002,8450,15,30,50.0,2021-06-27 17:26:04.962665
Modern Diagnostic Imaging Systems (AC or GE) | BME 303L,Laboratory Section 01L,8451,0,15,100.0,2021-06-27 17:26:07.323028
Modern Diagnostic Imaging Systems (AC or GE) | BME 303L,Laboratory Section 02L,8452,0,15,100.0,2021-06-27 17:26:09.721743
Modern Diagnostic Imaging Systems (AC or GE) | BME 303L,Laboratory Section 03L,8453,9,15,40.0,2021-06-27 17:26:12.055694
Modern Diagnostic Imaging Systems (AC or GE) | BME 303L,Laboratory Section 04L,8454,6,15,60.0,2021-06-27 17:26:14.420244
Modern Diagnostic Imaging Systems (AC or GE) | BME 303L,Laboratory Section 05L,11914,4,5,20.0,2021-06-27 17:26:16.833111
"Transport Phenomena in Biological Systems (AC or GE, BB) | BME 307",Lecture Section 01,8455,21,48,56.25,2021-06-27 17:26:19.199397
Introduction to Medical Instrumentation | BME 354L,Lecture Section 001,8456,24,35,31.428571428571427,2021-06-27 17:26:21.557561
Introduction to Medical Instrumentation | BME 354L,Lecture Section 002,8457,10,35,71.42857142857143,2021-06-27 17:26:23.937229
Introduction to Medical Instrumentation | BME 354L,Laboratory Section 02L,8459,4,9,55.55555555555556,2021-06-27 17:26:26.364088
Introduction to Medical Instrumentation | BME 354L,Laboratory Section 03L,8460,1,20,95.0,2021-06-27 17:26:28.711533
