Class Name,Section,Class Number,Open Seats,Total Seats,Percent,Timestamp
Engineering the Planet | CEE 132L,Lecture Section 001,8318,6,30,80.0,2021-06-27 17:38:01.794216
Engineering the Planet | CEE 132L,Laboratory Section 01L,8319,6,30,80.0,2021-06-27 17:38:04.172627
Uncertainty Design and Optimization | CEE 201L,Lecture Section 001,8320,2,25,92.0,2021-06-27 17:38:06.543411
Uncertainty Design and Optimization | CEE 201L,Laboratory Section 01L,8321,2,25,92.0,2021-06-27 17:38:08.902130
Practical Methods in Civil Engineering | CEE 205,Lecture Section 01,8322,8,10,20.0,2021-06-27 17:38:11.255255
Research Independent Study in Civil and Environmental Engineering | CEE 294,IND Section 01,8323,0,5,100.0,2021-06-27 17:38:13.728231
Research Independent Study in Civil and Environmental Engineering | CEE 294,IND Section 02,8324,1,1,0.0,2021-06-27 17:38:16.164164
Fluid Mechanics | CEE 301L,Lecture Section 001,8325,18,18,0.0,2021-06-27 17:38:18.616141
Fluid Mechanics | CEE 301L,Laboratory Section 01L,8326,9,9,0.0,2021-06-27 17:38:20.945923
Fluid Mechanics | CEE 301L,Laboratory Section 02L,8327,10,10,0.0,2021-06-27 17:38:23.266903
Fluid Mechanics | CEE 301L,Laboratory Section 03L,8328,9,9,0.0,2021-06-27 17:38:25.581416
Fluid Mechanics | CEE 301L,Laboratory Section 04L,8329,10,10,0.0,2021-06-27 17:38:27.967968
Introduction to Soil Mechanics | CEE 302L,Lecture Section 001,8330,9,24,62.5,2021-06-27 17:38:30.286795
Introduction to Soil Mechanics | CEE 302L,Laboratory Section 01L,8331,2,8,75.0,2021-06-27 17:38:32.617787
Introduction to Soil Mechanics | CEE 302L,Laboratory Section 02L,8332,4,8,50.0,2021-06-27 17:38:35.036635
Introduction to Soil Mechanics | CEE 302L,Laboratory Section 03L,8333,6,8,25.0,2021-06-27 17:38:37.380226
Introduction to Soil Mechanics | CEE 302L,Laboratory Section 04L,8334,7,10,30.0,2021-06-27 17:38:39.716959
Engineering Sustainable Design and the Global Community: Structural Focus | CEE 315-20,Lecture Section 01,8335,16,20,20.0,2021-06-27 17:38:42.064918
Engineering Sustainable Design and the Global Community: Structural Focus | CEE 315-20,Lecture Section 02,8336,9,10,10.0,2021-06-27 17:38:44.461024
Engineering Sustainable Design and the Global Community: Environmental Focus | CEE 315-60,Lecture Section 01,8337,13,20,35.0,2021-06-27 17:38:46.923808
Engineering Sustainable Design and the Global Community: Environmental Focus | CEE 315-60,Lecture Section 02,8338,8,10,20.0,2021-06-27 17:38:49.241925
Research Independent Study in Civil and Environmental Engineering | CEE 394,IND Section 01,8339,0,1,100.0,2021-06-27 17:38:51.682320
Research Independent Study in Civil and Environmental Engineering | CEE 394,IND Section 02,8340,0,1,100.0,2021-06-27 17:38:54.135591
Research Independent Study in Civil and Environmental Engineering | CEE 394,IND Section 03,8341,0,1,100.0,2021-06-27 17:38:56.517266
Research Independent Study in Civil and Environmental Engineering | CEE 394,IND Section 04,8342,0,1,100.0,2021-06-27 17:38:58.949802
Research Independent Study in Civil and Environmental Engineering | CEE 394,IND Section 05,8343,1,1,0.0,2021-06-27 17:39:01.265405
Architectural Engineering II | CEE 411,Lecture Section 01,8344,10,15,33.33333333333333,2021-06-27 17:39:03.626081
Architectural Engineering II | CEE 411,Lecture Section 02,8345,7,10,30.0,2021-06-27 17:39:05.953779
Concrete and Composite Structures | CEE 422L,Lecture Section 001,8346,8,18,55.55555555555556,2021-06-27 17:39:08.277719
Concrete and Composite Structures | CEE 422L,Laboratory Section 01L,8347,1,6,83.33333333333334,2021-06-27 17:39:10.586403
Concrete and Composite Structures | CEE 422L,Laboratory Section 02L,8348,1,6,83.33333333333334,2021-06-27 17:39:12.947947
Concrete and Composite Structures | CEE 422L,Laboratory Section 03L,8349,6,6,0.0,2021-06-27 17:39:15.279130
Concrete and Composite Structures | CEE 422L,Laboratory Section 04L,8350,10,10,0.0,2021-06-27 17:39:17.613254
Integrated Structural Design | CEE 429,Lecture Section 01,8351,12,20,40.0,2021-06-27 17:39:19.917963
Applied Biological Principles and Processes in Environmental Engineering | CEE 462L,Lecture Section 001,8352,22,30,26.666666666666668,2021-06-27 17:39:22.236810
Applied Biological Principles and Processes in Environmental Engineering | CEE 462L,Laboratory Section 01L,8353,5,10,50.0,2021-06-27 17:39:24.558015
Applied Biological Principles and Processes in Environmental Engineering | CEE 462L,Laboratory Section 02L,8354,7,10,30.0,2021-06-27 17:39:26.957020
Integrated Environmental Design | CEE 469,Lecture Section 01,8355,3,10,70.0,2021-06-27 17:39:29.405670
Integrated Environmental Design | CEE 469,Lecture Section 02,8356,8,10,20.0,2021-06-27 17:39:31.745758
Independent Study in Civil and Environmental Engineering | CEE 492,IND Section 01,8357,1,1,0.0,2021-06-27 17:39:34.264913
Independent Study in Civil and Environmental Engineering | CEE 492,IND Section 02,8358,1,1,0.0,2021-06-27 17:39:36.600254
Research Independent Study in Civil and Environmental Engineering | CEE 494,IND Section 01,8359,0,1,100.0,2021-06-27 17:39:38.919130
Research Independent Study in Civil and Environmental Engineering | CEE 494,IND Section 02,8360,0,1,100.0,2021-06-27 17:39:41.316156
Research Independent Study in Civil and Environmental Engineering | CEE 494,IND Section 03,8361,1,3,66.66666666666666,2021-06-27 17:39:43.624338
Research Independent Study in Civil and Environmental Engineering | CEE 494,IND Section 04,8362,0,1,100.0,2021-06-27 17:39:45.942424
Research Independent Study in Civil and Environmental Engineering | CEE 494,IND Section 05,8363,0,1,100.0,2021-06-27 17:39:48.299791
Research Independent Study in Civil and Environmental Engineering | CEE 494,IND Section 06,8364,1,1,0.0,2021-06-27 17:39:50.668916
Research Independent Study in Civil and Environmental Engineering | CEE 494,IND Section 07,8365,1,1,0.0,2021-06-27 17:39:53.010808
Research Independent Study in Civil and Environmental Engineering | CEE 494,IND Section 08,8366,1,1,0.0,2021-06-27 17:39:55.401159
Research Independent Study in Civil and Environmental Engineering | CEE 494,IND Section 09,8367,1,1,0.0,2021-06-27 17:39:57.789172
Research Independent Study in Civil and Environmental Engineering | CEE 494,IND Section 10,8368,1,1,0.0,2021-06-27 17:40:00.281790
Engineering the Planet | CEE 132L,Lecture Section 001,8318,6,30,80.0,2021-06-27 18:32:50.533445
Engineering the Planet | CEE 132L,Laboratory Section 01L,8319,6,30,80.0,2021-06-27 18:32:52.901653
Uncertainty Design and Optimization | CEE 201L,Lecture Section 001,8320,2,25,92.0,2021-06-27 18:32:55.331312
Uncertainty Design and Optimization | CEE 201L,Laboratory Section 01L,8321,2,25,92.0,2021-06-27 18:32:57.753624
Practical Methods in Civil Engineering | CEE 205,Lecture Section 01,8322,8,10,20.0,2021-06-27 18:33:00.125873
Research Independent Study in Civil and Environmental Engineering | CEE 294,IND Section 01,8323,0,5,100.0,2021-06-27 18:33:02.498609
Research Independent Study in Civil and Environmental Engineering | CEE 294,IND Section 02,8324,1,1,0.0,2021-06-27 18:33:04.852851
Fluid Mechanics | CEE 301L,Lecture Section 001,8325,18,18,0.0,2021-06-27 18:33:07.208969
Fluid Mechanics | CEE 301L,Laboratory Section 01L,8326,9,9,0.0,2021-06-27 18:33:09.586247
Fluid Mechanics | CEE 301L,Laboratory Section 02L,8327,10,10,0.0,2021-06-27 18:33:11.952156
Fluid Mechanics | CEE 301L,Laboratory Section 03L,8328,9,9,0.0,2021-06-27 18:33:14.392571
Fluid Mechanics | CEE 301L,Laboratory Section 04L,8329,10,10,0.0,2021-06-27 18:33:16.821066
Introduction to Soil Mechanics | CEE 302L,Lecture Section 001,8330,9,24,62.5,2021-06-27 18:33:19.542771
Introduction to Soil Mechanics | CEE 302L,Laboratory Section 01L,8331,2,8,75.0,2021-06-27 18:33:22.288806
Introduction to Soil Mechanics | CEE 302L,Laboratory Section 02L,8332,4,8,50.0,2021-06-27 18:33:24.817942
Introduction to Soil Mechanics | CEE 302L,Laboratory Section 03L,8333,6,8,25.0,2021-06-27 18:33:27.394104
Introduction to Soil Mechanics | CEE 302L,Laboratory Section 04L,8334,7,10,30.0,2021-06-27 18:33:30.045710
Engineering Sustainable Design and the Global Community: Structural Focus | CEE 315-20,Lecture Section 01,8335,16,20,20.0,2021-06-27 18:33:32.511565
Engineering Sustainable Design and the Global Community: Structural Focus | CEE 315-20,Lecture Section 02,8336,9,10,10.0,2021-06-27 18:33:34.933781
Engineering Sustainable Design and the Global Community: Environmental Focus | CEE 315-60,Lecture Section 01,8337,13,20,35.0,2021-06-27 18:33:37.329949
Engineering Sustainable Design and the Global Community: Environmental Focus | CEE 315-60,Lecture Section 02,8338,8,10,20.0,2021-06-27 18:33:39.776136
Research Independent Study in Civil and Environmental Engineering | CEE 394,IND Section 01,8339,0,1,100.0,2021-06-27 18:33:42.260570
Research Independent Study in Civil and Environmental Engineering | CEE 394,IND Section 02,8340,0,1,100.0,2021-06-27 18:33:44.677478
Research Independent Study in Civil and Environmental Engineering | CEE 394,IND Section 03,8341,0,1,100.0,2021-06-27 18:33:47.102143
Research Independent Study in Civil and Environmental Engineering | CEE 394,IND Section 04,8342,0,1,100.0,2021-06-27 18:33:49.530875
Research Independent Study in Civil and Environmental Engineering | CEE 394,IND Section 05,8343,1,1,0.0,2021-06-27 18:33:51.942578
Architectural Engineering II | CEE 411,Lecture Section 01,8344,10,15,33.33333333333333,2021-06-27 18:33:54.454767
Architectural Engineering II | CEE 411,Lecture Section 02,8345,7,10,30.0,2021-06-27 18:33:56.878854
Concrete and Composite Structures | CEE 422L,Lecture Section 001,8346,8,18,55.55555555555556,2021-06-27 18:33:59.313860
Concrete and Composite Structures | CEE 422L,Laboratory Section 01L,8347,1,6,83.33333333333334,2021-06-27 18:34:01.770674
Concrete and Composite Structures | CEE 422L,Laboratory Section 02L,8348,1,6,83.33333333333334,2021-06-27 18:34:04.259739
