Class Name,Section,Class Number,Open Seats,Total Seats,Percent,Timestamp
First-Year Chinese I | CHINESE 101,Lecture Section 001,6579,8,12,33.33333333333333,2021-06-27 17:16:00.822407
First-Year Chinese I | CHINESE 101,Discussion Section 01D,6580,8,12,33.33333333333333,2021-06-27 17:16:03.353489
First-Year Chinese II | CHINESE 102,Lecture Section 001,6581,7,18,61.111111111111114,2021-06-27 17:16:05.938430
First-Year Chinese II | CHINESE 102,Lecture Section 002,6582,14,18,22.22222222222222,2021-06-27 17:16:08.684916
First-Year Chinese II | CHINESE 102,Discussion Section 01D,6583,7,18,61.111111111111114,2021-06-27 17:16:11.538190
First-Year Chinese II | CHINESE 102,Discussion Section 02D,6584,14,18,22.22222222222222,2021-06-27 17:16:14.566891
Intermediate Chinese | CHINESE 204,Lecture Section 001,6585,0,17,100.0,2021-06-27 17:16:17.640008
Intermediate Chinese | CHINESE 204,Lecture Section 002,6586,4,15,73.33333333333333,2021-06-27 17:16:20.223077
Intermediate Chinese | CHINESE 204,Discussion Section 01D,6587,0,8,100.0,2021-06-27 17:16:22.590242
Intermediate Chinese | CHINESE 204,Discussion Section 02D,6588,0,8,100.0,2021-06-27 17:16:24.941137
Intermediate Chinese | CHINESE 204,Discussion Section 03D,6589,5,15,66.66666666666666,2021-06-27 17:16:27.264470
Intermediate-Mid Chinese | CHINESE 205,Lecture Section 001,6590,3,12,75.0,2021-06-27 17:16:29.587972
Intermediate-Mid Chinese | CHINESE 205,Discussion Section 01D,6591,3,12,75.0,2021-06-27 17:16:32.061037
Intermediate Chinese for Bilingual Learners | CHINESE 232,Lecture Section 001,6592,0,16,100.0,2021-06-27 17:16:34.566282
Intermediate Chinese for Bilingual Learners | CHINESE 232,Lecture Section 002,6593,0,16,100.0,2021-06-27 17:16:36.969542
Intermediate Chinese for Bilingual Learners | CHINESE 232,Discussion Section 01D,6594,0,16,100.0,2021-06-27 17:16:39.285866
Intermediate Chinese for Bilingual Learners | CHINESE 232,Discussion Section 02D,6595,0,16,100.0,2021-06-27 17:16:41.602918
Advanced Chinese II | CHINESE 306,Lecture Section 001,6596,3,18,83.33333333333334,2021-06-27 17:16:43.924345
Advanced Chinese II | CHINESE 306,Discussion Section 01D,6597,3,18,83.33333333333334,2021-06-27 17:16:46.246353
Business and Interculturality in the Chinese Society | CHINESE 321S,SEM Section 01,6598,6,15,60.0,2021-06-27 17:16:48.615296
Advanced Chinese for Bilingual Learners | CHINESE 333,Lecture Section 001,6599,8,18,55.55555555555556,2021-06-27 17:16:50.933413
Advanced Chinese for Bilingual Learners | CHINESE 333,Discussion Section 01D,6600,8,18,55.55555555555556,2021-06-27 17:16:53.287723
Independent Study | CHINESE 391,IND Section 01,10260,4,4,0.0,2021-06-27 17:16:55.678677
Independent Study | CHINESE 391,IND Section 02,10261,4,4,0.0,2021-06-27 17:16:58.066625
Issues in Chinese Language and Society II | CHINESE 408S,SEM Section 01,6601,3,13,76.92307692307693,2021-06-27 17:17:00.418467
"Understanding China and the United States: Stereotypes, Conflicts, and Common Challenges | CHINESE 450S",SEM Section 01,6602,9,18,50.0,2021-06-27 17:17:02.792749
Aspects of Chinese Culture and Society | CHINESE 456,Lecture Section 01,6603,3,30,90.0,2021-06-27 17:17:05.125539
First-Year Chinese I | CHINESE 101,Lecture Section 001,6579,8,12,33.33333333333333,2021-06-27 18:10:43.472104
First-Year Chinese I | CHINESE 101,Discussion Section 01D,6580,8,12,33.33333333333333,2021-06-27 18:10:46.124958
First-Year Chinese II | CHINESE 102,Lecture Section 001,6581,7,18,61.111111111111114,2021-06-27 18:10:48.610943
First-Year Chinese II | CHINESE 102,Lecture Section 002,6582,14,18,22.22222222222222,2021-06-27 18:10:51.003080
First-Year Chinese II | CHINESE 102,Discussion Section 01D,6583,7,18,61.111111111111114,2021-06-27 18:10:53.518330
First-Year Chinese II | CHINESE 102,Discussion Section 02D,6584,14,18,22.22222222222222,2021-06-27 18:10:55.966893
Intermediate Chinese | CHINESE 204,Lecture Section 001,6585,0,17,100.0,2021-06-27 18:10:58.434329
Intermediate Chinese | CHINESE 204,Lecture Section 002,6586,4,15,73.33333333333333,2021-06-27 18:11:00.895047
Intermediate Chinese | CHINESE 204,Discussion Section 01D,6587,0,8,100.0,2021-06-27 18:11:03.332053
Intermediate Chinese | CHINESE 204,Discussion Section 02D,6588,0,8,100.0,2021-06-27 18:11:05.740406
Intermediate Chinese | CHINESE 204,Discussion Section 03D,6589,5,15,66.66666666666666,2021-06-27 18:11:08.104473
Intermediate-Mid Chinese | CHINESE 205,Lecture Section 001,6590,3,12,75.0,2021-06-27 18:11:10.495620
Intermediate-Mid Chinese | CHINESE 205,Discussion Section 01D,6591,3,12,75.0,2021-06-27 18:11:12.952512
Intermediate Chinese for Bilingual Learners | CHINESE 232,Lecture Section 001,6592,0,16,100.0,2021-06-27 18:11:15.267182
Intermediate Chinese for Bilingual Learners | CHINESE 232,Lecture Section 002,6593,0,16,100.0,2021-06-27 18:11:17.653084
Intermediate Chinese for Bilingual Learners | CHINESE 232,Discussion Section 01D,6594,0,16,100.0,2021-06-27 18:11:20.051360
Intermediate Chinese for Bilingual Learners | CHINESE 232,Discussion Section 02D,6595,0,16,100.0,2021-06-27 18:11:22.361832
Advanced Chinese II | CHINESE 306,Lecture Section 001,6596,3,18,83.33333333333334,2021-06-27 18:11:24.686275
Advanced Chinese II | CHINESE 306,Discussion Section 01D,6597,3,18,83.33333333333334,2021-06-27 18:11:27.020606
Business and Interculturality in the Chinese Society | CHINESE 321S,SEM Section 01,6598,6,15,60.0,2021-06-27 18:11:29.361582
Advanced Chinese for Bilingual Learners | CHINESE 333,Lecture Section 001,6599,8,18,55.55555555555556,2021-06-27 18:11:31.698113
Advanced Chinese for Bilingual Learners | CHINESE 333,Discussion Section 01D,6600,8,18,55.55555555555556,2021-06-27 18:11:34.024045
Independent Study | CHINESE 391,IND Section 01,10260,4,4,0.0,2021-06-27 18:11:36.490394
Independent Study | CHINESE 391,IND Section 02,10261,4,4,0.0,2021-06-27 18:11:38.898748
Issues in Chinese Language and Society II | CHINESE 408S,SEM Section 01,6601,3,13,76.92307692307693,2021-06-27 18:11:41.224330
"Understanding China and the United States: Stereotypes, Conflicts, and Common Challenges | CHINESE 450S",SEM Section 01,6602,9,18,50.0,2021-06-27 18:11:43.563276
Aspects of Chinese Culture and Society | CHINESE 456,Lecture Section 01,6603,3,30,90.0,2021-06-27 18:11:45.882694
