Class Name,Section,Class Number,Open Seats,Total Seats,Percent,Timestamp
First-Year Seminar | CLST 89S,SEM Section 01,4039,1,15,93.33333333333333,2021-06-27 17:17:19.235089
Seven Wonders: Monuments and Cultures of the Ancient Mediterranean | CLST 139,Lecture Section 01,7711,10,24,58.333333333333336,2021-06-27 17:17:21.574310
Greek Civilization | CLST 181S,SEM Section 01,4030,6,15,60.0,2021-06-27 17:17:23.922815
Greek Civilization | CLST 181S,SEM Section 02,4031,8,15,46.666666666666664,2021-06-27 17:17:26.288264
"The Age of Nero: History, Art, and Literature | CLST 222",Lecture Section 01,7709,0,30,100.0,2021-06-27 17:17:28.629582
Gender and Sexuality in the Ancient World | CLST 266,Lecture Section 01,4032,25,30,16.666666666666664,2021-06-27 17:17:30.987875
History of Ancient Philosophy | CLST 271,Lecture Section 01,6960,1,16,93.75,2021-06-27 17:17:33.322414
Roman History | CLST 284,Lecture Section 01,4033,4,40,90.0,2021-06-27 17:17:35.669617
Ancient Greek Notions of Justice | CLST 312S,SEM Section 01,4034,6,15,60.0,2021-06-27 17:17:37.969900
Capstone Seminars in Classical Studies | CLST 480S,SEM Section 01,4035,7,15,53.333333333333336,2021-06-27 17:17:40.321878
Research Independent Study | CLST 493,IND Section 01,11243,0,1,100.0,2021-06-27 17:17:42.717938
First-Year Seminar | CLST 89S,SEM Section 01,4039,1,15,93.33333333333333,2021-06-27 18:11:59.754460
Seven Wonders: Monuments and Cultures of the Ancient Mediterranean | CLST 139,Lecture Section 01,7711,10,24,58.333333333333336,2021-06-27 18:12:02.156525
Greek Civilization | CLST 181S,SEM Section 01,4030,6,15,60.0,2021-06-27 18:12:04.609131
Greek Civilization | CLST 181S,SEM Section 02,4031,8,15,46.666666666666664,2021-06-27 18:12:06.964019
"The Age of Nero: History, Art, and Literature | CLST 222",Lecture Section 01,7709,0,30,100.0,2021-06-27 18:12:09.313229
Gender and Sexuality in the Ancient World | CLST 266,Lecture Section 01,4032,25,30,16.666666666666664,2021-06-27 18:12:11.702508
History of Ancient Philosophy | CLST 271,Lecture Section 01,6960,1,16,93.75,2021-06-27 18:12:14.041516
Roman History | CLST 284,Lecture Section 01,4033,4,40,90.0,2021-06-27 18:12:16.411335
Ancient Greek Notions of Justice | CLST 312S,SEM Section 01,4034,6,15,60.0,2021-06-27 18:12:18.783202
Capstone Seminars in Classical Studies | CLST 480S,SEM Section 01,4035,7,15,53.333333333333336,2021-06-27 18:12:21.138640
Research Independent Study | CLST 493,IND Section 01,11243,0,1,100.0,2021-06-27 18:12:23.563340
