Class Name,Section,Class Number,Open Seats,Total Seats,Percent,Timestamp
Traditions in Documentary Studies | DOCST 101,Lecture Section 01,3088,2,40,95.0,2021-06-27 17:16:02.839587
The Documentary Experience: A Video Approach | DOCST 105S,SEM Section 01,3089,1,12,91.66666666666666,2021-06-27 17:16:05.384065
The Documentary Experience: A Video Approach | DOCST 105S,SEM Section 02,3090,0,3,100.0,2021-06-27 17:16:08.026856
Introduction to Black and White Photography | DOCST 115S,SEM Section 01,3091,1,12,91.66666666666666,2021-06-27 17:16:10.637368
Introduction to Digital Photography | DOCST 119S,SEM Section 01,3513,0,12,100.0,2021-06-27 17:16:13.559874
Introduction to Digital Photography | DOCST 119S,SEM Section 02,3514,0,12,100.0,2021-06-27 17:16:16.557881
Introduction to Digital Photography | DOCST 119S,SEM Section 03,11564,0,12,100.0,2021-06-27 17:16:19.226354
Special Topics in Documentary Studies | DOCST 190S,SEM Section 01,3093,2,14,85.71428571428571,2021-06-27 17:16:21.583798
Children and the Experience of Illness | DOCST 202S,SEM Section 01,3094,0,12,100.0,2021-06-27 17:16:23.945727
The Silent Film: An Introduction | DOCST 208S,SEM Section 01,3537,1,12,91.66666666666666,2021-06-27 17:16:26.420190
Sociology through Photography | DOCST 227S,SEM Section 01,3095,0,15,100.0,2021-06-27 17:16:28.861174
Small Town USA: Local Collaborations | DOCST 230S,SEM Section 01,3096,1,15,93.33333333333333,2021-06-27 17:16:31.245308
Dance for the Camera | DOCST 242S,SEM Section 01,5730,5,8,37.5,2021-06-27 17:16:33.716029
The Photobook: History and Practice | DOCST 250S,SEM Section 01,3553,3,12,75.0,2021-06-27 17:16:36.136496
Introduction to Film Studies | DOCST 264,Lecture Section 01,10038,4,25,84.0,2021-06-27 17:16:38.621296
Religion and Film | DOCST 268,Lecture Section 01,7258,0,45,100.0,2021-06-27 17:16:40.919703
Religion and Film | DOCST 268,Lecture Section 02,7260,0,45,100.0,2021-06-27 17:16:43.237331
Contemporary Documentary Film: Filmmakers and the Full Frame Documentary Film Festival | DOCST 270,Lecture Section 01,3544,6,26,76.92307692307693,2021-06-27 17:16:45.563771
Producing Docu-Fiction | DOCST 278S,SEM Section 01,3520,2,6,66.66666666666666,2021-06-27 17:16:47.898559
Cinematography | DOCST 281S,SEM Section 01,3541,0,6,100.0,2021-06-27 17:16:50.217542
Studies in the United States Culture Industries | DOCST 282S,SEM Section 01,11203,0,15,100.0,2021-06-27 17:16:52.632589
Editing for Film and Video | DOCST 288S,SEM Section 01,3554,0,15,100.0,2021-06-27 17:16:55.052421
Arts Entrepreneurship | DOCST 295S,SEM Section 01,4292,3,18,83.33333333333334,2021-06-27 17:16:57.666830
Non-Profit Cultural Institutions | DOCST 313S,SEM Section 01,11213,1,16,93.75,2021-06-27 17:17:00.037005
Veterans Oral History Project | DOCST 317S,SEM Section 01,3098,1,15,93.33333333333333,2021-06-27 17:17:02.388940
Photo Workshop | DOCST 318S,SEM Section 01,3099,6,15,60.0,2021-06-27 17:17:04.732594
The South in Black and White | DOCST 326S,SEM Section 01,3101,1,15,93.33333333333333,2021-06-27 17:17:07.061266
Migrations | DOCST 327S,SEM Section 01,5876,12,15,20.0,2021-06-27 17:17:09.400802
"Farmworkers in North Carolina: Roots of Poverty, Roots of Change | DOCST 332S",SEM Section 01,3102,2,15,86.66666666666667,2021-06-27 17:17:11.716066
Documenting Black Experiences | DOCST 350S,SEM Section 01,3103,1,14,92.85714285714286,2021-06-27 17:17:14.051729
16mm Film Production | DOCST 357S,SEM Section 01,3556,0,4,100.0,2021-06-27 17:17:16.406140
Understanding Mediation | DOCST 358S,SEM Section 01,6170,2,12,83.33333333333334,2021-06-27 17:17:18.749601
Art of the Interview | DOCST 364S,SEM Section 01,3071,4,12,66.66666666666666,2021-06-27 17:17:21.161555
The Documentary Turn: Southern Culture | DOCST 365S,SEM Section 01,3104,2,8,75.0,2021-06-27 17:17:23.471353
Video Journalism | DOCST 367S,SEM Section 01,3074,0,6,100.0,2021-06-27 17:17:25.814713
Video Journalism | DOCST 367S,SEM Section 02,3077,0,6,100.0,2021-06-27 17:17:28.201356
News as a Moral Battleground | DOCST 371,Lecture Section 01,3082,0,15,100.0,2021-06-27 17:17:30.516358
News as a Moral Battleground | DOCST 371,Lecture Section 02,3086,1,10,90.0,2021-06-27 17:17:32.846567
Recycled Cinema | DOCST 375S,SEM Section 01,11176,0,4,100.0,2021-06-27 17:17:35.197931
Capstone Seminar in Documentary Studies | DOCST 480S,SEM Section 01,3105,2,12,83.33333333333334,2021-06-27 17:17:37.512066
Capstone Seminar in Documentary Studies | DOCST 480S,SEM Section 02,3106,3,3,0.0,2021-06-27 17:17:39.830428
Traditions in Documentary Studies | DOCST 101,Lecture Section 01,3088,2,40,95.0,2021-06-27 18:10:46.765461
The Documentary Experience: A Video Approach | DOCST 105S,SEM Section 01,3089,1,12,91.66666666666666,2021-06-27 18:10:49.190492
The Documentary Experience: A Video Approach | DOCST 105S,SEM Section 02,3090,0,3,100.0,2021-06-27 18:10:51.631215
Introduction to Black and White Photography | DOCST 115S,SEM Section 01,3091,1,12,91.66666666666666,2021-06-27 18:10:54.096140
Introduction to Digital Photography | DOCST 119S,SEM Section 01,3513,0,12,100.0,2021-06-27 18:10:56.668602
Introduction to Digital Photography | DOCST 119S,SEM Section 02,3514,0,12,100.0,2021-06-27 18:10:59.152362
