Class Name,Section,Class Number,Open Seats,Total Seats,Percent,Timestamp
Economic Principles | ECON 101,Lecture Section 01,10347,0,2,100.0,2021-06-27 17:25:25.290769
Economic Principles | ECON 101D,Lecture Section 001,3573,43,160,73.125,2021-06-27 17:25:27.750993
Economic Principles | ECON 101D,Discussion Section 01D,3574,2,80,97.5,2021-06-27 17:25:30.242713
Economic Principles | ECON 101D,Discussion Section 02D,3575,44,80,45.0,2021-06-27 17:25:32.637949
Economic Principles | ECON 101D,Discussion Section 03D,10346,0,1,100.0,2021-06-27 17:25:35.259489
Statistical Foundations of Econometrics and Data Science | ECON 104D,Lecture Section 001,10334,2,155,98.70967741935483,2021-06-27 17:25:37.764525
Statistical Foundations of Econometrics and Data Science | ECON 104D,Discussion Section 01D,10335,0,24,100.0,2021-06-27 17:25:40.279942
Statistical Foundations of Econometrics and Data Science | ECON 104D,Discussion Section 02D,10336,0,33,100.0,2021-06-27 17:25:42.807882
Statistical Foundations of Econometrics and Data Science | ECON 104D,Discussion Section 03D,10337,0,33,100.0,2021-06-27 17:25:45.226237
Statistical Foundations of Econometrics and Data Science | ECON 104D,Discussion Section 04D,10338,1,28,96.42857142857143,2021-06-27 17:25:47.658790
Statistical Foundations of Econometrics and Data Science | ECON 104D,Discussion Section 05D,10339,0,35,100.0,2021-06-27 17:25:50.164357
Financial Accounting | ECON 174,Lecture Section 01,3579,1,155,99.35483870967742,2021-06-27 17:25:52.503213
Selected Topics in Economics | ECON 190S,SEM Section 02,6154,10,18,44.44444444444444,2021-06-27 17:25:54.829362
Intermediate Microeconomics I | ECON 201D,Lecture Section 001,3580,97,225,56.888888888888886,2021-06-27 17:25:57.163849
Intermediate Microeconomics I | ECON 201D,Discussion Section 01D,3581,9,22,59.09090909090909,2021-06-27 17:25:59.568253
Intermediate Microeconomics I | ECON 201D,Discussion Section 02D,3582,1,22,95.45454545454545,2021-06-27 17:26:01.965749
Intermediate Microeconomics I | ECON 201D,Discussion Section 03D,3583,9,22,59.09090909090909,2021-06-27 17:26:04.330261
Intermediate Microeconomics I | ECON 201D,Discussion Section 04D,3584,1,22,95.45454545454545,2021-06-27 17:26:06.766057
Intermediate Microeconomics I | ECON 201D,Discussion Section 05D,3585,13,23,43.47826086956522,2021-06-27 17:26:09.183018
Intermediate Microeconomics I | ECON 201D,Discussion Section 06D,3586,22,23,4.3478260869565215,2021-06-27 17:26:11.545421
Intermediate Microeconomics I | ECON 201D,Discussion Section 07D,3587,9,21,57.14285714285714,2021-06-27 17:26:13.912461
Intermediate Microeconomics I | ECON 201D,Discussion Section 08D,3588,1,25,96.0,2021-06-27 17:26:16.286373
Intermediate Microeconomics I | ECON 201D,Discussion Section 09D,3589,15,22,31.818181818181817,2021-06-27 17:26:18.705213
Intermediate Microeconomics I | ECON 201D,Discussion Section 10D,3590,17,23,26.08695652173913,2021-06-27 17:26:21.062975
Econometrics and Data Science | ECON 204D,Lecture Section 001,3591,23,156,85.25641025641025,2021-06-27 17:26:23.421862
Econometrics and Data Science | ECON 204D,Discussion Section 01D,3592,2,25,92.0,2021-06-27 17:26:25.783416
Econometrics and Data Science | ECON 204D,Discussion Section 02D,3593,7,28,75.0,2021-06-27 17:26:28.236032
Econometrics and Data Science | ECON 204D,Discussion Section 03D,3594,9,36,75.0,2021-06-27 17:26:30.636733
Econometrics and Data Science | ECON 204D,Discussion Section 04D,3595,1,23,95.65217391304348,2021-06-27 17:26:33.027176
Econometrics and Data Science | ECON 204D,Discussion Section 05D,3596,1,20,95.0,2021-06-27 17:26:35.430589
Econometrics and Data Science | ECON 204D,Discussion Section 06D,3597,3,24,87.5,2021-06-27 17:26:37.784175
Intermediate Microeconomics II | ECON 205D,Lecture Section 001,3598,16,140,88.57142857142857,2021-06-27 17:26:40.395279
Intermediate Microeconomics II | ECON 205D,Discussion Section 01D,3599,3,22,86.36363636363636,2021-06-27 17:26:42.903222
Intermediate Microeconomics II | ECON 205D,Discussion Section 02D,3600,2,22,90.9090909090909,2021-06-27 17:26:45.427551
Intermediate Microeconomics II | ECON 205D,Discussion Section 03D,3601,5,26,80.76923076923077,2021-06-27 17:26:47.879159
Intermediate Microeconomics II | ECON 205D,Discussion Section 04D,3602,1,24,95.83333333333334,2021-06-27 17:26:50.265763
Intermediate Microeconomics II | ECON 205D,Discussion Section 05D,3603,2,24,91.66666666666666,2021-06-27 17:26:52.647898
Intermediate Microeconomics II | ECON 205D,Discussion Section 06D,3604,3,22,86.36363636363636,2021-06-27 17:26:55.024742
Intermediate Macroeconomics | ECON 210D,Lecture Section 001,3605,18,100,82.0,2021-06-27 17:26:57.438059
Intermediate Macroeconomics | ECON 210D,Lecture Section 002,3606,0,38,100.0,2021-06-27 17:26:59.860594
Intermediate Macroeconomics | ECON 210D,Discussion Section 01D,3607,1,26,96.15384615384616,2021-06-27 17:27:02.243721
Intermediate Macroeconomics | ECON 210D,Discussion Section 02D,3608,2,26,92.3076923076923,2021-06-27 17:27:04.706275
Intermediate Macroeconomics | ECON 210D,Discussion Section 03D,3609,11,21,47.61904761904761,2021-06-27 17:27:07.098941
Intermediate Macroeconomics | ECON 210D,Discussion Section 04D,3610,4,27,85.18518518518519,2021-06-27 17:27:09.607367
