Class Name,Section,Class Number,Open Seats,Total Seats,Percent,Timestamp
Engineering Design and Communication | EGR 101L,Lecture Section 001,10148,2,24,91.66666666666666,2021-06-27 17:21:16.776110
Engineering Design and Communication | EGR 101L,Lecture Section 002,11413,1,20,95.0,2021-06-27 17:21:19.188727
Engineering Design and Communication | EGR 101L,Laboratory Section 01L,10149,2,24,91.66666666666666,2021-06-27 17:21:21.600648
Engineering Design and Communication | EGR 101L,Laboratory Section 02L,11414,1,20,95.0,2021-06-27 17:21:23.974311
Design to Deliver | EGR 102L,Laboratory Section 01L,10150,0,40,100.0,2021-06-27 17:21:26.379733
Computational Methods in Engineering | EGR 103L,Lecture Section 001,10151,30,120,75.0,2021-06-27 17:21:28.798778
Computational Methods in Engineering (Lab) | EGR 103L9,Laboratory Section 01L,10152,21,30,30.0,2021-06-27 17:21:31.227145
Computational Methods in Engineering (Lab) | EGR 103L9,Laboratory Section 02L,10153,0,30,100.0,2021-06-27 17:21:33.616776
Computational Methods in Engineering (Lab) | EGR 103L9,Laboratory Section 03L,10154,3,30,90.0,2021-06-27 17:21:36.004744
Computational Methods in Engineering (Lab) | EGR 103L9,Laboratory Section 04L,10155,10,30,66.66666666666666,2021-06-27 17:21:38.469106
Engineering Innovation | EGR 121L,Lecture Section 001,10156,0,85,100.0,2021-06-27 17:21:40.940016
Engineering Innovation | EGR 121L,Laboratory Section 01L,10157,0,35,100.0,2021-06-27 17:21:43.385329
Engineering Innovation | EGR 121L,Laboratory Section 02L,10158,0,35,100.0,2021-06-27 17:21:45.800494
Engineering Innovation | EGR 121L,Laboratory Section 03L,10159,15,15,0.0,2021-06-27 17:21:48.159645
Mechanics of Solids | EGR 201L,Lecture Section 001,10160,1,50,98.0,2021-06-27 17:21:50.569915
Mechanics of Solids | EGR 201L,Lecture Section 002,10161,41,50,18.0,2021-06-27 17:21:52.925959
Mechanics of Solids | EGR 201L,Laboratory Section 11L,10162,0,15,100.0,2021-06-27 17:21:55.304760
Mechanics of Solids | EGR 201L,Laboratory Section 12L,10163,1,15,93.33333333333333,2021-06-27 17:21:57.664567
Mechanics of Solids | EGR 201L,Laboratory Section 13L,10164,20,25,20.0,2021-06-27 17:22:00.036996
Mechanics of Solids | EGR 201L,Laboratory Section 14L,10165,10,25,60.0,2021-06-27 17:22:02.391816
Mechanics of Solids | EGR 201L,Laboratory Section 21L,10166,9,15,40.0,2021-06-27 17:22:04.751858
Mechanics of Solids | EGR 201L,Laboratory Section 22L,10167,14,15,6.666666666666667,2021-06-27 17:22:07.127866
Mechanics of Solids | EGR 201L,Laboratory Section 23L,10168,14,15,6.666666666666667,2021-06-27 17:22:09.580216
Mechanics of Solids | EGR 201L,Laboratory Section 24L,10169,14,15,6.666666666666667,2021-06-27 17:22:11.938444
Electrical Fundamentals of Mechatronics | EGR 224L,Lecture Section 001,10170,5,70,92.85714285714286,2021-06-27 17:22:14.292772
Electrical Fundamentals of Mechatronics | EGR 224L,Laboratory Section 01L,10171,0,35,100.0,2021-06-27 17:22:16.650777
Electrical Fundamentals of Mechatronics | EGR 224L,Laboratory Section 02L,10172,6,35,82.85714285714286,2021-06-27 17:22:19.001144
Fundamentals of Data Analysis and Decision Science | EGR 238L,Lecture Section 001,10728,1,25,96.0,2021-06-27 17:22:21.354321
Fundamentals of Data Analysis and Decision Science | EGR 238L,Laboratory Section 01L,10729,1,25,96.0,2021-06-27 17:22:23.696534
Dynamics | EGR 244L,Lecture Section 001,10173,0,50,100.0,2021-06-27 17:22:26.129274
Dynamics | EGR 244L,Lecture Section 002,10174,5,50,90.0,2021-06-27 17:22:28.566545
Dynamics | EGR 244L,Laboratory Section 01L,10175,0,10,100.0,2021-06-27 17:22:30.971080
Dynamics | EGR 244L,Laboratory Section 02L,10176,0,10,100.0,2021-06-27 17:22:33.375782
Dynamics | EGR 244L,Laboratory Section 03L,10177,2,10,80.0,2021-06-27 17:22:35.748828
Dynamics | EGR 244L,Laboratory Section 04L,10178,0,10,100.0,2021-06-27 17:22:38.095693
Dynamics | EGR 244L,Laboratory Section 05L,10179,0,10,100.0,2021-06-27 17:22:40.450250
Dynamics | EGR 244L,Laboratory Section 06L,10180,0,10,100.0,2021-06-27 17:22:42.807375
Dynamics | EGR 244L,Laboratory Section 07L,10181,1,10,90.0,2021-06-27 17:22:45.169730
Dynamics | EGR 244L,Laboratory Section 08L,10182,2,10,80.0,2021-06-27 17:22:47.518342
Dynamics | EGR 244L,Laboratory Section 09L,10183,0,10,100.0,2021-06-27 17:22:49.854092
Dynamics | EGR 244L,Laboratory Section 10L,10184,2,10,80.0,2021-06-27 17:22:52.209358
Projects in Engineering | EGR 391,IND Section 01,10185,3,6,50.0,2021-06-27 17:22:54.681230
Projects in Engineering | EGR 391,IND Section 02,10186,3,3,0.0,2021-06-27 17:22:57.103927
Projects in Engineering | EGR 391,IND Section 03,10187,3,3,0.0,2021-06-27 17:22:59.461181
Research Projects in Engineering | EGR 393,IND Section 01,10188,0,1,100.0,2021-06-27 17:23:01.833083
Research Projects in Engineering | EGR 393,IND Section 02,10189,0,1,100.0,2021-06-27 17:23:04.188028
Research Projects in Engineering | EGR 393,IND Section 03,10190,0,1,100.0,2021-06-27 17:23:06.550428
Research Projects in Engineering | EGR 393,IND Section 04,10191,0,1,100.0,2021-06-27 17:23:08.916538
Research Projects in Engineering | EGR 393,IND Section 05,10192,0,1,100.0,2021-06-27 17:23:11.342933
Research Projects in Engineering | EGR 393,IND Section 06,10193,0,1,100.0,2021-06-27 17:23:13.800666
Research Projects in Engineering | EGR 393,IND Section 07,11971,0,1,100.0,2021-06-27 17:23:16.346072
Research Projects in Engineering | EGR 393,IND Section 08,11973,0,1,100.0,2021-06-27 17:23:18.791940
Research Projects in Engineering | EGR 393,IND Section 09,11974,0,1,100.0,2021-06-27 17:23:21.182431
Research Projects in Engineering | EGR 393,IND Section 10,11975,1,1,0.0,2021-06-27 17:23:23.591696
Energy and Environment Design | EGR 424L,Lecture Section 001,10194,8,10,20.0,2021-06-27 17:23:25.985527
Energy and Environment Design | EGR 424L,Laboratory Section 01L,10195,8,10,20.0,2021-06-27 17:23:28.452054
Projects in Engineering | EGR 491,IND Section 01,11979,0,1,100.0,2021-06-27 17:23:30.869335
Engineering Design and Communication | EGR 101L,Lecture Section 001,10148,2,24,91.66666666666666,2021-06-27 18:15:56.245192
Engineering Design and Communication | EGR 101L,Lecture Section 002,11413,1,20,95.0,2021-06-27 18:15:58.617436
Engineering Design and Communication | EGR 101L,Laboratory Section 01L,10149,2,24,91.66666666666666,2021-06-27 18:16:01.023262
Engineering Design and Communication | EGR 101L,Laboratory Section 02L,11414,1,20,95.0,2021-06-27 18:16:03.413426
Design to Deliver | EGR 102L,Laboratory Section 01L,10150,0,40,100.0,2021-06-27 18:16:05.761793
Computational Methods in Engineering | EGR 103L,Lecture Section 001,10151,30,120,75.0,2021-06-27 18:16:08.128498
Computational Methods in Engineering (Lab) | EGR 103L9,Laboratory Section 01L,10152,21,30,30.0,2021-06-27 18:16:10.486429
Computational Methods in Engineering (Lab) | EGR 103L9,Laboratory Section 02L,10153,0,30,100.0,2021-06-27 18:16:12.857409
Computational Methods in Engineering (Lab) | EGR 103L9,Laboratory Section 03L,10154,3,30,90.0,2021-06-27 18:16:15.230303
Computational Methods in Engineering (Lab) | EGR 103L9,Laboratory Section 04L,10155,10,30,66.66666666666666,2021-06-27 18:16:17.570932
Engineering Innovation | EGR 121L,Lecture Section 001,10156,0,85,100.0,2021-06-27 18:16:19.965003
Engineering Innovation | EGR 121L,Laboratory Section 01L,10157,0,35,100.0,2021-06-27 18:16:22.350395
Engineering Innovation | EGR 121L,Laboratory Section 02L,10158,0,35,100.0,2021-06-27 18:16:24.871446
Engineering Innovation | EGR 121L,Laboratory Section 03L,10159,15,15,0.0,2021-06-27 18:16:27.401683
Mechanics of Solids | EGR 201L,Lecture Section 001,10160,1,50,98.0,2021-06-27 18:16:29.959672
Mechanics of Solids | EGR 201L,Lecture Section 002,10161,41,50,18.0,2021-06-27 18:16:32.821364
Mechanics of Solids | EGR 201L,Laboratory Section 11L,10162,0,15,100.0,2021-06-27 18:16:36.088947
Mechanics of Solids | EGR 201L,Laboratory Section 12L,10163,1,15,93.33333333333333,2021-06-27 18:16:38.692459
Mechanics of Solids | EGR 201L,Laboratory Section 13L,10164,20,25,20.0,2021-06-27 18:16:41.311072
Mechanics of Solids | EGR 201L,Laboratory Section 14L,10165,10,25,60.0,2021-06-27 18:16:43.791666
Mechanics of Solids | EGR 201L,Laboratory Section 21L,10166,9,15,40.0,2021-06-27 18:16:46.268612
Mechanics of Solids | EGR 201L,Laboratory Section 22L,10167,14,15,6.666666666666667,2021-06-27 18:16:48.829969
Mechanics of Solids | EGR 201L,Laboratory Section 23L,10168,14,15,6.666666666666667,2021-06-27 18:16:51.331441
Mechanics of Solids | EGR 201L,Laboratory Section 24L,10169,14,15,6.666666666666667,2021-06-27 18:16:53.944133
Electrical Fundamentals of Mechatronics | EGR 224L,Lecture Section 001,10170,5,70,92.85714285714286,2021-06-27 18:16:56.392515
Electrical Fundamentals of Mechatronics | EGR 224L,Laboratory Section 01L,10171,0,35,100.0,2021-06-27 18:16:58.800916
Electrical Fundamentals of Mechatronics | EGR 224L,Laboratory Section 02L,10172,6,35,82.85714285714286,2021-06-27 18:17:01.205402
Fundamentals of Data Analysis and Decision Science | EGR 238L,Lecture Section 001,10728,1,25,96.0,2021-06-27 18:17:03.647932
Fundamentals of Data Analysis and Decision Science | EGR 238L,Laboratory Section 01L,10729,1,25,96.0,2021-06-27 18:17:06.084285
Dynamics | EGR 244L,Lecture Section 001,10173,0,50,100.0,2021-06-27 18:17:08.764720
Dynamics | EGR 244L,Lecture Section 002,10174,5,50,90.0,2021-06-27 18:17:11.420863
Dynamics | EGR 244L,Laboratory Section 01L,10175,0,10,100.0,2021-06-27 18:17:13.921267
Dynamics | EGR 244L,Laboratory Section 02L,10176,0,10,100.0,2021-06-27 18:17:16.397107
Dynamics | EGR 244L,Laboratory Section 03L,10177,2,10,80.0,2021-06-27 18:17:18.909414
Dynamics | EGR 244L,Laboratory Section 04L,10178,0,10,100.0,2021-06-27 18:17:21.354618
Dynamics | EGR 244L,Laboratory Section 05L,10179,0,10,100.0,2021-06-27 18:17:23.740269
Dynamics | EGR 244L,Laboratory Section 06L,10180,0,10,100.0,2021-06-27 18:17:26.143857
Dynamics | EGR 244L,Laboratory Section 07L,10181,1,10,90.0,2021-06-27 18:17:28.532759
Dynamics | EGR 244L,Laboratory Section 08L,10182,2,10,80.0,2021-06-27 18:17:30.920239
Dynamics | EGR 244L,Laboratory Section 09L,10183,0,10,100.0,2021-06-27 18:17:33.382439
Dynamics | EGR 244L,Laboratory Section 10L,10184,2,10,80.0,2021-06-27 18:17:35.750545
Projects in Engineering | EGR 391,IND Section 01,10185,3,6,50.0,2021-06-27 18:17:38.114617
